player_name,dg_id,my_pred,import_advice
maverick mcnealy,18634,null,1) import file must include at least one of player_name or dg_id columns
sam burns,19483,null,2) import file must include my_pred column
chris gotterup,27774,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
si woo kim,14609,null,
akshay bhatia,26096,null,
taylor pendrith,17780,null,
wyndham clark,23604,null,
sungjae im,17488,null,
rickie fowler,12965,null,
christiaan bezuidenhout,18103,null,
davis thompson,27364,null,
kevin yu,17881,null,
andrew putnam,14704,null,
kurt kitayama,21891,null,
doug ghim,24550,null,
max greyserman,23465,null,
sam stevens,25569,null,
matt wallace,20706,null,
adam scott,6430,null,
rico hoey,23504,null,
michael thorbjornsen,26649,null,
emiliano grillo,12808,null,
beau hossler,15470,null,
matt mccarty,28635,null,
alex smalley,18474,null,
max mcgreevy,23505,null,
jake knapp,19396,null,
tony finau,11676,null,
alex noren,10419,null,
vince whaley,25908,null,
jesper svensson,26850,null,
keith mitchell,17365,null,
lee hodges,25157,null,
kevin roy,18424,null,
tom kim,24766,null,
jacob bridgeman,29433,null,
thorbjorn olesen,13412,null,
matti schmid,20722,null,
erik van rooyen,17550,null,
jhonattan vegas,13508,null,
austin eckroat,26653,null,
takumi kanaya,19729,null,
pierceson coody,28309,null,
tom hoge,15575,null,
mackenzie hughes,15556,null,
mark hubbard,16333,null,
max homa,17538,null,
byeong hun an,14459,null,
chris kirk,12423,null,
ryo hisatsune,22760,null,
luke clanton,32330,null,
victor perez,20730,null,
sam ryder,16715,null,
patrick fishburn,25094,null,
taylor moore,21944,null,
thriston lawrence,18105,null,
haotong li,15310,null,
antoine rozner,18770,null,
ricky castillo,27819,null,
carson young,23656,null,
chandler phillips,27164,null,
gary woodland,12577,null,
sahith theegala,23014,null,
hayden springer,21995,null,
henrik norlander,11657,null,
thomas rosenmueller,22736,null,
quade cummins,27996,null,
kris ventura,15651,null,
joel dahmen,14509,null,
cameron champ,23542,null,
patrick rodgers,16283,null,
steven fisk,26657,null,
eric cole,21756,null,
niklas norgaard,15676,null,
paul peterson,16341,null,
ben kohles,16395,null,
sami valimaki,23816,null,
seamus power,10104,null,
william mouw,29770,null,
chad ramey,19840,null,
zach johnson,6986,null,
chan kim,15004,null,
ben silverman,17381,null,
david skinns,10873,null,
greyson sigg,23482,null,
brice garnett,11451,null,
david lipsky,15980,null,
joe highsmith,28469,null,
isaiah salinda,27183,null,
nate lashley,10943,null,
lanto griffin,15330,null,
jackson suber,29279,null,
will gordon,26660,null,
adam svensson,13997,null,
adam hadwin,13965,null,
nick hardy,19865,null,
cam davis,17786,null,
webb simpson,11049,null,
luke list,7960,null,
joseph bramlett,14698,null,
dylan wu,25002,null,
garrick higgo,24342,null,
mac meissner,28159,null,
brandt snedeker,8820,null,
preston stout,32089,null,
brendan valdes,31188,null,
davis riley,19872,null,
justin lower,17723,null,
adam schenk,19477,null,
trevor cone,21880,null,
jeremy paul,22087,null,
danny walker,25003,null,
ben martin,14007,null,
noah goodwin,24837,null,
chesson hadley,14967,null,
matthieu pavon,19960,null,
taylor montgomery,25442,null,
harry higgs,14140,null,
john pak,27820,null,
karl vilips,24304,null,
trey mullinax,18761,null,
david ford,31343,null,
chez reavie,7961,null,
hayden buckley,25363,null,
patton kizzire,13470,null,
danny willett,12920,null,
kevin velo,27762,null,
peter malnati,14926,null,
troy merritt,13367,null,
matthew riedel,30892,null,
kevin kisner,11328,null,
camilo villegas,9171,null,
michael la sasso,33755,null,
philip knowles,24562,null,
kaito onishi,25263,null,
cristobal del solar,17422,null,
will chandler,31212,null,
nick dunlap,28270,null,
taylor dickson,27420,null,
rafael campos,12909,null,
max herendeen,30035226,null,
braden thornberry,23502,null,
anders albertson,21235,null,
mason andersen,23540,null,
harrison endycott,19208,null,
frankie capan iii,21412,null,
aaron baddeley,6252,null,
yi cao,15067,null,
gordon sargent,30814,null,
ryan palmer,7820,null,
thomas campbell,18359,null,
michael feuerstein,24502,null,
stephen stallings jr.,25335,null,
josh radcliff,24496,null,
brandon matthews,22981,null,
carson herron,32819,null,
