player_name,dg_id,my_pred,import_advice
aaron rai,18554,null,1) import file must include at least one of player_name or dg_id columns
matt fitzpatrick,17646,null,2) import file must include my_pred column
keegan bradley,13872,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
si woo kim,14609,null,
robert macintyre,23323,null,
ben griffin,24968,null,
lucas glover,7399,null,
jordan spieth,14636,null,
hideki matsuyama,13562,null,
ryan gerard,29767,null,
akshay bhatia,26096,null,
christiaan bezuidenhout,18103,null,
j.t. poston,21554,null,
harry hall,27194,null,
kurt kitayama,21891,null,
sungjae im,17488,null,
rickie fowler,12965,null,
davis thompson,27364,null,
denny mccarthy,19870,null,
sam stevens,25569,null,
rico hoey,23504,null,
jake knapp,19396,null,
andrew putnam,14704,null,
alex noren,10419,null,
matt wallace,20706,null,
kevin yu,17881,null,
alex smalley,18474,null,
andrew novak,23475,null,
adam scott,6430,null,
takumi kanaya,19729,null,
doug ghim,24550,null,
emiliano grillo,12808,null,
chris kirk,12423,null,
bud cauley,14502,null,
max mcgreevy,23505,null,
austin eckroat,26653,null,
michael kim,17543,null,
nicolai hojgaard,23602,null,
thorbjorn olesen,13412,null,
matt mccarty,28635,null,
taylor moore,21944,null,
pierceson coody,28309,null,
max greyserman,23465,null,
tom kim,24766,null,
jesper svensson,26850,null,
victor perez,20730,null,
jackson koivun,32319,null,
keith mitchell,17365,null,
kevin roy,18424,null,
michael thorbjornsen,26649,null,
jacob bridgeman,29433,null,
mark hubbard,16333,null,
byeong hun an,14459,null,
ryan fox,11889,null,
nico echavarria,22833,null,
luke clanton,32330,null,
ben kohles,16395,null,
vince whaley,25908,null,
lee hodges,25157,null,
gary woodland,12577,null,
carson young,23656,null,
ryo hisatsune,22760,null,
thomas detry,14181,null,
matt kuchar,6169,null,
webb simpson,11049,null,
beau hossler,15470,null,
joel dahmen,14509,null,
max homa,17538,null,
thomas rosenmueller,22736,null,
david lipsky,15980,null,
cameron young,26651,null,
seamus power,10104,null,
william mouw,29770,null,
erik van rooyen,17550,null,
henrik norlander,11657,null,
zach johnson,6986,null,
rasmus hojgaard,23838,null,
matti schmid,20722,null,
patrick fishburn,25094,null,
thriston lawrence,18105,null,
paul peterson,16341,null,
eric cole,21756,null,
brice garnett,11451,null,
sam ryder,16715,null,
chad ramey,19840,null,
adam svensson,13997,null,
greyson sigg,23482,null,
antoine rozner,18770,null,
ricky castillo,27819,null,
nate lashley,10943,null,
mac meissner,28159,null,
patrick rodgers,16283,null,
sami valimaki,23816,null,
tony finau,11676,null,
kris ventura,15651,null,
brian campbell,18628,null,
steven fisk,26657,null,
ben silverman,17381,null,
isaiah salinda,27183,null,
chan kim,15004,null,
quade cummins,27996,null,
chandler phillips,27164,null,
noah goodwin,24837,null,
sahith theegala,23014,null,
brandt snedeker,8820,null,
niklas norgaard,15676,null,
matteo manassero,11460,null,
zac blair,17639,null,
nick hardy,19865,null,
joe highsmith,28469,null,
adam hadwin,13965,null,
lanto griffin,15330,null,
harry higgs,14140,null,
david skinns,10873,null,
will gordon,26660,null,
stephan jaeger,16394,null,
luke list,7960,null,
jackson suber,29279,null,
garrick higgo,24342,null,
justin lower,17723,null,
matthieu pavon,19960,null,
davis riley,19872,null,
john pak,27820,null,
david ford,31343,null,
trevor cone,21880,null,
cam davis,17786,null,
kevin kisner,11328,null,
chesson hadley,14967,null,
danny walker,25003,null,
karl vilips,24304,null,
patton kizzire,13470,null,
trey mullinax,18761,null,
adam schenk,19477,null,
camilo villegas,9171,null,
kevin velo,27762,null,
peter malnati,14926,null,
philip knowles,24562,null,
matthew riedel,30892,null,
cristobal del solar,17422,null,
taylor dickson,27420,null,
kaito onishi,25263,null,
rafael campos,12909,null,
aaron wise,22051,null,
braden thornberry,23502,null,
nick dunlap,28270,null,
will chandler,31212,null,
aaron baddeley,6252,null,
gordon sargent,30814,null,
frankie capan iii,21412,null,
ryan palmer,7820,null,
jim herman,12846,null,
scotty kennon,30028168,null,
tain lee,16598,null,
austin duncan,30937,null,
stephen franken,26517,null,
preston cole,27707,null,
