player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"jon rahm",19195,esp,2.118,2.8659,,-523,-179,+122,+556
"bryson dechambeau",19841,usa,1.912,2.902,,-406,-144,+150,+684
"joaquin niemann",18079,chi,1.437,2.8932,,-262,+110,+245,+1280
"tyrrell hatton",14796,eng,1.425,2.8662,,-260,+111,+250,+1343
"patrick reed",14838,usa,1.255,2.8506,,-222,+132,+305,+1711
"sebastian munoz",20770,col,0.985,2.8638,,-166,+172,+400,+2403
"david puig",28984,esp,0.829,2.927,,-141,+202,+477,+2757
"carlos ortiz",14735,mex,0.781,2.912,,-135,+209,+492,+2947
"louis oosthuizen",7672,rsa,0.741,2.8855,,-130,+219,+511,+3023
"sergio garcia",5689,esp,0.629,2.8938,,-117,+245,+590,+3736
"paul casey",7108,eng,0.599,2.8603,,-113,+259,+630,+3971
"abraham ancer",18238,mex,0.53,2.8697,,-106,+280,+678,+4425
"tom mckibbin",22322,nir,0.505,2.8416,,-104,+290,+735,+5291
"cameron tringale",14013,usa,0.387,2.8518,,+108,+326,+818,+6060
"talor gooch",18580,usa,0.372,2.8895,,+109,+326,+805,+5806
"dean burmester",14424,rsa,0.367,2.866,,+111,+328,+828,+5614
"lucas herbert",17064,aus,0.326,2.9495,,+113,+334,+822,+5737
"anirban lahiri",12669,ind,0.322,2.89,,+115,+343,+877,+6105
"brooks koepka",16243,usa,0.321,2.9214,,+115,+337,+820,+5614
"charl schwartzel",7398,rsa,0.275,2.8893,,+120,+362,+910,+6657
"cameron smith",15856,aus,0.273,2.8982,,+120,+358,+918,+6493
"thomas pieters",13944,bel,0.142,2.8848,,+139,+423,+1087,+8176
"harold varner iii",16602,usa,0.078,2.8977,,+145,+439,+1123,+8802
"richard bland",6516,eng,0.069,2.87,,+149,+463,+1220,+8776
"jinichiro kozuma",14209,jpn,0.061,2.927,,+151,+459,+1166,+8621
"marc leishman",7649,aus,0.021,2.8709,,+156,+481,+1281,+10335
"dustin johnson",12422,usa,0.008,2.9342,,+156,+473,+1210,+8776
"charles howell iii",6892,usa,-0.042,2.9031,,+166,+505,+1298,+9394
"sam horsfield",19866,eng,-0.066,2.9062,,+170,+523,+1373,+10052
"brendan steele",11019,usa,-0.074,2.8998,,+172,+522,+1400,+11199
"bubba watson",7334,usa,-0.113,2.9163,,+176,+541,+1411,+10445
"branden grace",11952,rsa,-0.237,2.9037,,+200,+638,+1767,+13567
"ben campbell",14373,nzl,-0.271,2.927,,+211,+663,+1837,+14534
"graeme mcdowell",7548,nir,-0.278,2.8917,,+214,+685,+1907,+16475
"martin kaymer",8117,ger,-0.302,2.9281,,+216,+688,+1847,+15324
"henrik stenson",5994,swe,-0.399,2.8605,,+243,+806,+2309,+22456
"kevin na",7452,usa,-0.548,2.8953,,+283,+941,+2725,+25110
"peter uihlein",11357,usa,-0.796,2.911,,+372,+1317,+4057,+38362
"jason kokrak",12337,usa,-0.818,2.9071,,+372,+1325,+3947,+39116
"phil mickelson",1547,usa,-0.832,2.9175,,+373,+1338,+4168,+43065
"adrian meronk",14196,pol,-0.84,2.928,,+377,+1321,+4117,+40996
"caleb surratt",30463,usa,-1.024,2.927,,+469,+1685,+5356,+64416
"yubin jang",28276,kor,-1.035,2.927,,+475,+1774,+5631,+61756
"lee westwood",4052,eng,-1.129,2.8766,,+526,+2052,+6845,+88135
"danny lee",11826,nzl,-1.166,2.9495,,+529,+1988,+6502,+93650
"andy ogletree",27597,usa,-1.263,2.927,,+608,+2364,+8063,+113108
"matt jones",8605,aus,-1.361,2.8762,,+725,+2899,+9864,+133233
"jose luis ballester",28473,esp,-1.385,2.927,,+700,+2770,+9617,+103348
"chieh-po lee",16563,tpe,-1.415,2.927,,+741,+3048,+10379,+139435
"luis masaveu",30428,esp,-1.597,2.927,,+917,+4031,+14054,Inf
"ian poulter",1435,eng,-1.599,2.8604,,+962,+4306,+15910,Inf
"mito pereira",19455,chi,-2.318,2.9365,,+2300,+12056,+45777,Inf
"anthony kim",11641,usa,-2.492,2.9844,,+2592,+14577,+60602,Inf
"frederik kjettrup",24660,den,-2.778,2.927,,+4533,+28762,+143437,Inf
