player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"jon rahm",19195,esp,2.212,2.8557,,-393,-144,+147,+663
"bryson dechambeau",19841,usa,2.098,2.9212,,-349,-130,+162,+711
"joaquin niemann",18079,chi,1.818,2.9055,,-266,-100,+213,+1002
"tyrrell hatton",14796,eng,1.589,2.8616,,-229,+121,+266,+1363
"patrick reed",14838,usa,1.053,2.8482,,-140,+197,+461,+2765
"sebastian munoz",20770,col,0.983,2.8624,,-132,+209,+483,+2749
"talor gooch",18580,usa,0.9,2.8983,,-122,+221,+502,+2854
"david puig",28984,esp,0.746,2.927,,-106,+259,+601,+3559
"tom mckibbin",22322,nir,0.712,2.837,,-103,+276,+654,+4270
"carlos ortiz",14735,mex,0.662,2.9259,,+102,+281,+657,+3990
"abraham ancer",18238,mex,0.618,2.8727,,+104,+290,+694,+4530
"paul casey",7108,eng,0.573,2.8586,,+108,+308,+735,+4595
"sergio garcia",5689,esp,0.549,2.8875,,+111,+314,+750,+4673
"cameron smith",15856,aus,0.542,2.9035,,+113,+318,+757,+4834
"cameron tringale",14013,usa,0.489,2.8534,,+116,+331,+813,+5466
"lucas herbert",17064,aus,0.448,2.9464,,+123,+342,+810,+5108
"louis oosthuizen",7672,rsa,0.448,2.8925,,+122,+349,+835,+5555
"bubba watson",7334,usa,0.406,2.899,,+126,+359,+866,+5555
"harold varner iii",16602,usa,0.358,2.893,,+133,+381,+929,+6303
"anirban lahiri",12669,ind,0.344,2.8865,,+135,+387,+956,+6283
"charles howell iii",6892,usa,0.343,2.8956,,+134,+382,+924,+6183
"thomas pieters",13944,bel,0.321,2.8742,,+137,+396,+969,+6589
"marc leishman",7649,aus,0.275,2.8814,,+142,+411,+1017,+7262
"dean burmester",14424,rsa,0.253,2.8751,,+145,+431,+1080,+7391
"charl schwartzel",7398,rsa,0.228,2.8834,,+149,+432,+1065,+7534
"brooks koepka",16243,usa,0.21,2.9277,,+149,+435,+1065,+7419
"dustin johnson",12422,usa,0.076,2.9493,,+169,+475,+1167,+7622
"branden grace",11952,rsa,0.043,2.9006,,+174,+520,+1337,+10087
"richard bland",6516,eng,0.002,2.8606,,+183,+552,+1448,+10672
"jason kokrak",12337,usa,-0.001,2.9015,,+183,+535,+1372,+9752
"brendan steele",11019,usa,-0.03,2.8896,,+185,+548,+1395,+10156
"caleb surratt",30463,usa,-0.146,2.927,,+210,+628,+1601,+12021
"jinichiro kozuma",14209,jpn,-0.157,2.927,,+207,+631,+1663,+12612
"henrik stenson",5994,swe,-0.232,2.864,,+224,+691,+1828,+16073
"adrian meronk",14196,pol,-0.254,2.9317,,+227,+686,+1782,+13757
"sam horsfield",19866,eng,-0.298,2.9015,,+239,+746,+2026,+17444
"martin kaymer",8117,ger,-0.427,2.9263,,+266,+824,+2196,+19131
"phil mickelson",1547,usa,-0.462,2.9161,,+275,+858,+2299,+20806
"peter uihlein",11357,usa,-0.492,2.9072,,+287,+894,+2494,+23522
"ben campbell",14373,nzl,-0.578,2.927,,+310,+999,+2712,+22801
"graeme mcdowell",7548,nir,-0.601,2.8885,,+320,+1006,+2795,+23996
"lee westwood",4052,eng,-0.631,2.8771,,+327,+1055,+2996,+29751
"kevin na",7452,usa,-0.637,2.8949,,+332,+1076,+2955,+26449
"jose luis ballester",28473,esp,-0.677,2.927,,+336,+1087,+3083,+26686
"matt jones",8605,aus,-0.786,2.8668,,+386,+1299,+3948,+42453
"andy ogletree",27597,usa,-0.824,2.927,,+399,+1341,+3999,+34383
"matthew wolff",25919,usa,-0.833,2.9929,,+378,+1205,+3284,+30051
"ian poulter",1435,eng,-1.031,2.8574,,+505,+1770,+5563,+61756
"chieh-po lee",16563,tpe,-1.105,2.927,,+531,+1896,+5935,+65834
"yubin jang",28276,kor,-1.216,2.927,,+587,+2137,+6736,+72189
"danny lee",11826,nzl,-1.42,2.9457,,+699,+2628,+8778,+122349
"mito pereira",19455,chi,-1.651,2.9186,,+908,+3696,+12744,+127560
"frederik kjettrup",24660,den,-2.212,2.927,,+1746,+8326,+31005,Inf
"anthony kim",11641,usa,-2.422,2.9777,,+2045,+8916,+36181,Inf
