player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"bryson dechambeau",19841,usa,2.322,2.9203,,-505,-184,+114,+500
"jon rahm",19195,esp,2.317,2.8575,,-521,-183,+118,+549
"tyrrell hatton",14796,eng,1.649,2.8601,,-284,-101,+218,+1145
"joaquin niemann",18079,chi,1.616,2.8994,,-271,+101,+223,+1142
"david puig",28984,esp,0.775,2.927,,-129,+214,+495,+2947
"patrick reed",14838,usa,0.732,2.8504,,-126,+226,+548,+3634
"sebastian munoz",20770,col,0.678,2.8595,,-118,+239,+564,+3550
"carlos ortiz",14735,mex,0.6,2.9214,,-110,+251,+592,+3794
"tom mckibbin",22322,nir,0.526,2.8419,,-103,+282,+697,+4715
"talor gooch",18580,usa,0.45,2.8951,,+102,+292,+696,+4818
"lucas herbert",17064,aus,0.43,2.9477,,+105,+293,+701,+4580
"cameron smith",15856,aus,0.427,2.9059,,+105,+299,+725,+4888
"paul casey",7108,eng,0.382,2.8584,,+109,+314,+775,+5330
"dustin johnson",12422,usa,0.381,2.9412,,+111,+305,+733,+4963
"cameron tringale",14013,usa,0.35,2.8526,,+113,+328,+821,+6086
"dean burmester",14424,rsa,0.275,2.8752,,+121,+355,+911,+7026
"abraham ancer",18238,mex,0.268,2.8704,,+121,+355,+880,+6415
"brooks koepka",16243,usa,0.224,2.9241,,+126,+358,+872,+6105
"sergio garcia",5689,esp,0.21,2.8918,,+129,+370,+921,+6664
"thomas pieters",13944,bel,0.205,2.8802,,+128,+374,+936,+6804
"harold varner iii",16602,usa,0.159,2.8917,,+133,+387,+973,+7326
"anirban lahiri",12669,ind,0.136,2.8836,,+137,+398,+1015,+7086
"louis oosthuizen",7672,rsa,0.109,2.892,,+139,+409,+1029,+7120
"marc leishman",7649,aus,0.033,2.8849,,+151,+445,+1123,+8496
"charl schwartzel",7398,rsa,0.021,2.8834,,+154,+453,+1163,+8210
"jinichiro kozuma",14209,jpn,0.006,2.927,,+153,+451,+1137,+8711
"charles howell iii",6892,usa,-0.066,2.8948,,+164,+487,+1255,+9933
"bubba watson",7334,usa,-0.1,2.9043,,+169,+497,+1272,+9500
"jason kokrak",12337,usa,-0.13,2.9069,,+172,+513,+1332,+10789
"richard bland",6516,eng,-0.169,2.8633,,+181,+561,+1488,+12585
"peter uihlein",11357,usa,-0.212,2.9084,,+190,+575,+1529,+11550
"sam horsfield",19866,eng,-0.334,2.8999,,+209,+651,+1748,+14606
"brendan steele",11019,usa,-0.357,2.896,,+211,+661,+1779,+14642
"adrian meronk",14196,pol,-0.384,2.9273,,+216,+661,+1749,+14428
"branden grace",11952,rsa,-0.492,2.9048,,+243,+765,+2064,+18419
"caleb surratt",30463,usa,-0.623,2.927,,+271,+855,+2322,+20170
"phil mickelson",1547,usa,-0.626,2.9166,,+273,+865,+2473,+20661
"lee westwood",4052,eng,-0.657,2.8736,,+281,+906,+2606,+24191
"henrik stenson",5994,swe,-0.683,2.8636,,+292,+969,+2823,+26332
"matthew wolff",25919,usa,-0.693,2.9924,,+277,+851,+2268,+18137
"graeme mcdowell",7548,nir,-0.805,2.8887,,+326,+1099,+3142,+30988
"ben campbell",14373,nzl,-0.851,2.927,,+333,+1076,+3022,+30357
"matt jones",8605,aus,-0.894,2.8713,,+354,+1237,+3762,+40441
"jose luis ballester",28473,esp,-0.949,2.927,,+371,+1231,+3657,+34186
"martin kaymer",8117,ger,-1.03,2.9272,,+391,+1328,+4022,+38362
"kevin na",7452,usa,-1.114,2.8958,,+437,+1512,+4777,+55456
"andy ogletree",27597,usa,-1.223,2.927,,+490,+1709,+5372,+61756
"chieh-po lee",16563,tpe,-1.367,2.927,,+580,+2168,+7011,+95138
"yubin jang",28276,kor,-1.473,2.927,,+638,+2420,+8114,+89452
"ian poulter",1435,eng,-1.48,2.8582,,+651,+2605,+8888,+98261
"danny lee",11826,nzl,-1.659,2.9528,,+748,+2975,+9994,+157795
"mito pereira",19455,chi,-1.774,2.9221,,+864,+3488,+12222,+149900
"frederik kjettrup",24660,den,-2.405,2.927,,+1718,+8465,+33460,Inf
"anthony kim",11641,usa,-2.591,2.978,,+2007,+9452,+37451,Inf
