name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Pendrith, Taylor","Greyserman, Max",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-109,+109,null
"Theegala, Sahith","Stevens, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,+110,-138,null,null,null,null,null,null,null,null,null,null,+110,-130,null,null,null,null,null,null,null,null,null,null,+131,-131,null
"Homa, Max","Kim, Tom",void,r1 match-up,null,null,null,null,null,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Grillo, Emiliano","Fowler, Rickie",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Finau, Tony","Im, Sungjae",void,r1 match-up,-111,-119,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,+100,-120,null,null,null,null,null,null,null,+114,-114,null
"Yu, Kevin","Bridgeman, Jacob",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-121,+121,null
"Burns, Sam","Clark, Wyndham",void,r1 match-up,null,null,null,null,null,null,-130,+100,null,-125,+100,null,-140,+100,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-124,+124,null
"Scott, Adam","Vegas, Jhonattan",void,r1 match-up,null,null,null,null,null,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-116,+116,null
"Li, Haotong","Bezuidenhout, Christiaan",void,r1 match-up,null,null,null,null,null,null,null,null,null,+110,-138,null,null,null,null,null,null,null,null,null,null,+110,-130,null,null,null,null,null,null,null,null,null,null,+132,-132,null
"Kirk, Chris","Mouw, William",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-116,+116,null
"Knapp, Jake","Bhatia, Akshay",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,+104,-124,null,null,null,null,+105,-137,null,+127,-127,null
"Hodges, Lee","Coody, Pierceson",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-106,+106,null
"Noren, Alex","Whaley, Vince",void,r1 match-up,-114,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-100,+100,null
"Hossler, Beau","Champ, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-130,+130,null
"McNealy, Maverick","Greyserman, Max",void,r1 match-up,null,null,null,-136,+112,null,-130,+100,null,null,null,null,-135,+100,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-142,+142,null
"An, Byeong Hun","Stevens, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,null,null,null,+119,-119,null
"Homa, Max","Pendrith, Taylor",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,+136,-136,null
"Fowler, Rickie","Kitayama, Kurt",void,r1 match-up,null,null,null,-109,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-102,+102,null
"Yu, Kevin","Thompson, Davis",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+100,-100,null
"Van Rooyen, Erik","Kim, Tom",void,r1 match-up,null,null,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+102,-102,null
"Woodland, Gary","Smalley, Alex",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-128,null,null,null,null,null,null,null,+123,-123,null
"Kim, Si Woo","Thorbjornsen, Michael",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-126,+126,null
"Bridgeman, Jacob","Clanton, Luke",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-107,+107,null
"Rozner, Antoine","Suber, Jackson",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-116,+116,null
"Putnam, Andrew","Hoey, Rico",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-105,+105,null
"Roy, Kevin","Schmid, Matti",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-104,+104,null
"Scott, Adam","Mitchell, Keith",void,r1 match-up,-126,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-109,+109,null
"Clark, Wyndham","Gotterup, Chris",void,r1 match-up,-117,-113,null,+104,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,+106,-136,null,+118,-118,null
"Vegas, Jhonattan","Li, Haotong",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-108,+108,null
"Davis, Cam","McCarty, Matt",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+129,-155,null,null,null,null,null,null,null,+144,-144,null
"Bezuidenhout, Christiaan","Eckroat, Austin",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+113,null,null,null,null,null,null,null,-122,+122,null
"Ghim, Doug","Hodges, Lee",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-112,+112,null
"Kirk, Chris","McGreevy, Max",void,r1 match-up,-116,-114,null,+102,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+114,-114,null
"Perez, Victor","Fishburn, Patrick",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-100,+100,null
"Springer, Hayden","Coody, Pierceson",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+111,-111,null
"Stevens, Sam","Whaley, Vince",void,r1 match-up,null,null,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-109,+109,null
"Noren, Alex","Champ, Cameron",void,r1 match-up,null,null,null,-129,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-124,+124,null
"An, Byeong Hun","Hossler, Beau",void,r1 match-up,null,null,null,+102,-123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Rodgers, Patrick","Meissner, Mac",void,r1 match-up,null,null,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Homa, Max","Theegala, Sahith",void,r1 match-up,null,null,null,-125,+103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Finau, Tony","Yu, Kevin",void,r1 match-up,null,null,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Kim, Si Woo","Pendrith, Taylor",void,r1 match-up,null,null,null,-115,-105,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Grillo, Emiliano","Thompson, Davis",void,r1 match-up,null,null,null,-102,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Smalley, Alex","Moore, Taylor",void,r1 match-up,null,null,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-116,+116,null
