name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Cauley, Bud","Koivun, Jackson",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Bezuidenhout, Christiaan","Young, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-135,+115,null,null,null,null,null,null,null,null,null,null,-135,+115,null,null,null,null,null,null,null,null,null,null,-137,+137,null
"Hoey, Rico","Kim, Tom",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Bhatia, Akshay","Hall, Harry",void,r1 match-up,null,null,null,null,null,null,-115,-110,null,-110,-110,null,-115,-110,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Scott, Adam","Gerard, Ryan",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Spieth, Jordan","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Kim, Si Woo","Rai, Aaron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Wallace, Matt","Thompson, Davis",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,-105,-115,null,null,null,null,null,null,null,+103,-103,null
"Noren, Alex","Grillo, Emiliano",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Im, Sungjae","Hojgaard, Nicolai",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Matsuyama, Hideki","Bradley, Keegan",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Knapp, Jake","MacIntyre, Robert",void,r1 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+127,-127,null
"Fowler, Rickie","Poston, J.T.",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Fitzpatrick, Matt","Griffin, Ben",void,r1 match-up,-114,-116,null,null,null,null,-120,-105,null,-115,-105,null,-120,-105,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Yu, Kevin","Novak, Andrew",void,r1 match-up,null,null,null,-112,-108,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Glover, Lucas","McCarthy, Denny",void,r1 match-up,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-120,+120,null
"Greyserman, Max","Stevens, Sam",void,r1 match-up,-108,-122,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,+100,-120,null,null,null,null,null,null,null,+117,-117,null
"Thorbjornsen, Michael","Clanton, Luke",void,r1 match-up,-113,-117,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Cauley, Bud","Young, Cameron",void,r1 match-up,-126,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-117,+117,null
"Perez, Victor","Hoey, Rico",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+117,-117,null
"Mitchell, Keith","Ghim, Doug",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+113,-113,null
"Spieth, Jordan","Bhatia, Akshay",void,r1 match-up,null,null,null,-111,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,-112,-112,null,-106,+106,null
"Scott, Adam","Kim, Tom",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-109,+109,null
"Rai, Aaron","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+113,null,null,null,null,null,null,null,-140,+140,null
"Homa, Max","Eckroat, Austin",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-130,null,null,null,null,null,null,null,+114,-114,null
"Hall, Harry","Gerard, Ryan",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+107,-107,null
"Kim, Si Woo","Bezuidenhout, Christiaan",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-120,+120,null
"Grillo, Emiliano","Echavarria, Nico",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-114,+114,null
"Kirk, Chris","Putnam, Andrew",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+107,-107,null
"Noren, Alex","Koivun, Jackson",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-115,+115,null
"Hojgaard, Rasmus","Bridgeman, Jacob",void,r1 match-up,null,null,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+112,-112,null
"Smalley, Alex","Hojgaard, Nicolai",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,-107,-117,null,-109,+109,null
"Matsuyama, Hideki","MacIntyre, Robert",void,r1 match-up,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,-112,-112,null,+111,-111,null
"Fowler, Rickie","Novak, Andrew",void,r1 match-up,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-108,+108,null
"Bradley, Keegan","Griffin, Ben",void,r1 match-up,null,null,null,-114,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,-117,-107,null,-106,+106,null
