tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2024,Real Club Valderrama,1,1,4,399,4.33,0.33,0,2,34,17,1
2024,Real Club Valderrama,1,2,4,421,4.24,0.24,0,6,31,15,2
2024,Real Club Valderrama,1,3,3,191,3.26,0.26,0,4,37,9,4
2024,Real Club Valderrama,1,4,5,564,5.07,0.07,0,13,30,6,5
2024,Real Club Valderrama,1,5,4,381,4,0,0,9,37,7,1
2024,Real Club Valderrama,1,6,3,159,3.06,0.06,0,9,33,12,0
2024,Real Club Valderrama,1,7,4,490,4.17,0.17,0,7,32,14,1
2024,Real Club Valderrama,1,8,4,351,4.26,0.26,0,5,33,14,2
2024,Real Club Valderrama,1,9,4,441,4.28,0.28,0,2,39,9,4
2024,Real Club Valderrama,1,10,4,389,4.22,0.22,0,6,32,14,2
2024,Real Club Valderrama,1,11,5,557,4.41,-0.59,5,26,19,4,0
2024,Real Club Valderrama,1,12,3,207,3.37,0.37,0,3,28,23,0
2024,Real Club Valderrama,1,13,4,418,4.28,0.28,0,7,28,18,1
2024,Real Club Valderrama,1,14,4,370,4.46,0.46,0,2,29,19,4
2024,Real Club Valderrama,1,15,3,229,3.35,0.35,0,2,32,19,1
2024,Real Club Valderrama,1,16,4,433,4.22,0.22,0,3,37,13,1
2024,Real Club Valderrama,1,17,5,536,5.19,0.19,0,9,34,6,5
2024,Real Club Valderrama,1,18,4,463,4.35,0.35,0,2,33,17,2
2024,Real Club Valderrama,2,1,4,399,3.85,-0.15,1,13,34,5,1
2024,Real Club Valderrama,2,2,4,421,4.02,0.02,0,6,41,7,0
2024,Real Club Valderrama,2,3,3,178,3.02,0.02,0,9,38,4,3
2024,Real Club Valderrama,2,4,5,564,4.72,-0.28,1,22,24,5,2
2024,Real Club Valderrama,2,5,4,381,4.06,0.06,0,9,33,12,0
2024,Real Club Valderrama,2,6,3,165,3.06,0.06,0,6,39,9,0
2024,Real Club Valderrama,2,7,4,490,4.33,0.33,0,6,26,20,2
2024,Real Club Valderrama,2,8,4,351,3.89,-0.11,0,14,32,8,0
2024,Real Club Valderrama,2,9,4,441,4.07,0.07,0,12,27,14,1
2024,Real Club Valderrama,2,10,4,389,4.11,0.11,0,5,40,8,1
2024,Real Club Valderrama,2,11,5,557,4.96,-0.04,0,16,27,8,3
2024,Real Club Valderrama,2,12,3,209,3.39,0.39,0,1,34,16,3
2024,Real Club Valderrama,2,13,4,418,4.19,0.19,0,7,30,17,0
2024,Real Club Valderrama,2,14,4,370,4.06,0.06,1,4,41,7,1
2024,Real Club Valderrama,2,15,3,212,3.13,0.13,0,6,35,13,0
2024,Real Club Valderrama,2,16,4,433,4.24,0.24,0,7,30,15,2
2024,Real Club Valderrama,2,17,5,536,4.63,-0.37,2,26,17,8,1
2024,Real Club Valderrama,2,18,4,463,4.24,0.24,0,5,33,14,2
2024,Real Club Valderrama,3,1,4,399,3.7199999999999998,-0.28,0,17,35,2,0
2024,Real Club Valderrama,3,2,4,421,4.24,0.24,0,3,36,14,1
2024,Real Club Valderrama,3,3,3,189,2.98,-0.02,0,7,41,6,0
2024,Real Club Valderrama,3,4,5,564,4.67,-0.33,1,19,31,3,0
2024,Real Club Valderrama,3,5,4,381,4.22,0.22,0,5,33,15,1
2024,Real Club Valderrama,3,6,3,152,3.24,0.24,0,3,36,14,1
2024,Real Club Valderrama,3,7,4,490,4.24,0.24,0,6,32,14,2
2024,Real Club Valderrama,3,8,4,351,3.87,-0.13,0,15,31,8,0
2024,Real Club Valderrama,3,9,4,441,4.17,0.17,0,6,34,13,1
2024,Real Club Valderrama,3,10,4,389,3.91,-0.09,0,10,39,5,0
2024,Real Club Valderrama,3,11,5,557,4.78,-0.22,0,24,21,7,2
2024,Real Club Valderrama,3,12,3,202,3.22,0.22,0,3,37,13,1
2024,Real Club Valderrama,3,13,4,418,4.02,0.02,0,11,33,8,2
2024,Real Club Valderrama,3,14,4,370,4.06,0.06,0,9,35,8,2
2024,Real Club Valderrama,3,15,3,203,3.15,0.15,0,5,36,13,0
2024,Real Club Valderrama,3,16,4,433,4.19,0.19,0,4,37,12,1
2024,Real Club Valderrama,3,17,5,536,4.87,-0.13,2,20,19,9,4
2024,Real Club Valderrama,3,18,4,463,4.43,0.43,0,3,29,19,3
