tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2019,Royal Portrush Golf Club,1,1,4,null,4.21,0.21,0,13,109,26,8
2019,Royal Portrush Golf Club,1,2,5,null,4.63,-0.37,3,62,83,6,2
2019,Royal Portrush Golf Club,1,3,3,null,3.02,0.02,0,21,111,24,0
2019,Royal Portrush Golf Club,1,4,4,null,4.24,0.24,0,11,108,28,9
2019,Royal Portrush Golf Club,1,5,4,null,3.9,-0.1,2,35,103,12,4
2019,Royal Portrush Golf Club,1,6,3,null,3.24,0.24,0,8,107,37,4
2019,Royal Portrush Golf Club,1,7,5,null,5.12,0.12,0,27,91,37,1
2019,Royal Portrush Golf Club,1,8,4,null,4.06,0.06,0,21,107,26,2
2019,Royal Portrush Golf Club,1,9,4,null,4.22,0.22,0,16,96,38,6
2019,Royal Portrush Golf Club,1,10,4,null,3.97,-0.03,0,28,107,18,3
2019,Royal Portrush Golf Club,1,11,4,null,4.4,0.4,0,14,77,55,10
2019,Royal Portrush Golf Club,1,12,5,null,4.78,-0.22,0,58,78,17,3
2019,Royal Portrush Golf Club,1,13,3,null,2.96,-0.04,1,22,118,13,2
2019,Royal Portrush Golf Club,1,14,4,null,4.16,0.16,0,17,99,38,2
2019,Royal Portrush Golf Club,1,15,4,null,4.26,0.26,0,17,88,45,6
2019,Royal Portrush Golf Club,1,16,3,null,3.24,0.24,0,7,105,43,1
2019,Royal Portrush Golf Club,1,17,4,null,4.2,0.2,0,16,104,27,9
2019,Royal Portrush Golf Club,1,18,4,null,4.37,0.37,0,13,82,53,8
2019,Royal Portrush Golf Club,2,1,4,null,4.15,0.15,0,18,103,30,5
2019,Royal Portrush Golf Club,2,2,5,null,4.88,-0.12,0,46,88,17,5
2019,Royal Portrush Golf Club,2,3,3,null,2.96,-0.04,0,23,118,14,1
2019,Royal Portrush Golf Club,2,4,4,null,4.24,0.24,0,11,101,40,4
2019,Royal Portrush Golf Club,2,5,4,null,3.91,-0.09,0,30,112,12,2
2019,Royal Portrush Golf Club,2,6,3,null,2.88,-0.12,0,32,112,11,1
2019,Royal Portrush Golf Club,2,7,5,null,4.65,-0.35,9,58,71,14,4
2019,Royal Portrush Golf Club,2,8,4,null,4.12,0.12,1,20,100,29,6
2019,Royal Portrush Golf Club,2,9,4,null,4.12,0.12,0,13,113,29,1
2019,Royal Portrush Golf Club,2,10,4,null,3.96,-0.04,0,28,107,20,1
2019,Royal Portrush Golf Club,2,11,4,null,4.19,0.19,0,18,100,30,8
