tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2024,The Renaissance Club,1,1,4,454,3.98,-0.02,0,28,106,19,3
2024,The Renaissance Club,1,2,4,483,4.13,0.13,0,8,119,29,0
2024,The Renaissance Club,1,3,5,603,4.53,-0.47,4,78,62,12,0
2024,The Renaissance Club,1,4,4,427,3.89,-0.11,1,37,98,18,2
2024,The Renaissance Club,1,5,4,326,3.82,-0.18,1,40,101,14,0
2024,The Renaissance Club,1,6,3,122,2.91,-0.09,0,41,92,19,4
2024,The Renaissance Club,1,7,4,516,4.15,0.15,0,17,103,33,3
2024,The Renaissance Club,1,8,4,433,3.97,-0.03,0,33,96,26,1
2024,The Renaissance Club,1,9,3,227,3.12,0.12,0,15,107,34,0
2024,The Renaissance Club,1,10,5,589,4.63,-0.37,2,67,76,9,2
2024,The Renaissance Club,1,11,4,461,4.05,0.05,0,23,103,29,1
2024,The Renaissance Club,1,12,3,196,2.89,-0.11,0,27,119,10,0
2024,The Renaissance Club,1,13,4,424,3.98,-0.02,0,24,117,11,4
2024,The Renaissance Club,1,14,3,148,2.74,-0.26,0,48,101,7,0
2024,The Renaissance Club,1,15,4,481,4.17,0.17,0,16,99,39,2
2024,The Renaissance Club,1,16,5,580,4.54,-0.46,6,66,78,6,0
2024,The Renaissance Club,1,17,3,200,3.04,0.04,0,21,108,26,1
2024,The Renaissance Club,1,18,4,471,4.15,0.15,0,15,102,39,0
2024,The Renaissance Club,2,1,4,465,4,0,0,30,93,30,0
2024,The Renaissance Club,2,2,4,479,4.22,0.22,0,11,103,33,6
2024,The Renaissance Club,2,3,5,599,4.4399999999999995,-0.56,4,87,53,9,0
2024,The Renaissance Club,2,4,4,414,4.07,0.07,0,23,101,26,3
2024,The Renaissance Club,2,5,4,321,3.55,-0.45,3,76,63,10,1
2024,The Renaissance Club,2,6,3,143,2.88,-0.12,0,30,112,11,0
2024,The Renaissance Club,2,7,4,513,4.27,0.27,0,4,107,39,3
2024,The Renaissance Club,2,8,4,448,4.11,0.11,0,17,105,28,3
