tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2023,TPC Deere Run,1,1,4,406,3.96,-0.04,0,30,105,18,3
2023,TPC Deere Run,1,2,5,569,4.62,-0.38,5,62,77,12,0
2023,TPC Deere Run,1,3,3,191,3.13,0.13,0,14,108,34,0
2023,TPC Deere Run,1,4,4,434,3.79,-0.21,0,42,104,10,0
2023,TPC Deere Run,1,5,4,425,3.97,-0.03,0,31,101,21,3
2023,TPC Deere Run,1,6,4,374,4.11,0.11,0,24,95,33,4
2023,TPC Deere Run,1,7,3,232,3.17,0.17,0,6,118,32,0
2023,TPC Deere Run,1,8,4,435,4.08,0.08,0,13,118,24,1
2023,TPC Deere Run,1,9,4,488,4.12,0.12,0,26,88,39,3
2023,TPC Deere Run,1,10,5,588,4.86,-0.14,1,42,96,12,5
2023,TPC Deere Run,1,11,4,418,3.88,-0.12,0,42,92,21,1
2023,TPC Deere Run,1,12,3,211,3.07,0.07,0,22,104,27,3
2023,TPC Deere Run,1,13,4,401,3.96,-0.04,0,33,99,21,3
2023,TPC Deere Run,1,14,4,360,3.74,-0.26,3,47,94,12,0
2023,TPC Deere Run,1,15,4,491,4.07,0.07,0,18,112,24,2
2023,TPC Deere Run,1,16,3,139,2.79,-0.21,0,41,106,9,0
2023,TPC Deere Run,1,17,5,567,4.67,-0.33,1,65,74,16,0
2023,TPC Deere Run,1,18,4,462,4.18,0.18,0,19,99,30,8
2023,TPC Deere Run,2,1,4,421,3.84,-0.16,0,43,94,18,0
2023,TPC Deere Run,2,2,5,551,4.43,-0.57,3,89,58,4,1
2023,TPC Deere Run,2,3,3,175,2.98,-0.02,0,20,118,17,0
2023,TPC Deere Run,2,4,4,463,3.88,-0.12,0,32,109,14,0
2023,TPC Deere Run,2,5,4,430,4.03,0.03,0,26,100,27,2
2023,TPC Deere Run,2,6,4,367,3.87,-0.13,0,42,94,16,3
2023,TPC Deere Run,2,7,3,223,3.07,0.07,0,17,112,24,2
2023,TPC Deere Run,2,8,4,415,3.89,-0.11,1,37,96,20,1
2023,TPC Deere Run,2,9,4,511,4.19,0.19,0,17,95,40,3
2023,TPC Deere Run,2,10,5,603,4.68,-0.32,2,63,75,12,3
2023,TPC Deere Run,2,11,4,434,4.14,0.14,0,16,106,28,5
2023,TPC Deere Run,2,12,3,201,2.95,-0.05,0,31,102,21,1
2023,TPC Deere Run,2,13,4,430,3.89,-0.11,0,35,104,14,2
2023,TPC Deere Run,2,14,4,369,3.9,-0.1,0,39,96,17,3
2023,TPC Deere Run,2,15,4,465,3.99,-0.01,0,30,98,25,2
2023,TPC Deere Run,2,16,3,153,2.9,-0.1,0,40,94,18,3
2023,TPC Deere Run,2,17,5,544,4.61,-0.39,3,71,66,14,1
2023,TPC Deere Run,2,18,4,480,4.09,0.09,0,23,100,27,5
2023,TPC Deere Run,3,1,4,424,3.8,-0.2,0,16,51,2,0
2023,TPC Deere Run,3,2,5,545,4.36,-0.64,7,33,26,3,0
2023,TPC Deere Run,3,3,3,144,3.01,0.01,0,9,51,8,1
2023,TPC Deere Run,3,4,4,451,3.81,-0.19,0,16,50,3,0
2023,TPC Deere Run,3,5,4,418,3.96,-0.04,0,11,51,6,1
2023,TPC Deere Run,3,6,4,371,4.04,0.04,0,11,45,12,1
2023,TPC Deere Run,3,7,3,212,2.96,-0.04,0,15,44,9,1
2023,TPC Deere Run,3,8,4,432,4.13,0.13,0,4,52,13,0
2023,TPC Deere Run,3,9,4,513,4.07,0.07,0,9,46,14,0
2023,TPC Deere Run,3,10,5,571,4.72,-0.28,0,24,40,5,0
2023,TPC Deere Run,3,11,4,432,4.1,0.1,0,4,55,9,1
2023,TPC Deere Run,3,12,3,198,2.96,-0.04,0,10,52,7,0
2023,TPC Deere Run,3,13,4,421,4.13,0.13,0,6,49,13,1
2023,TPC Deere Run,3,14,4,334,3.51,-0.49,4,28,35,2,0
2023,TPC Deere Run,3,15,4,470,3.74,-0.26,0,26,35,8,0
2023,TPC Deere Run,3,16,3,168,2.84,-0.16,0,13,54,2,0
2023,TPC Deere Run,3,17,5,558,4.52,-0.48,1,35,29,4,0
2023,TPC Deere Run,3,18,4,464,3.99,-0.01,0,10,51,7,1
2023,TPC Deere Run,4,1,4,427,3.88,-0.12,0,17,43,9,0
2023,TPC Deere Run,4,2,5,567,4.42,-0.58,4,35,27,3,0
2023,TPC Deere Run,4,3,3,197,3.01,0.01,0,11,47,10,1
2023,TPC Deere Run,4,4,4,421,3.62,-0.38,0,29,37,3,0
2023,TPC Deere Run,4,5,4,440,4.04,0.04,0,7,52,10,0
2023,TPC Deere Run,4,6,4,351,3.81,-0.19,0,22,38,9,0
2023,TPC Deere Run,4,7,3,195,2.8,-0.2,0,16,51,2,0
2023,TPC Deere Run,4,8,4,440,4.06,0.06,0,9,48,11,1
2023,TPC Deere Run,4,9,4,516,4.17,0.17,0,6,47,14,2
2023,TPC Deere Run,4,10,5,597,4.93,-0.07,0,11,54,3,1
2023,TPC Deere Run,4,11,4,409,3.7199999999999998,-0.28,0,24,41,3,1
2023,TPC Deere Run,4,12,3,221,3.09,0.09,0,10,43,16,0
2023,TPC Deere Run,4,13,4,412,3.97,-0.03,0,8,55,6,0
2023,TPC Deere Run,4,14,4,342,3.61,-0.39,0,32,32,5,0
2023,TPC Deere Run,4,15,4,490,4.17,0.17,0,9,41,18,1
2023,TPC Deere Run,4,16,3,166,2.99,-0.01,0,10,50,9,0
2023,TPC Deere Run,4,17,5,557,4.51,-0.49,1,33,34,1,0
2023,TPC Deere Run,4,18,4,480,4.19,0.19,0,5,50,10,4
