tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2022,TPC River Highlands,1,1,4,447,4.17,0.17,0,12,106,35,2
2022,TPC River Highlands,1,2,4,352,3.92,-0.08,1,31,105,16,2
2022,TPC River Highlands,1,3,4,435,4.08,0.08,0,14,114,27,0
2022,TPC River Highlands,1,4,4,477,4.04,0.04,0,20,109,26,0
2022,TPC River Highlands,1,5,3,223,3.06,0.06,0,12,121,22,0
2022,TPC River Highlands,1,6,5,582,4.76,-0.24,1,43,103,8,0
2022,TPC River Highlands,1,7,4,438,3.95,-0.05,0,26,113,14,2
2022,TPC River Highlands,1,8,3,206,3.12,0.12,0,15,112,23,5
2022,TPC River Highlands,1,9,4,405,3.95,-0.05,0,27,110,17,1
2022,TPC River Highlands,1,10,4,449,4.07,0.07,0,18,113,20,4
2022,TPC River Highlands,1,11,3,157,2.82,-0.18,0,38,107,10,0
2022,TPC River Highlands,1,12,4,419,4.17,0.17,0,17,104,27,7
2022,TPC River Highlands,1,13,5,525,4.93,-0.07,2,56,65,20,12
2022,TPC River Highlands,1,14,4,429,3.99,-0.01,1,27,103,21,3
2022,TPC River Highlands,1,15,4,278,3.71,-0.29,0,65,72,16,2
2022,TPC River Highlands,1,16,3,167,3.18,0.18,0,12,105,36,2
2022,TPC River Highlands,1,17,4,400,3.99,-0.01,0,28,105,17,5
2022,TPC River Highlands,1,18,4,432,3.97,-0.03,0,35,95,20,5
2022,TPC River Highlands,2,1,4,429,3.75,-0.25,0,46,100,8,0
2022,TPC River Highlands,2,2,4,342,3.88,-0.12,0,45,87,19,3
2022,TPC River Highlands,2,3,4,438,3.98,-0.02,0,25,107,22,0
2022,TPC River Highlands,2,4,4,488,4.03,0.03,0,23,105,25,1
2022,TPC River Highlands,2,5,3,228,3.05,0.05,0,12,122,20,0
2022,TPC River Highlands,2,6,5,596,4.65,-0.35,1,63,80,9,1
2022,TPC River Highlands,2,7,4,452,4.05,0.05,0,21,104,29,0
2022,TPC River Highlands,2,8,3,206,3.01,0.01,0,18,119,14,3
2022,TPC River Highlands,2,9,4,396,3.9,-0.1,0,26,117,11,0
2022,TPC River Highlands,2,10,4,476,4.12,0.12,0,13,112,26,3
2022,TPC River Highlands,2,11,3,166,2.82,-0.18,0,38,105,11,0
2022,TPC River Highlands,2,12,4,390,4.04,0.04,0,29,100,18,7
2022,TPC River Highlands,2,13,5,535,4.75,-0.25,6,66,54,19,9
2022,TPC River Highlands,2,14,4,411,3.92,-0.08,0,36,96,20,2
2022,TPC River Highlands,2,15,4,271,4.01,0.01,2,41,73,30,8
2022,TPC River Highlands,2,16,3,174,3.06,0.06,0,22,101,30,1
2022,TPC River Highlands,2,17,4,398,4.1,0.1,0,31,92,21,10
2022,TPC River Highlands,2,18,4,447,3.89,-0.11,0,37,97,20,0
2022,TPC River Highlands,3,1,4,431,3.85,-0.15,1,13,53,4,0
2022,TPC River Highlands,3,2,4,331,3.8,-0.2,1,23,38,7,2
2022,TPC River Highlands,3,3,4,431,3.86,-0.14,0,15,51,5,0
2022,TPC River Highlands,3,4,4,486,4.14,0.14,0,8,46,16,1
2022,TPC River Highlands,3,5,3,233,3.1,0.1,0,4,56,11,0
2022,TPC River Highlands,3,6,5,580,4.51,-0.49,1,38,27,5,0
2022,TPC River Highlands,3,7,4,455,4.13,0.13,0,8,47,15,1
2022,TPC River Highlands,3,8,3,211,3.07,0.07,0,6,54,11,0
2022,TPC River Highlands,3,9,4,390,4,0,0,8,55,8,0
2022,TPC River Highlands,3,10,4,450,4.1,0.1,0,10,45,15,1
2022,TPC River Highlands,3,11,3,143,2.85,-0.15,0,18,47,5,1
2022,TPC River Highlands,3,12,4,421,4.01,0.01,0,10,52,8,1
2022,TPC River Highlands,3,13,5,537,4.68,-0.32,2,34,23,9,3
2022,TPC River Highlands,3,14,4,404,3.87,-0.13,0,22,38,10,1
2022,TPC River Highlands,3,15,4,301,3.87,-0.13,0,23,36,10,2
2022,TPC River Highlands,3,16,3,152,2.9,-0.1,0,14,50,7,0
2022,TPC River Highlands,3,17,4,424,4.03,0.03,0,12,45,14,0
2022,TPC River Highlands,3,18,4,431,4.03,0.03,0,10,49,12,0
2022,TPC River Highlands,4,1,4,445,4.08,0.08,1,10,46,10,4
2022,TPC River Highlands,4,2,4,344,3.97,-0.03,0,16,43,10,2
2022,TPC River Highlands,4,3,4,412,4.04,0.04,0,9,50,12,0
2022,TPC River Highlands,4,4,4,482,4.07,0.07,0,14,40,15,2
2022,TPC River Highlands,4,5,3,233,3.08,0.08,0,7,51,13,0
2022,TPC River Highlands,4,6,5,595,4.7,-0.3,2,28,32,7,2
2022,TPC River Highlands,4,7,4,440,3.97,-0.03,0,9,55,7,0
2022,TPC River Highlands,4,8,3,179,3.03,0.03,0,12,46,12,1
2022,TPC River Highlands,4,9,4,400,3.94,-0.06,0,13,49,9,0
2022,TPC River Highlands,4,10,4,460,3.97,-0.03,0,11,52,7,1
2022,TPC River Highlands,4,11,3,163,2.83,-0.17,0,18,47,6,0
2022,TPC River Highlands,4,12,4,409,4.01,0.01,0,14,45,9,3
2022,TPC River Highlands,4,13,5,513,4.9,-0.1,1,33,17,13,7
2022,TPC River Highlands,4,14,4,413,4,0,0,11,51,7,2
2022,TPC River Highlands,4,15,4,297,3.83,-0.17,2,22,34,12,1
2022,TPC River Highlands,4,16,3,152,3.15,0.15,0,7,47,16,1
2022,TPC River Highlands,4,17,4,425,4.08,0.08,0,10,49,10,2
2022,TPC River Highlands,4,18,4,444,3.99,-0.01,0,17,40,12,2
