player_name,dg_id,my_pred
maverick mcnealy,18634,1.418
sam burns,19483,1.378
chris gotterup,27774,1.167
si woo kim,14609,1.131
akshay bhatia,26096,1.051
taylor pendrith,17780,0.959
wyndham clark,23604,0.966
sungjae im,17488,0.789
rickie fowler,12965,0.804
christiaan bezuidenhout,18103,0.776
davis thompson,27364,0.784
kevin yu,17881,0.74
andrew putnam,14704,0.701
kurt kitayama,21891,0.796
doug ghim,24550,0.691
max greyserman,23465,0.74
sam stevens,25569,0.657
matt wallace,20706,0.692
adam scott,6430,0.693
rico hoey,23504,0.635
michael thorbjornsen,26649,0.697
emiliano grillo,12808,0.636
beau hossler,15470,0.562
matt mccarty,28635,0.515
alex smalley,18474,0.498
max mcgreevy,23505,0.479
jake knapp,19396,0.553
tony finau,11676,0.585
alex noren,10419,0.466
vince whaley,25908,0.499
jesper svensson,26850,0.446
keith mitchell,17365,0.487
lee hodges,25157,0.445
kevin roy,18424,0.452
tom kim,24766,0.444
jacob bridgeman,29433,0.395
thorbjorn olesen,13412,0.349
matti schmid,20722,0.401
erik van rooyen,17550,0.37
jhonattan vegas,13508,0.373
austin eckroat,26653,0.398
takumi kanaya,19729,0.233
pierceson coody,28309,0.293
tom hoge,15575,0.357
mackenzie hughes,15556,0.262
mark hubbard,16333,0.259
max homa,17538,0.291
byeong hun an,14459,0.279
chris kirk,12423,0.298
ryo hisatsune,22760,0.202
luke clanton,32330,0.29
victor perez,20730,0.25
sam ryder,16715,0.2
patrick fishburn,25094,0.218
taylor moore,21944,0.178
thriston lawrence,18105,0.192
haotong li,15310,0.144
antoine rozner,18770,0.064
ricky castillo,27819,0.188
carson young,23656,0.096
chandler phillips,27164,-0.003
gary woodland,12577,0.169
sahith theegala,23014,0.064
hayden springer,21995,0.138
henrik norlander,11657,0.058
thomas rosenmueller,22736,0.063
quade cummins,27996,0.032
kris ventura,15651,0.057
joel dahmen,14509,0.06
cameron champ,23542,0.136
patrick rodgers,16283,0.015
steven fisk,26657,-0.003
eric cole,21756,-0.034
niklas norgaard,15676,0.031
paul peterson,16341,-0.037
ben kohles,16395,-0.042
sami valimaki,23816,-0.042
seamus power,10104,-0.079
william mouw,29770,-0.03
chad ramey,19840,-0.094
zach johnson,6986,-0.099
chan kim,15004,-0.058
ben silverman,17381,-0.118
david skinns,10873,-0.122
greyson sigg,23482,-0.127
brice garnett,11451,-0.133
david lipsky,15980,-0.164
joe highsmith,28469,-0.17
isaiah salinda,27183,-0.172
nate lashley,10943,-0.178
lanto griffin,15330,-0.181
jackson suber,29279,-0.142
will gordon,26660,-0.236
adam svensson,13997,-0.243
adam hadwin,13965,-0.246
nick hardy,19865,-0.257
cam davis,17786,-0.236
webb simpson,11049,-0.264
luke list,7960,-0.283
joseph bramlett,14698,-0.294
dylan wu,25002,-0.296
garrick higgo,24342,-0.308
mac meissner,28159,-0.298
brandt snedeker,8820,-0.336
preston stout,32089,-0.366
brendan valdes,31188,-0.372
davis riley,19872,-0.289
justin lower,17723,-0.407
adam schenk,19477,-0.471
trevor cone,21880,-0.476
jeremy paul,22087,-0.478
danny walker,25003,-0.481
ben martin,14007,-0.509
noah goodwin,24837,-0.518
chesson hadley,14967,-0.538
matthieu pavon,19960,-0.541
taylor montgomery,25442,-0.445
harry higgs,14140,-0.544
john pak,27820,-0.61
karl vilips,24304,-0.693
trey mullinax,18761,-0.7
david ford,31343,-0.736
chez reavie,7961,-0.772
hayden buckley,25363,-0.793
patton kizzire,13470,-0.833
danny willett,12920,-0.863
kevin velo,27762,-0.89
peter malnati,14926,-0.945
troy merritt,13367,-1.068
matthew riedel,30892,-1.102
kevin kisner,11328,-1.127
camilo villegas,9171,-1.137
michael la sasso,33755,-1.146
philip knowles,24562,-1.158
kaito onishi,25263,-1.206
cristobal del solar,17422,-1.219
will chandler,31212,-1.234
nick dunlap,28270,-1.278
taylor dickson,27420,-1.285
rafael campos,12909,-1.304
max herendeen,30035226,-1.441
braden thornberry,23502,-1.446
anders albertson,21235,-1.476
mason andersen,23540,-1.597
harrison endycott,19208,-1.602
frankie capan iii,21412,-1.65
aaron baddeley,6252,-1.737
yi cao,15067,-1.788
gordon sargent,30814,-1.924
ryan palmer,7820,-2.242
thomas campbell,18359,-2.616
michael feuerstein,24502,-2.689
stephen stallings jr.,25335,-2.87
josh radcliff,24496,-2.873
brandon matthews,22981,-3.182
carson herron,32819,-3.292
