PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ahlawat, Veer",70.621,70.621
"Aiken, Thomas",70.396,70.396
"Akesson, Bjorn",71.269,71.269
"Albertse, Louis",71.377,71.377
"Amat, Bastien",71.536,71.536
"Aphibarnrat, Kiradech",69.784,69.788
"Armitage, Marcus",69.514,69.446
"Ayora, Angel",69.075,69.041
"Baldwin, Matthew",70.835,70.835
"Barnes, Erik",74.174,74.174
"Bekirian, Jean",71.526,71.526
"Besseling, Wil",70.649,70.649
"Bjerregaard, Lucas",70.478,70.478
"Boneta, Albert",70.454,70.454
"Bradbury, Dan",69.696,69.716
"Brown, Hamish",70.298,70.298
"Brun, Julien",71.119,71.119
"Bryant, Davis",70.132,70.132
"Cabrera Bello, Rafa",70.444,70.444
"Campillo, Jorge",69.344,69.28
"Cantero Gutierrez, Ivan",69.962,70.133
"Catlin, John",69.41,69.401
"Celli, Filippo",70.588,70.588
"Chacarra, Eugenio",68.914,69.006
"Chappell, Kevin",70.392,70.392
"Cianchetti, Luca",72.889,72.889
"Clements, Todd",69.578,69.503
"Cockerill, Aaron",69.876,69.876
"Coletta, Brett",71.657,71.657
"Colsaerts, Nicolas",70.362,70.362
"Coussaud, Ugo",69.807,69.706
"Couvra, Martin",69.082,69.146
"Crocker, Sean",69.338,69.364
"Dantorp, Jens",69.939,69.939
"De Bruyn, Jannik",70.646,70.646
"De Leo, Gregorio",70.187,70.187
"Dean, Joe",69.974,70.023
"Del Rey, Alejandro",69.836,69.826
"Di Nitto, Enrico",72.065,72.065
"Ding, Wenyi",69.302,69.265
"Elvira Mijares, Ignacio",69.663,69.67
"Elvira, Manuel",69.931,69.857
"Erickson, Dan",70.871,70.871
"Fallotico, Lucas",72.441,72.441
"Fdez-Castano, Gonzalo",72.104,72.104
"Ferguson, Ewen",68.619,68.704
"Fichardt, Darren",70.218,70.218
"Fisher, Ross",71.049,71.049
"Fitzpatrick, Alex",69.291,69.341
"Follet-Smith, Benjamin",71.27,71.27
"Forrest, Grant",69.866,70.0
"Forsstrom, Simon",70.239,70.239
"Frances, Alexander George",71.197,71.197
"Gale, Daniel",71.141,71.141
"Garcia-Heredia, Alfredo",70.715,70.715
"Germishuys, Deon",70.642,70.642
"Girrbach, Joel",70.393,70.393
"Gouveia, Ricardo",69.775,69.775
"Green, Gavin",69.986,69.977
"Gumberg, Jordan",70.236,70.236
"Halvorsen, Andreas",70.072,70.072
"Harding, Justin",71.293,71.293
"Hebert, Benjamin",69.95,69.95
"Hidalgo, Angel",69.963,69.963
"Hill, Calum",69.888,69.966
"Hillier, Daniel",69.414,69.493
"Hirmer, Michael",71.817,71.817
"Hutsby, Sam",71.076,71.076
"Iwata, Hiroshi",70.218,70.218
