PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Ahlawat, Veer",70.621,70.621,-1.611
"Aiken, Thomas",70.396,70.396,-1.386
"Akesson, Bjorn",71.269,71.269,-2.259
"Albertse, Louis",71.377,71.377,-2.367
"Amat, Bastien",71.536,71.536,-2.526
"Aphibarnrat, Kiradech",69.784,69.788,-0.778
"Armitage, Marcus",69.514,69.446,-0.436
"Ayora, Angel",69.075,69.041,-0.031
"Baldwin, Matthew",70.835,70.835,-1.825
"Barnes, Erik",74.174,74.174,-5.164
"Bekirian, Jean",71.526,71.526,-2.516
"Besseling, Wil",70.649,70.649,-1.639
"Bjerregaard, Lucas",70.478,70.478,-1.468
"Boneta, Albert",70.454,70.454,-1.444
"Bradbury, Dan",69.696,69.716,-0.706
"Brown, Hamish",70.298,70.298,-1.288
"Brun, Julien",71.119,71.119,-2.109
"Bryant, Davis",70.132,70.132,-1.122
"Cabrera Bello, Rafa",70.444,70.444,-1.434
"Campillo, Jorge",69.344,69.28,-0.27
"Cantero Gutierrez, Ivan",69.962,70.133,-1.123
"Catlin, John",69.41,69.401,-0.391
"Celli, Filippo",70.588,70.588,-1.578
"Chacarra, Eugenio",68.914,69.006,0.004
"Chappell, Kevin",70.392,70.392,-1.382
"Cianchetti, Luca",72.889,72.889,-3.879
"Clements, Todd",69.578,69.503,-0.493
"Cockerill, Aaron",69.876,69.876,-0.866
"Coletta, Brett",71.657,71.657,-2.647
"Colsaerts, Nicolas",70.362,70.362,-1.352
"Coussaud, Ugo",69.807,69.706,-0.696
"Couvra, Martin",69.082,69.146,-0.136
"Crocker, Sean",69.338,69.364,-0.354
"Dantorp, Jens",69.939,69.939,-0.929
"De Bruyn, Jannik",70.646,70.646,-1.636
"De Leo, Gregorio",70.187,70.187,-1.177
"Dean, Joe",69.974,70.023,-1.013
"Del Rey, Alejandro",69.836,69.826,-0.816
"Di Nitto, Enrico",72.065,72.065,-3.055
"Ding, Wenyi",69.302,69.265,-0.255
"Elvira Mijares, Ignacio",69.663,69.67,-0.66
"Elvira, Manuel",69.931,69.857,-0.847
"Erickson, Dan",70.871,70.871,-1.861
"Fallotico, Lucas",72.441,72.441,-3.431
"Fdez-Castano, Gonzalo",72.104,72.104,-3.094
"Ferguson, Ewen",68.619,68.704,0.306
"Fichardt, Darren",70.218,70.218,-1.208
"Fisher, Ross",71.049,71.049,-2.039
"Fitzpatrick, Alex",69.291,69.341,-0.331
"Follet-Smith, Benjamin",71.27,71.27,-2.26
"Forrest, Grant",69.866,70.0,-0.99
"Forsstrom, Simon",70.239,70.239,-1.229
"Frances, Alexander George",71.197,71.197,-2.187
"Gale, Daniel",71.141,71.141,-2.131
"Garcia-Heredia, Alfredo",70.715,70.715,-1.705
"Germishuys, Deon",70.642,70.642,-1.632
"Girrbach, Joel",70.393,70.393,-1.383
"Gouveia, Ricardo",69.775,69.775,-0.765
"Green, Gavin",69.986,69.977,-0.967
"Gumberg, Jordan",70.236,70.236,-1.226
"Halvorsen, Andreas",70.072,70.072,-1.062
"Harding, Justin",71.293,71.293,-2.283
"Hebert, Benjamin",69.95,69.95,-0.94
"Hidalgo, Angel",69.963,69.963,-0.953
"Hill, Calum",69.888,69.966,-0.956
"Hillier, Daniel",69.414,69.493,-0.483
"Hirmer, Michael",71.817,71.817,-2.807
"Hutsby, Sam",71.076,71.076,-2.066
"Iwata, Hiroshi",70.218,70.218,-1.208
"Jamieson, Scott",69.964,69.995,-0.985
"Jin, Zihao",70.836,70.836,-1.826
"Johnston, Ryggs",70.579,70.579,-1.569
"Karlberg, Rikard",71.071,71.071,-2.061
"Katsuragawa, Yuto",69.575,69.611,-0.601
"Kieffer, Maximilian",69.763,69.763,-0.753
"Kinhult, Marcus",70.138,70.138,-1.128
"Knappe, Alexander",71.533,71.533,-2.523
"Ko, Jeong Weon",70.837,70.837,-1.827
"Kobori, Kazuma",69.655,69.667,-0.657
"Lacroix, Frederic",69.283,69.296,-0.286
"Lagergren, Joakim",70.221,70.221,-1.211
"Langasque, Romain",69.551,69.632,-0.622
"Laporta, Francesco",68.808,68.823,0.187
"Larrazabal, Pablo",70.052,70.033,-1.023
"Lemke, Niklas",69.793,69.772,-0.762
"Levy, Alexander",70.607,70.607,-1.597
"Lindberg, Mikael",70.871,70.871,-1.861
"Lindell, Oliver",69.264,69.184,-0.174
"List, Danny",71.273,71.273,-2.263
"Lombard, Zander",70.778,70.778,-1.768
"Manica, Mafredi",72.041,72.041,-3.031
"Mansell, Richard",69.426,69.441,-0.431
"Mazzoli, Stefano",70.172,70.172,-1.162
"McGowan, Ross",71.424,71.424,-2.414
"Memeo, Luca",71.906,71.906,-2.896
"Merritt, Troy",69.935,69.935,-0.925
"Micheluzzi, David",70.229,70.229,-1.219
"Michetti, Flavio",71.563,71.563,-2.553
"Migliozzi, Guido",69.723,69.757,-0.747
"Molinari, Edoardo",69.361,69.326,-0.316
"Moscatel, Joel",70.724,70.724,-1.714
"Nakajima, Keita",68.883,68.815,0.195
"Nienaber, Wilco",70.047,70.047,-1.037
"Norris, Shaun",69.382,69.42,-0.41
"Olesen, Jacob Skov",69.471,69.43,-0.42
"Ortolani, Michele",71.35,71.35,-2.34
"Otaegui, Adrian",69.647,69.559,-0.549
"Paratore, Renato",70.4,70.4,-1.39
"Parry, John",68.992,68.923,0.087
"Paul, Yannik",69.75,69.756,-0.746
"Pavan, Andrea",69.725,69.733,-0.723
"Penge, Marco",69.017,69.097,-0.087
"Pineau, Pierre",70.908,70.908,-1.898
"Pulkkanen, Tapio",70.367,70.367,-1.357
"Purcell, Conor",69.859,69.859,-0.849
