PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Ancer, Abraham",70.909,70.977,0.053
"Ballester, Jose Luis",72.005,72.005,-0.975
"Bland, Richard",71.366,71.598,-0.568
"Burmester, Dean",70.65,70.701,0.329
"Campbell, Ben",71.863,71.953,-0.923
"Casey, Paul",70.852,70.887,0.143
"DeChambeau, Bryson",68.714,68.791,2.239
"Garcia, Sergio",70.85,70.925,0.105
"Gooch, Talor",70.701,70.732,0.298
"Grace, Branden",71.533,71.621,-0.591
"Hatton, Tyrrell",69.62,69.597,1.433
"Herbert, Lucas",70.266,70.197,0.833
"Horsfield, Sam",71.61,71.432,-0.402
"Howell III, Charles",71.184,70.987,0.043
"Jang, Yubin",72.314,72.314,-1.284
"Johnson, Dustin",71.042,71.083,-0.053
"Jones, Matt",72.173,72.433,-1.403
"Kaymer, Martin",72.254,72.432,-1.402
"Kim, Anthony",73.804,73.804,-2.774
"Kjettrup, Frederik",73.396,73.396,-2.366
"Koepka, Brooks",70.416,70.308,0.722
"Kokrak, Jason",71.454,71.519,-0.489
"Kozuma, Jinichiro",71.356,71.266,-0.236
"Lahiri, Anirban",71.019,71.1,-0.07
"Lee, Chieh-Po",72.377,72.377,-1.347
"Lee, Danny",72.895,72.895,-1.865
"Leishman, Marc",70.735,70.688,0.342
"McDowell, Graeme",71.642,71.554,-0.524
"McKibbin, Tom",70.743,70.693,0.337
"Meronk, Adrian",71.695,72.076,-1.046
"Mickelson, Phil",71.528,71.598,-0.568
"Munoz, Sebastian",70.265,70.186,0.844
"Na, Kevin",71.619,71.578,-0.548
"Niemann, Joaquin",69.338,69.347,1.683
"Ogletree, Andy",72.497,72.448,-1.418
"Oosthuizen, Louis",70.947,70.929,0.101
"Ortiz, Carlos",69.823,69.704,1.326
"Pereira, Mito",72.69,72.739,-1.709
"Pieters, Thomas",70.739,70.701,0.329
"Poulter, Ian",72.239,72.371,-1.341
"Puig, David",70.513,70.5,0.53
"Rahm, Jon",68.773,68.711,2.319
"Reed, Patrick",70.142,70.273,0.757
"Schwartzel, Charl",70.945,70.882,0.148
"Smith, Cameron",70.563,70.66,0.37
"Steele, Brendan",71.253,71.144,-0.114
"Stenson, Henrik",71.976,71.716,-0.686
"Surratt, Caleb",71.538,71.585,-0.555
"Tringale, Cameron",70.896,70.798,0.232
"Uihlein, Peter",71.393,71.346,-0.316
"Varner III, Harold",71.048,70.975,0.055
"Watson, Bubba",70.883,70.913,0.117
"Westwood, Lee",72.349,72.217,-1.187
"Wolff, Matthew",71.756,71.797,-0.767
