PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ancer, Abraham",70.704,70.668
"Ballester Barrio, Jose Luis",71.339,71.339
"Bland, Richard",70.731,70.848
"Burmester, Dean",70.335,70.365
"Campbell, Ben",71.777,71.777
"Casey, Paul",70.698,70.691
"DeChambeau, Bryson",68.329,68.113
"Garcia, Sergio",70.376,70.275
"Gooch, Talor",70.6,70.663
"Grace, Branden",71.392,71.589
"Hatton, Tyrrell",69.512,69.771
"Herbert, Lucas",69.721,69.714
"Horsfield, Sam",71.293,71.252
"Howell III, Charles",70.875,70.762
"Jang, Yubin",72.082,72.082
"Johnson, Dustin",70.885,70.934
"Jones, Matt",71.589,71.747
"Kaymer, Martin",72.225,72.249
"Kim, Anthony",73.684,73.684
"Kjettrup, Frederik",72.951,72.951
"Koepka, Brooks",70.398,70.412
"Kokrak, Jason",71.226,70.841
"Kozuma, Jinichiro",71.188,70.912
"Lahiri, Anirban",71.068,71.101
"Lee, Chieh-Po",71.756,71.756
"Lee, Danny",72.623,73.067
"Leishman, Marc",70.74,70.642
"Masaveu, Luis",71.786,72.062
"McDowell, Graeme",71.767,71.729
"McKibbin, Tom",70.336,70.298
"Meronk, Adrian",71.455,71.745
"Mickelson, Phil",71.692,71.952
"Munoz, Sebastian",70.042,70.001
"Na, Kevin",71.381,71.066
"Niemann, Joaquin",69.056,69.015
"Ogletree, Andy",72.022,71.887
"Oosthuizen, Louis",70.682,70.601
"Ortiz, Carlos",69.998,70.003
"Pereira, Mito",72.212,72.212
"Pieters, Thomas",70.625,70.711
"Poulter, Ian",71.842,72.03
"Rahm, Jon",68.593,68.592
"Reed, Patrick",69.956,69.906
"Schwartzel, Charl",70.654,70.766
"Smith, Cameron",70.315,70.371
"Steele, Brendan",71.19,70.931
"Stenson, Henrik",71.642,71.454
"Surratt, Caleb",71.196,71.105
"Tringale, Cameron",70.514,70.47
"Uihlein, Peter",71.045,71.047
"Varner III, Harold",70.954,70.962
"Watson, Bubba",70.904,71.006
"Westwood, Lee",72.307,72.283
"Wolff, Matthew",71.402,71.361
