PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"Albertson, Anders",71.136,71.136,0.0
"An, Byeong Hun",69.372,69.381,0.009
"Andersen, Mason",71.257,71.257,0.0
"Baddeley, Aaron",71.397,71.397,0.0
"Bezuidenhout, Christiaan",68.866,68.884,0.018
"Bhatia, Akshay",68.579,68.609,0.03
"Bramlett, Joseph",69.954,69.954,0.0
"Bridgeman, Jacob",69.282,69.265,-0.017
"Buckley, Hayden",70.453,70.453,0.0
"Burns, Sam",68.276,68.282,0.006
"Campbell, Thomas",72.276,72.276,0.0
"Campos, Rafael",70.964,70.964,0.0
"Cao, Yi",71.448,71.448,0.0
"Capan III, Frankie",71.31,71.31,0.0
"Castillo, Ricky",69.564,69.472,-0.092
"Champ, Cameron",69.652,69.524,-0.128
"Chandler, Will",70.894,70.894,0.0
"Clanton, Luke",69.413,69.37,-0.043
"Clark, Wyndham",68.803,68.694,-0.109
"Cole, Eric",69.67,69.694,0.024
"Cone, Trevor",70.136,70.136,0.0
"Coody, Pierceson",69.324,69.367,0.043
"Cummins, Quade",69.628,69.628,0.0
"Dahmen, Joel",69.649,69.6,-0.049
"Davis, Cam",69.924,69.896,-0.028
"Del Solar, Cristobal",70.879,70.879,0.0
"Dickson, Taylor",70.945,70.945,0.0
"Dunlap, Nick",70.938,70.938,0.0
"Eckroat, Austin",69.32,69.262,-0.058
"Endycott, Harrison",71.262,71.262,0.0
"Feuerstein, Michael",72.349,72.349,0.0
"Finau, Tony",69.135,69.075,-0.06
"Fishburn, Patrick",69.45,69.442,-0.008
"Fisk, Steven",69.663,69.663,0.0
"Ford, David",70.396,70.396,0.0
"Fowler, Rickie",68.863,68.856,-0.007
"Garnett, Brice",69.793,69.793,0.0
"Ghim, Doug",68.953,68.969,0.016
"Goodwin, Noah",70.178,70.178,0.0
"Gordon, Will",69.896,69.896,0.0
"Gotterup, Chris",68.417,68.493,0.076
"Greyserman, Max",68.964,68.92,-0.044
"Griffin, Lanto",69.841,69.841,0.0
"Grillo, Emiliano",69.034,69.024,-0.01
"Hadley, Chesson",70.198,70.198,0.0
"Hadwin, Adam",69.906,69.906,0.0
"Hardy, Nick",69.917,69.917,0.0
"Herendeen, Max",71.101,71.101,0.0
"Herron, Carson",72.952,72.952,0.0
"Higgo, Garrick",69.968,69.968,0.0
"Higgs, Harry",70.204,70.204,0.0
"Highsmith, Joe",69.83,69.83,0.0
"Hisatsune, Ryo",69.389,69.458,0.069
"Hodges, Lee",69.218,69.215,-0.003
"Hoey, Rico",68.991,69.025,0.034
"Hoge, Tom",69.328,69.303,-0.025
"Homa, Max",69.367,69.369,0.002
"Hossler, Beau",69.035,69.098,0.063
"Hubbard, Mark",69.367,69.401,0.034
"Hughes, Mackenzie",69.354,69.398,0.044
"Im, Sungjae",68.846,68.871,0.025
"Johnson, Zach",69.759,69.759,0.0
"Kanaya, Takumi",69.322,69.427,0.105
"Kim, Chan",69.768,69.718,-0.05
"Kim, Si Woo",68.438,68.529,0.091
"Kim, Tom",69.268,69.216,-0.052
"Kirk, Chris",69.379,69.362,-0.017
"Kisner, Kevin",70.787,70.787,0.0
"Kitayama, Kurt",68.943,68.864,-0.079
"Kizzire, Patton",70.493,70.493,0.0
"Knapp, Jake",69.117,69.107,-0.01
"Knowles, Philip",70.818,70.818,0.0
"Kohles, Ben",69.702,69.702,0.0
"La Sasso, Michael",70.806,70.806,0.0
"Lashley, Nate",69.838,69.838,0.0
"Lawrence, Thriston",69.489,69.468,-0.021
"Li, Haotong",69.527,69.516,-0.011
"Lipsky, David",69.824,69.824,0.0
"List, Luke",69.943,69.943,0.0
"Lower, Justin",70.067,70.067,0.0
"Malnati, Peter",70.605,70.605,0.0
"Martin, Ben",70.169,70.169,0.0
"Matthews, Brandon",72.842,72.842,0.0
"McCarty, Matt",69.088,69.145,0.057
"McGreevy, Max",69.107,69.181,0.074
"McNealy, Maverick",68.161,68.242,0.081
"Meissner, Mac",69.977,69.958,-0.019
"Merritt, Troy",70.728,70.728,0.0
"Mitchell, Keith",69.181,69.173,-0.008
"Montgomery, Taylor",70.202,70.105,-0.097
"Moore, Taylor",69.473,69.482,0.009
"Mouw, William",69.75,69.69,-0.06
"Mullinax, Trey",70.36,70.36,0.0
"Noren, Alex",69.167,69.194,0.027
"Norgaard, Niklas",69.674,69.629,-0.045
"Norlander, Henrik",69.602,69.602,0.0
"Olesen, Thorbjorn",69.284,69.311,0.027
"Onishi, Kaito",70.866,70.866,0.0
"Pak, John",70.27,70.27,0.0
"Palmer, Ryan",71.902,71.902,0.0
"Paul, Jeremy",70.138,70.138,0.0
"Pavon, Matthieu",70.201,70.201,0.0
"Pendrith, Taylor",68.715,68.701,-0.014
"Perez, Victor",69.42,69.41,-0.01
"Peterson, Paul",69.697,69.697,0.0
"Phillips, Chandler",69.568,69.663,0.095
"Power, Seamus",69.739,69.739,0.0
"Putnam, Andrew",68.909,68.959,0.05
"Radcliff, Josh",72.533,72.533,0.0
"Ramey, Chad",69.754,69.754,0.0
"Reavie, Chez",70.432,70.432,0.0
"Riedel, Matthew",70.762,70.762,0.0
"Riley, Davis",70.034,69.949,-0.085
"Rodgers, Patrick",69.654,69.645,-0.009
"Rosenmueller, Thomas",69.622,69.597,-0.025
"Roy, Kevin",69.221,69.208,-0.013
"Rozner, Antoine",69.552,69.596,0.044
"Ryder, Sam",69.426,69.46,0.034
"Salinda, Isaiah",69.832,69.832,0.0
"Sargent, Gordon",71.584,71.584,0.0
"Schenk, Adam",70.131,70.131,0.0
"Schmid, Matti",69.293,69.259,-0.034
"Scott, Adam",68.991,68.967,-0.024
"Sigg, Greyson",69.787,69.787,0.0
"Silverman, Ben",69.778,69.778,0.0
"Simpson, Webb",69.924,69.924,0.0
"Skinns, David",69.782,69.782,0.0
"Smalley, Alex",69.099,69.162,0.063
"Snedeker, Brandt",69.996,69.996,0.0
"Springer, Hayden",69.591,69.522,-0.069
"Stallings Jr., Stephen",72.53,72.53,0.0
"Stevens, Sam",68.972,69.003,0.031
"Stout, Preston",70.026,70.026,0.0
"Suber, Jackson",69.852,69.802,-0.05
"Svensson, Adam",69.903,69.903,0.0
"Svensson, Jesper",69.171,69.214,0.043
"Theegala, Sahith",69.59,69.596,0.006
"Thompson, Davis",68.87,68.876,0.006
"Thorbjornsen, Michael",68.998,68.963,-0.035
"Thornberry, Braden",71.106,71.106,0.0
"Valdes, Brendan",70.032,70.032,0.0
"Valimaki, Sami",69.719,69.702,-0.017
"Van Rooyen, Erik",69.302,69.29,-0.012
"Vegas, Jhonattan",69.308,69.287,-0.021
"Velo, Kevin",70.55,70.55,0.0
"Ventura, Kris",69.637,69.603,-0.034
"Vilips, Karl",70.353,70.353,0.0
"Villegas, Camilo",70.797,70.797,0.0
"Walker, Danny",70.141,70.141,0.0
"Wallace, Matt",68.984,68.968,-0.016
"Whaley, Vince",69.168,69.161,-0.007
"Willett, Danny",70.523,70.523,0.0
"Woodland, Gary",69.588,69.491,-0.097
"Wu, Dylan",69.956,69.956,0.0
"Young, Carson",69.564,69.564,0.0
"Yu, Kevin",68.887,68.92,0.033
