PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ahlawat, Veer",72.091,72.091
"Aiken, Thomas",72.06,72.06
"Akesson, Bjorn",72.481,72.481
"Aphibarnrat, Kiradech",70.91,71.015
"Armitage, Marcus",71.054,71.012
"Ayora, Angel",70.39,70.402
"Bairstow, Sam",70.747,70.797
"Baldwin, Matthew",72.18,72.18
"Ballester, Jose Luis",71.512,71.512
"Barnes, Erik",75.61,75.61
"Bjerregaard, Lucas",71.884,71.884
"Bradbury, Dan",70.8,70.969
"Brown, Daniel",71.143,71.167
"Brown, Hamish",71.629,71.629
"Bryan, George",73.833,73.833
"Bryan, Wesley",71.33,71.382
"Bryant, Davis",71.522,71.522
"Cabrera Bello, Rafa",71.383,71.383
"Campillo, Jorge",70.572,70.508
"Canter, Laurie",70.363,70.337
"Cantero Gutierrez, Ivan",71.093,71.093
"Chacarra, Eugenio",70.105,70.044
"Chappell, Kevin",72.047,72.047
"Christensen, Tiger",72.291,72.291
"Clements, Todd",70.84,70.84
"Cockerill, Aaron",71.149,71.149
"Colsaerts, Nicolas",71.655,71.655
"Coussaud, Ugo",71.158,71.041
"Couvra, Martin",70.277,70.357
"Crocker, Sean",70.653,70.676
"Dantorp, Jens",70.993,70.993
"De Bruyn, Jannik",71.736,71.736
"De Leo, Gregorio",71.768,71.768
"Dean, Joe",71.349,71.349
"Del Rey, Alejandro",71.124,71.166
"Ding, Wenyi",70.885,70.87
"Donald, Luke",72.542,72.542
"Elvira Mijares, Ignacio",71.216,71.216
"Elvira, Manuel",71.192,71.192
"Erickson, Dan",72.216,72.216
"Ferguson, Ewen",70.076,70.07
"Fichardt, Darren",71.552,71.552
"Fisher, Ross",72.15,72.15
"Fitzpatrick, Alex",70.524,70.447
"Forrest, Grant",71.238,71.238
"Forsstrom, Simon",71.535,71.535
"Frances, Alexander George",72.438,72.438
"Gale, Daniel",72.07,72.07
"Garcia, Sergio",70.159,70.194
"Garcia-Heredia, Alfredo",72.153,72.153
"Germishuys, Deon",72.214,72.214
"Girrbach, Joel",71.703,71.703
"Glawe, Wolfgang",72.339,72.339
"Gouveia, Ricardo",71.131,71.131
"Green, Gavin",71.229,71.333
"Guerrier, Julien",70.681,70.756
"Gumberg, Jordan",71.792,71.792
"Halvorsen, Andreas",71.25,71.301
"Hebert, Benjamin",71.579,71.579
"Hidalgo, Angel",71.328,71.328
"Hill, Calum",70.64,70.59
"Hillier, Daniel",70.576,70.557
"Hirmer, Michael",73.05,73.05
"Horder, Nicolas",74.454,74.454
"Horsey, David",71.796,71.796
"Jamieson, Scott",71.314,71.314
"Jarvis, Casey",71.523,71.523
"Jin, Zihao",72.315,72.315
"Johnston, Ryggs",72.01,72.01
"Jordan, Matthew",70.672,70.649
"Katsuragawa, Yuto",71.151,71.12
"Kaymer, Martin",71.257,71.126
"Kieffer, Maximilian",70.872,70.75
"Kim, Minkyu",71.535,71.535
"Kimsey, Nathan",71.119,71.241
"Ko, Jeong Weon",72.299,72.299
"Kobori, Kazuma",71.205,71.236
"Kruyswijk, Jacques",70.758,70.695
"Lacroix, Frederic",70.661,70.625
"Lagergren, Joakim",71.376,71.376
"Langasque, Romain",70.825,70.841
"Laporta, Francesco",70.145,70.102
"Larrazabal, Pablo",71.256,71.256
"Lemke, Niklas",71.16,71.109
"Levy, Alexander",71.82,71.82
"Li, Haotong",70.206,70.312
"Lindberg, Mikael",71.763,71.763
"Lindell, Oliver",70.661,70.676
"Lombard, Zander",71.841,71.841
"Long, Hurly",72.158,72.158
"Luiten, Joost",70.346,70.321
"Mansell, Richard",70.612,70.544
"Merritt, Troy",71.675,71.675
"Micheluzzi, David",71.646,71.646
"Migliozzi, Guido",71.277,71.324
"Molinari, Edoardo",70.67,70.626
"Moscatel, Joel",72.484,72.484
"Naidoo, Dylan",72.129,72.129
"Nakajima, Keita",70.319,70.348
"Neergaard-Petersen, Rasmus",69.57,69.509
"Nienaber, Wilco",71.0,71.0
"Norris, Shaun",70.728,70.84
"Olesen, Jacob Skov",70.862,70.847
"Otaegui, Adrian",71.434,71.434
"Parry, John",70.491,70.432
"Paul, Yannik",70.956,70.989
"Pavan, Andrea",71.002,70.88
"Penge, Marco",69.995,69.93
"Pineau, Pierre",72.665,72.665
"Puig, David",69.672,69.695
"Pulkkanen, Tapio",71.65,71.65
"Purcell, Conor",71.527,71.527
"Ramsay, Richie",71.257,71.272
"Ravetto, David",71.135,71.135
"Reed, Patrick",69.408,69.423
"Reitan, Kristoffer",70.374,70.231
"Robinson-Thompson, Brandon",70.891,70.915
"Saddier, Adrien",70.214,70.255
"Schaper, Jayden",70.045,69.929
"Schmid, Matti",70.048,70.188
"Schmidt, Ben",71.536,71.536
"Schneider, Marcel",70.334,70.39
"Schott, Freddy",71.225,71.225
"Schwab, Matthias",72.567,72.567
"Scrivener, Jason",71.287,71.272
"Semikawa, Taiga",71.437,71.437
"Senior, Jack",71.478,71.478
"Sharma, Shubhankar",72.26,72.26
"Shaun, Corey",72.551,72.551
"Siem, Marcel",71.113,71.248
"Smith, Jordan",69.77,69.627
"Smylie, Elvis",71.569,71.569
"Sordet, Clement",71.381,71.381
"Southgate, Matthew",71.413,71.413
"Sterne, Richard",72.001,72.001
"Stone, Brandon",70.532,70.519
"Strydom, Ockie",73.191,73.191
"Sullivan, Andy",70.639,70.745
"Syme, Connor",70.958,70.925
"Tetak, Tadeáš",72.218,72.218
"Trainer, Martin",74.867,74.867
"Vaillant, Tom",71.209,71.326
"Van Driel, Darius",71.072,71.072
"Van Velzen, Ryan",72.179,72.179
"Vecchi Fossa, Jacopo",71.967,71.967
"Veerman, Johannes",70.806,70.82
"Von Dellingshausen, Nicolai",70.405,70.425
"Whitnell, Dale",71.989,71.989
"Wiedemeyer, Tim",72.648,72.648
"Wiesberger, Bernd",70.966,70.956
"Williams, Robin",71.442,71.442
"Wilson, Andrew",71.436,71.436
"Winther, Jeff",71.169,71.089
"Wu, Ashun",71.677,71.677
