PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ancer, Abraham",71.759,71.68
"Ballester, Jose Luis",73.595,73.595
"Bland, Richard",72.13,72.141
"Burmester, Dean",71.945,71.843
"Campbell, Ben",72.569,72.481
"Casey, Paul",71.611,71.611
"DeChambeau, Bryson",70.213,70.298
"Garcia, Sergio",71.654,71.581
"Gooch, Talor",71.823,71.838
"Grace, Branden",72.553,72.447
"Hatton, Tyrrell",70.79,70.785
"Herbert, Lucas",71.878,71.884
"Horsfield, Sam",72.678,72.276
"Howell III, Charles",72.22,72.252
"Jang, Yubin",73.685,73.245
"Johnson, Dustin",72.199,72.202
"Jones, Matt",73.481,73.571
"Kaymer, Martin",72.596,72.512
"Kim, Anthony",74.702,74.702
"Kjettrup, Frederik",74.548,74.988
"Koepka, Brooks",71.873,71.889
"Kokrak, Jason",72.78,73.028
"Kozuma, Jinichiro",72.235,72.149
"Lahiri, Anirban",71.841,71.888
"Lee, Chieh-Po",73.404,73.625
"Lee, Danny",73.835,73.376
"Leishman, Marc",72.026,72.189
"Masaveu, Luis",73.807,73.807
"McDowell, Graeme",72.662,72.488
"McKibbin, Tom",71.834,71.705
"Meronk, Adrian",72.888,73.05
"Mickelson, Phil",72.915,73.042
"Munoz, Sebastian",71.184,71.225
"Na, Kevin",72.71,72.758
"Niemann, Joaquin",70.807,70.773
"Ogletree, Andy",73.563,73.473
"Oosthuizen, Louis",71.58,71.469
"Ortiz, Carlos",71.319,71.429
"Pereira, Mito",74.069,74.528
"Pieters, Thomas",72.073,72.068
"Poulter, Ian",73.407,73.809
"Puig, David",71.428,71.381
"Rahm, Jon",70.138,70.092
"Reed, Patrick",71.055,70.955
"Schwartzel, Charl",71.973,71.935
"Smith, Cameron",71.757,71.937
"Steele, Brendan",72.538,72.284
"Stenson, Henrik",72.718,72.609
"Surratt, Caleb",73.049,73.234
"Tringale, Cameron",71.81,71.823
"Uihlein, Peter",72.999,73.006
"Varner III, Harold",72.11,72.132
"Watson, Bubba",72.38,72.323
"Westwood, Lee",73.165,73.339
