PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"Ancer, Abraham",70.597,70.608,0.011
"Ballester, Jose Luis",71.954,71.903,-0.051
"Bland, Richard",71.187,71.224,0.037
"Burmester, Dean",70.957,70.973,0.016
"Campbell, Ben",71.831,71.804,-0.027
"Casey, Paul",70.666,70.653,-0.013
"DeChambeau, Bryson",69.113,69.128,0.015
"Garcia, Sergio",70.712,70.677,-0.035
"Gooch, Talor",70.338,70.326,-0.012
"Grace, Branden",71.125,71.183,0.058
"Hatton, Tyrrell",69.608,69.637,0.029
"Herbert, Lucas",70.766,70.778,0.012
"Horsfield, Sam",71.434,71.524,0.09
"Howell III, Charles",70.888,70.883,-0.005
"Jang, Yubin",72.479,72.442,-0.037
"Johnson, Dustin",71.182,71.15,-0.032
"Jones, Matt",71.997,72.012,0.015
"Kaymer, Martin",71.726,71.653,-0.073
"Kim, Anthony",73.648,73.648,0.0
"Kjettrup, Frederik",73.438,73.438,0.0
"Koepka, Brooks",71.043,71.016,-0.027
"Kokrak, Jason",71.278,71.227,-0.051
"Kozuma, Jinichiro",71.323,71.383,0.06
"Lahiri, Anirban",70.846,70.882,0.036
"Lee, Chieh-Po",72.294,72.331,0.037
"Lee, Danny",72.646,72.646,0.0
"Leishman, Marc",70.995,70.951,-0.044
"McDowell, Graeme",71.823,71.827,0.004
"McKibbin, Tom",70.513,70.514,0.001
"Meronk, Adrian",71.514,71.48,-0.034
"Mickelson, Phil",71.727,71.688,-0.039
"Munoz, Sebastian",70.174,70.243,0.069
"Na, Kevin",71.82,71.863,0.043
"Niemann, Joaquin",69.445,69.408,-0.037
"Ogletree, Andy",72.118,72.05,-0.068
"Oosthuizen, Louis",70.786,70.778,-0.008
"Ortiz, Carlos",70.544,70.564,0.02
"Pereira, Mito",72.877,72.877,0.0
"Pieters, Thomas",70.859,70.905,0.046
"Poulter, Ian",72.325,72.257,-0.068
"Puig, David",70.527,70.48,-0.047
"Rahm, Jon",69.021,69.014,-0.007
"Reed, Patrick",70.189,70.173,-0.016
"Schwartzel, Charl",70.993,70.998,0.005
"Smith, Cameron",70.727,70.684,-0.043
"Steele, Brendan",71.219,71.256,0.037
"Stenson, Henrik",71.407,71.458,0.051
"Surratt, Caleb",71.468,71.372,-0.096
"Tringale, Cameron",70.703,70.737,0.034
"Uihlein, Peter",71.814,71.718,-0.096
"Varner III, Harold",70.864,70.868,0.004
"Watson, Bubba",70.782,70.82,0.038
"Westwood, Lee",71.851,71.857,0.006
"Wolff, Matthew",72.044,72.059,0.015
