PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ancer, Abraham",70.909,70.977
"Ballester, Jose Luis",72.005,72.005
"Bland, Richard",71.366,71.598
"Burmester, Dean",70.65,70.701
"Campbell, Ben",71.863,71.953
"Casey, Paul",70.852,70.887
"DeChambeau, Bryson",68.714,68.791
"Garcia, Sergio",70.85,70.925
"Gooch, Talor",70.701,70.732
"Grace, Branden",71.533,71.621
"Hatton, Tyrrell",69.62,69.597
"Herbert, Lucas",70.266,70.197
"Horsfield, Sam",71.61,71.432
"Howell III, Charles",71.184,70.987
"Jang, Yubin",72.314,72.314
"Johnson, Dustin",71.042,71.083
"Jones, Matt",72.173,72.433
"Kaymer, Martin",72.254,72.432
"Kim, Anthony",73.804,73.804
"Kjettrup, Frederik",73.396,73.396
"Koepka, Brooks",70.416,70.308
"Kokrak, Jason",71.454,71.519
"Kozuma, Jinichiro",71.356,71.266
"Lahiri, Anirban",71.019,71.1
"Lee, Chieh-Po",72.377,72.377
"Lee, Danny",72.895,72.895
"Leishman, Marc",70.735,70.688
"McDowell, Graeme",71.642,71.554
"McKibbin, Tom",70.743,70.693
"Meronk, Adrian",71.695,72.076
"Mickelson, Phil",71.528,71.598
"Munoz, Sebastian",70.265,70.186
"Na, Kevin",71.619,71.578
"Niemann, Joaquin",69.338,69.347
"Ogletree, Andy",72.497,72.448
"Oosthuizen, Louis",70.947,70.929
"Ortiz, Carlos",69.823,69.704
"Pereira, Mito",72.69,72.739
"Pieters, Thomas",70.739,70.701
"Poulter, Ian",72.239,72.371
"Puig, David",70.513,70.5
"Rahm, Jon",68.773,68.711
"Reed, Patrick",70.142,70.273
"Schwartzel, Charl",70.945,70.882
"Smith, Cameron",70.563,70.66
"Steele, Brendan",71.253,71.144
"Stenson, Henrik",71.976,71.716
"Surratt, Caleb",71.538,71.585
"Tringale, Cameron",70.896,70.798
"Uihlein, Peter",71.393,71.346
"Varner III, Harold",71.048,70.975
"Watson, Bubba",70.883,70.913
"Westwood, Lee",72.349,72.217
"Wolff, Matthew",71.756,71.797
