PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"Ancer, Abraham",70.109,70.062,-0.047
"Ballester, Jose Luis",71.279,71.279,0.0
"Bland, Richard",70.607,70.499,-0.108
"Burmester, Dean",70.01,70.055,0.045
"Campbell, Ben",71.327,71.181,-0.146
"Casey, Paul",70.038,69.948,-0.09
"DeChambeau, Bryson",67.961,68.008,0.047
"Garcia, Sergio",70.139,70.12,-0.019
"Gooch, Talor",69.92,69.88,-0.04
"Grace, Branden",70.676,70.822,0.146
"Hatton, Tyrrell",68.711,68.681,-0.03
"Herbert, Lucas",69.814,69.9,0.086
"Horsfield, Sam",70.61,70.664,0.054
"Howell III, Charles",70.274,70.396,0.122
"Jang, Yubin",71.803,71.803,0.0
"Johnson, Dustin",69.941,69.949,0.008
"Jones, Matt",71.223,71.224,0.001
"Kaymer, Martin",71.306,71.36,0.054
"Kim, Anthony",72.921,72.921,0.0
"Kjettrup, Frederik",72.735,72.735,0.0
"Koepka, Brooks",70.121,70.106,-0.015
"Kokrak, Jason",70.526,70.46,-0.066
"Kozuma, Jinichiro",70.326,70.324,-0.002
"Lahiri, Anirban",70.289,70.194,-0.095
"Lee, Chieh-Po",71.65,71.697,0.047
"Lee, Danny",72.123,71.989,-0.134
"Leishman, Marc",70.303,70.297,-0.006
"McDowell, Graeme",71.25,71.135,-0.115
"McKibbin, Tom",69.755,69.804,0.049
"Meronk, Adrian",70.701,70.714,0.013
"Mickelson, Phil",70.969,70.956,-0.013
"Munoz, Sebastian",69.628,69.652,0.024
"Na, Kevin",71.31,71.444,0.134
"Niemann, Joaquin",68.707,68.714,0.007
"Ogletree, Andy",71.607,71.553,-0.054
"Oosthuizen, Louis",70.286,70.221,-0.065
"Ortiz, Carlos",69.698,69.73,0.032
"Pereira, Mito",72.104,72.104,0.0
"Pieters, Thomas",70.123,70.125,0.002
"Poulter, Ian",71.857,71.81,-0.047
"Puig, David",69.546,69.555,0.009
"Rahm, Jon",68.038,68.013,-0.025
"Reed, Patrick",69.519,69.598,0.079
"Schwartzel, Charl",70.358,70.309,-0.049
"Smith, Cameron",69.877,69.903,0.026
"Steele, Brendan",70.648,70.687,0.039
"Stenson, Henrik",71.014,71.013,-0.001
"Surratt, Caleb",70.838,70.953,0.115
"Tringale, Cameron",70.011,69.98,-0.031
"Uihlein, Peter",70.581,70.542,-0.039
"Varner III, Harold",70.013,70.171,0.158
"Watson, Bubba",70.381,70.43,0.049
"Westwood, Lee",71.154,70.987,-0.167
"Wolff, Matthew",71.023,71.023,0.0
