PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",68.059,68.175
"An, Byeong Hun",68.648,68.59
"Bairstow, Sam",69.335,69.335
"Berger, Daniel",68.657,68.766
"Bezuidenhout, Christiaan",68.963,68.736
"Bradbury, Dan",69.711,69.711
"Bridgeman, Jacob",68.836,68.935
"Brown, Daniel",69.064,69.202
"Burns, Sam",68.248,68.375
"Campbell, Brian",69.784,69.784
"Campillo, Jorge",69.573,69.573
"Canter, Laurie",68.881,68.945
"Cauley, Bud",68.731,68.776
"Chacarra, Eugenio",69.259,69.559
"Cho, Wooyoung",70.589,70.589
"Clanton, Luke",68.958,69.023
"Clark, Wyndham",68.87,68.99
"Clements, Todd",69.526,69.526
"Cockerill, Aaron",69.811,69.811
"Conners, Corey",68.331,68.337
"Coussaud, Ugo",69.738,69.738
"Couvra, Martin",69.299,69.297
"Crocker, Sean",69.71,69.71
"Dahmen, Joel",69.759,69.759
"Dean, Joe",69.912,69.912
"Del Rey, Alejandro",69.693,69.652
"Detry, Thomas",68.682,68.565
"Donald, Luke",70.722,70.722
"Echavarria, Nico",69.332,69.429
"Elvira Mijares, Ignacio",69.809,69.809
"English, Harris",68.537,68.405
"Ferguson, Ewen",69.028,69.037
"Fitzpatrick, Alex",69.294,69.294
"Fitzpatrick, Matt",68.237,68.103
"Fleetwood, Tommy",67.694,67.482
"Ford, David",70.029,70.029
"Forrest, Grant",69.347,69.347
"Forsstrom, Simon",70.269,70.269
"Fox, Ryan",68.384,68.254
"Frittelli, Dylan",70.011,70.011
"Gerard, Ryan",68.702,68.818
"Gotterup, Chris",68.402,68.348
"Greyserman, Max",68.46,68.524
"Guerrier, Julien",69.577,69.577
"Gumberg, Jordan",70.631,70.631
"Hall, Harry",68.329,68.387
"Harman, Brian",69.024,68.988
"Harrington, Padraig",69.885,69.823
"Hidalgo, Angel",70.187,70.187
"Highsmith, Joe",69.484,69.484
"Hill, Calum",69.366,69.428
"Hillier, Daniel",69.37,69.37
"Hisatsune, Ryo",69.005,69.215
"Hodges, Lee",68.906,69.306
"Hoge, Tom",69.165,69.19
"Hojgaard, Nicolai",68.64,68.654
"Hojgaard, Rasmus",68.435,68.325
"Hoshino, Rikuya",69.552,69.503
"Hovland, Viktor",68.132,68.115
"Hughes, Mackenzie",69.069,69.196
