PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"Aberg, Ludvig",71.003,70.967,-0.036
"Adam, Cameron",74.367,74.367,0.0
"Akutsu, Mikiya",74.399,74.399,0.0
"An, Byeong Hun",72.064,72.083,0.019
"Axelsen, John",74.318,74.318,0.0
"Berger, Daniel",71.507,71.596,0.089
"Bezuidenhout, Christiaan",71.843,71.822,-0.021
"Bhatia, Akshay",71.896,72.025,0.129
"Bloor, George",74.515,74.515,0.0
"Bradley, Keegan",71.415,71.507,0.092
"Brown, Daniel",72.36,72.303,-0.057
"Burmester, Dean",72.302,72.175,-0.127
"Burns, Sam",71.314,71.322,0.008
"Campbell, Brian",72.979,72.979,0.0
"Canter, Laurie",71.932,71.912,-0.02
"Cantlay, Patrick",71.23,71.241,0.011
"Catlin, John",73.041,73.041,0.0
"Cauley, Bud",72.032,72.069,0.037
"Cave, Seb",75.187,75.187,0.0
"Choi, K.J.",74.875,74.875,0.0
"Cink, Stewart",72.993,73.002,0.009
"Clark, Wyndham",71.951,71.793,-0.158
"Clarke, Darren",74.313,74.11,-0.203
"Conners, Corey",71.184,71.264,0.08
"Couvra, Martin",72.639,72.615,-0.024
"Day, Jason",71.629,71.623,-0.006
"DeChambeau, Bryson",70.519,70.595,0.076
"Detry, Thomas",71.971,71.994,0.023
"Echavarria, Nico",72.217,72.284,0.067
"English, Harris",71.447,71.445,-0.002
"Fang, Ethan",73.81,73.81,0.0
"Farrell, OJ",75.924,75.924,0.0
"Fichardt, Darren",73.997,73.997,0.0
"Finau, Tony",72.224,72.225,0.001
"Fitzpatrick, Matt",71.121,71.06,-0.061
"Fleetwood, Tommy",70.521,70.555,0.034
"Fowler, Rickie",71.957,72.036,0.079
"Fox, Ryan",71.729,71.605,-0.124
"Garcia, Sergio",72.246,72.288,0.042
"Glover, Lucas",72.071,72.131,0.06
"Gotterup, Chris",71.477,71.511,0.034
"Graham, Connor",74.251,74.251,0.0
"Greyserman, Max",71.741,71.862,0.121
"Griffin, Ben",71.36,71.333,-0.027
"Guerrier, Julien",72.965,72.965,0.0
"Hall, Harry",71.374,71.363,-0.011
"Harman, Brian",71.921,71.97,0.049
