PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"An, Byeong Hun",68.421,68.352,-0.069
"Baddeley, Aaron",70.87,70.87,0.0
"Bezuidenhout, Christiaan",67.827,67.829,0.002
"Bhatia, Akshay",67.818,67.749,-0.069
"Blair, Zac",68.991,68.991,0.0
"Bradley, Keegan",67.455,67.459,0.004
"Bridgeman, Jacob",68.406,68.403,-0.003
"Campbell, Brian",68.842,68.842,0.0
"Campos, Rafael",70.211,70.211,0.0
"Capan III, Frankie",70.931,70.931,0.0
"Castillo, Ricky",68.761,68.761,0.0
"Cauley, Bud",68.206,68.216,0.01
"Chandler, Will",70.419,70.419,0.0
"Clanton, Luke",68.444,68.431,-0.013
"Cole, Eric",68.682,68.543,-0.139
"Cole, Preston",74.261,74.261,0.0
"Cone, Trevor",69.359,69.359,0.0
"Coody, Pierceson",68.284,68.257,-0.027
"Cummins, Quade",68.898,68.898,0.0
"Dahmen, Joel",68.533,68.533,0.0
"Davis, Cam",69.379,69.379,0.0
"Del Solar, Cristobal",70.055,70.055,0.0
"Detry, Thomas",68.5,68.448,-0.052
"Dickson, Taylor",70.161,70.161,0.0
"Duncan, Austin",72.008,72.008,0.0
"Dunlap, Nick",70.35,70.35,0.0
"Echavarria, Nico",68.438,68.427,-0.011
"Eckroat, Austin",68.232,68.233,0.001
"Finau, Tony",68.835,68.732,-0.103
"Fishburn, Patrick",68.638,68.606,-0.032
"Fisk, Steven",68.856,68.856,0.0
"Fitzpatrick, Matt",67.414,67.413,-0.001
"Ford, David",69.326,69.326,0.0
"Fowler, Rickie",67.951,67.968,0.017
"Fox, Ryan",68.437,68.407,-0.03
"Franken, Stephen",72.176,72.176,0.0
"Garnett, Brice",68.691,68.691,0.0
"Gerard, Ryan",67.812,67.92,0.108
"Ghim, Doug",68.135,68.123,-0.012
"Glover, Lucas",67.599,67.634,0.035
"Goodwin, Noah",68.919,68.919,0.0
"Gordon, Will",69.088,69.088,0.0
"Greyserman, Max",68.295,68.238,-0.057
"Griffin, Ben",67.573,67.555,-0.018
"Griffin, Lanto",69.039,69.039,0.0
"Grillo, Emiliano",68.162,68.184,0.022
"Hadley, Chesson",69.435,69.435,0.0
"Hadwin, Adam",68.999,68.999,0.0
"Hall, Harry",67.882,67.854,-0.028
"Hardy, Nick",68.996,68.996,0.0
"Herman, Jim",71.244,71.244,0.0
"Higgo, Garrick",69.133,69.133,0.0
"Higgs, Harry",69.044,69.044,0.0
"Highsmith, Joe",68.999,68.999,0.0
"Hisatsune, Ryo",68.48,68.485,0.005
"Hodges, Lee",68.461,68.429,-0.032
