PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Ahlawat, Veer",72.0,72.0
"Aiken, Thomas",71.694,71.694
"Akesson, Bjorn",72.51,72.51
"Amat, Bastien",72.754,72.754
"Armitage, Marcus",71.088,71.063
"Ayora, Angel",70.745,70.809
"Bairstow, Sam",70.52,70.577
"Baldwin, Matthew",71.998,71.998
"Bekirian, Jean",72.683,72.683
"Besseling, Wil",71.903,71.903
"Bjerregaard, Lucas",72.371,72.371
"Boneta, Albert",71.935,71.935
"Bradbury, Dan",71.473,71.473
"Brown, Daniel",71.178,71.214
"Brown, Hamish",72.149,72.149
"Brun, Julien",72.607,72.607
"Bryant, Davis",71.691,71.691
"Cabrera Bello, Rafa",71.984,71.984
"Campillo, Jorge",71.053,71.042
"Canter, Laurie",70.437,70.435
"Cantero Gutierrez, Ivan",71.545,71.545
"Catlin, John",70.976,71.002
"Chacarra, Eugenio",70.426,70.511
"Clements, Todd",70.968,71.063
"Cockerill, Aaron",71.18,71.18
"Colsaerts, Nicolas",71.899,71.899
"Coussaud, Ugo",71.0,71.036
"Crocker, Sean",70.9,71.034
"Dantorp, Jens",71.656,71.656
"De Bruyn, Jannik",72.085,72.085
"De Leo, Gregorio",71.72,71.72
"De Vries, Wouter",73.22,73.22
"Dean, Joe",71.136,71.238
"Del Rey, Alejandro",71.188,71.158
"Ding, Wenyi",70.627,70.516
"Donaldson, Jamie",72.883,72.883
"Driessen, Bjorn",74.751,74.751
"Elvira Mijares, Ignacio",71.408,71.408
"Elvira, Manuel",71.548,71.548
"Erickson, Dan",72.135,72.135
"Fdez-Castano, Gonzalo",73.689,73.689
"Ferguson, Ewen",70.286,70.377
"Fisher, Ross",72.378,72.378
"Fitzpatrick, Alex",70.857,70.886
"Follet-Smith, Benjamin",72.753,72.753
"Forrest, Grant",71.454,71.387
"Forsstrom, Simon",71.627,71.627
"Frances, Alexander George",72.63,72.63
"Frittelli, Dylan",71.459,71.458
"Gale, Daniel",72.228,72.228
"Garcia-Heredia, Alfredo",72.283,72.283
"Germishuys, Deon",72.037,72.037
"Girrbach, Joel",71.895,71.895
"Gouveia, Ricardo",71.489,71.353
"Green, Gavin",71.587,71.581
"Guerrier, Julien",70.807,70.797
"Gumberg, Jordan",71.722,71.722
"Halvorsen, Andreas",71.471,71.471
"Harding, Justin",72.544,72.544
"Hebert, Benjamin",71.68,71.68
"Hidalgo, Angel",71.537,71.595
"Hill, Calum",71.203,71.243
"Hillier, Daniel",70.761,70.807
"Huizing, Daan",72.283,72.283
"Jamieson, Scott",71.134,71.104
"Jarvis, Casey",71.202,71.202
"Jin, Zihao",72.241,72.241
"Johnston, Ryggs",71.916,71.916
"Katsuragawa, Yuto",71.153,71.118
"Kieffer, Maximilian",71.245,71.282
"Kim, Minkyu",71.824,71.824
"Kimsey, Nathan",71.136,71.044
"Kinhult, Marcus",71.122,71.131
"Kleen, Algot",72.029,72.029
"Knappe, Alexander",72.9,72.9
"Ko, Jeong Weon",72.19,72.19
"Kobori, Kazuma",71.137,71.329
"Kouwenaar, Koen",75.022,75.022
"Lafeber, Guus",74.777,74.777
"Lagergren, Joakim",71.848,71.848
"Laporta, Francesco",70.445,70.338
"Larrazabal, Pablo",71.346,71.408
"Lawrence, Thriston",71.06,71.088
"Lemke, Niklas",71.175,71.239
"Li, Haotong",70.182,70.227
"Lindberg, Mikael",72.147,72.147
"Lindell, Oliver",70.913,70.861
"List, Danny",72.63,72.63
"Lombard, Zander",72.514,72.514
"Luiten, Joost",70.056,69.951
"Mansell, Richard",70.716,70.676
"Merritt, Troy",71.23,71.217
"Micheluzzi, David",71.726,71.679
"Migliozzi, Guido",70.951,71.007
"Molinari, Francesco",71.333,71.376
"Moscatel, Joel",72.092,72.092
"Naidoo, Dylan",72.253,72.253
"Nakajima, Keita",70.181,70.166
"Neergaard-Petersen, Rasmus",69.779,69.85
"Nienaber, Wilco",71.454,71.473
"Olesen, Jacob Skov",71.089,70.895
"Otaegui, Adrian",71.033,71.08
"Parry, John",70.717,70.805
"Paul, Yannik",71.274,71.281
"Pavan, Andrea",70.647,70.711
"Pineau, Pierre",72.653,72.653
"Porsius, Davey",74.118,74.118
"Pulkkanen, Tapio",71.889,71.889
"Purcell, Conor",71.445,71.445
"Ramsay, Richie",71.447,71.265
"Ravetto, David",71.269,71.216
"Reitan, Kristoffer",70.529,70.435
"Reuter, Benjamin",73.533,73.533
"Robinson-Thompson, Brandon",71.021,71.209
