PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Albertson, Anders",71.136,71.136,-1.476
"An, Byeong Hun",69.372,69.381,0.279
"Andersen, Mason",71.257,71.257,-1.597
"Baddeley, Aaron",71.397,71.397,-1.737
"Bezuidenhout, Christiaan",68.866,68.884,0.776
"Bhatia, Akshay",68.579,68.609,1.051
"Bramlett, Joseph",69.954,69.954,-0.294
"Bridgeman, Jacob",69.282,69.265,0.395
"Buckley, Hayden",70.453,70.453,-0.793
"Burns, Sam",68.276,68.282,1.378
"Campbell, Thomas",72.276,72.276,-2.616
"Campos, Rafael",70.964,70.964,-1.304
"Cao, Yi",71.448,71.448,-1.788
"Capan III, Frankie",71.31,71.31,-1.65
"Castillo, Ricky",69.564,69.472,0.188
"Champ, Cameron",69.652,69.524,0.136
"Chandler, Will",70.894,70.894,-1.234
"Clanton, Luke",69.413,69.37,0.29
"Clark, Wyndham",68.803,68.694,0.966
"Cole, Eric",69.67,69.694,-0.034
"Cone, Trevor",70.136,70.136,-0.476
"Coody, Pierceson",69.324,69.367,0.293
"Cummins, Quade",69.628,69.628,0.032
"Dahmen, Joel",69.649,69.6,0.06
"Davis, Cam",69.924,69.896,-0.236
"Del Solar, Cristobal",70.879,70.879,-1.219
"Dickson, Taylor",70.945,70.945,-1.285
"Dunlap, Nick",70.938,70.938,-1.278
"Eckroat, Austin",69.32,69.262,0.398
"Endycott, Harrison",71.262,71.262,-1.602
"Feuerstein, Michael",72.349,72.349,-2.689
"Finau, Tony",69.135,69.075,0.585
"Fishburn, Patrick",69.45,69.442,0.218
"Fisk, Steven",69.663,69.663,-0.003
"Ford, David",70.396,70.396,-0.736
"Fowler, Rickie",68.863,68.856,0.804
"Garnett, Brice",69.793,69.793,-0.133
"Ghim, Doug",68.953,68.969,0.691
"Goodwin, Noah",70.178,70.178,-0.518
"Gordon, Will",69.896,69.896,-0.236
"Gotterup, Chris",68.417,68.493,1.167
"Greyserman, Max",68.964,68.92,0.74
"Griffin, Lanto",69.841,69.841,-0.181
"Grillo, Emiliano",69.034,69.024,0.636
"Hadley, Chesson",70.198,70.198,-0.538
"Hadwin, Adam",69.906,69.906,-0.246
"Hardy, Nick",69.917,69.917,-0.257
"Herendeen, Max",71.101,71.101,-1.441
"Herron, Carson",72.952,72.952,-3.292
"Higgo, Garrick",69.968,69.968,-0.308
"Higgs, Harry",70.204,70.204,-0.544
"Highsmith, Joe",69.83,69.83,-0.17
"Hisatsune, Ryo",69.389,69.458,0.202
"Hodges, Lee",69.218,69.215,0.445
"Hoey, Rico",68.991,69.025,0.635
"Hoge, Tom",69.328,69.303,0.357
"Homa, Max",69.367,69.369,0.291
"Hossler, Beau",69.035,69.098,0.562
"Hubbard, Mark",69.367,69.401,0.259
"Hughes, Mackenzie",69.354,69.398,0.262
"Im, Sungjae",68.846,68.871,0.789
"Johnson, Zach",69.759,69.759,-0.099
"Kanaya, Takumi",69.322,69.427,0.233
