PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Ahlawat, Veer",72.091,72.091,-1.641
"Aiken, Thomas",72.06,72.06,-1.61
"Akesson, Bjorn",72.481,72.481,-2.031
"Aphibarnrat, Kiradech",70.91,71.015,-0.565
"Armitage, Marcus",71.054,71.012,-0.562
"Ayora, Angel",70.39,70.402,0.048
"Bairstow, Sam",70.747,70.797,-0.347
"Baldwin, Matthew",72.18,72.18,-1.73
"Ballester, Jose Luis",71.512,71.512,-1.062
"Barnes, Erik",75.61,75.61,-5.16
"Bjerregaard, Lucas",71.884,71.884,-1.434
"Bradbury, Dan",70.8,70.969,-0.519
"Brown, Daniel",71.143,71.167,-0.717
"Brown, Hamish",71.629,71.629,-1.179
"Bryan, George",73.833,73.833,-3.383
"Bryan, Wesley",71.33,71.382,-0.932
"Bryant, Davis",71.522,71.522,-1.072
"Cabrera Bello, Rafa",71.383,71.383,-0.933
"Campillo, Jorge",70.572,70.508,-0.058
"Canter, Laurie",70.363,70.337,0.113
"Cantero Gutierrez, Ivan",71.093,71.093,-0.643
"Chacarra, Eugenio",70.105,70.044,0.406
"Chappell, Kevin",72.047,72.047,-1.597
"Christensen, Tiger",72.291,72.291,-1.841
"Clements, Todd",70.84,70.84,-0.39
"Cockerill, Aaron",71.149,71.149,-0.699
"Colsaerts, Nicolas",71.655,71.655,-1.205
"Coussaud, Ugo",71.158,71.041,-0.591
"Couvra, Martin",70.277,70.357,0.093
"Crocker, Sean",70.653,70.676,-0.226
"Dantorp, Jens",70.993,70.993,-0.543
"De Bruyn, Jannik",71.736,71.736,-1.286
"De Leo, Gregorio",71.768,71.768,-1.318
"Dean, Joe",71.349,71.349,-0.899
"Del Rey, Alejandro",71.124,71.166,-0.716
"Ding, Wenyi",70.885,70.87,-0.42
"Donald, Luke",72.542,72.542,-2.092
"Elvira Mijares, Ignacio",71.216,71.216,-0.766
"Elvira, Manuel",71.192,71.192,-0.742
"Erickson, Dan",72.216,72.216,-1.766
"Ferguson, Ewen",70.076,70.07,0.38
"Fichardt, Darren",71.552,71.552,-1.102
"Fisher, Ross",72.15,72.15,-1.7
"Fitzpatrick, Alex",70.524,70.447,0.003
"Forrest, Grant",71.238,71.238,-0.788
"Forsstrom, Simon",71.535,71.535,-1.085
"Frances, Alexander George",72.438,72.438,-1.988
"Gale, Daniel",72.07,72.07,-1.62
"Garcia, Sergio",70.159,70.194,0.256
"Garcia-Heredia, Alfredo",72.153,72.153,-1.703
"Germishuys, Deon",72.214,72.214,-1.764
"Girrbach, Joel",71.703,71.703,-1.253
"Glawe, Wolfgang",72.339,72.339,-1.889
"Gouveia, Ricardo",71.131,71.131,-0.681
"Green, Gavin",71.229,71.333,-0.883
"Guerrier, Julien",70.681,70.756,-0.306
"Gumberg, Jordan",71.792,71.792,-1.342
"Halvorsen, Andreas",71.25,71.301,-0.851
"Hebert, Benjamin",71.579,71.579,-1.129
"Hidalgo, Angel",71.328,71.328,-0.878
"Hill, Calum",70.64,70.59,-0.14
"Hillier, Daniel",70.576,70.557,-0.107
"Hirmer, Michael",73.05,73.05,-2.6
"Horder, Nicolas",74.454,74.454,-4.004
"Horsey, David",71.796,71.796,-1.346
"Jamieson, Scott",71.314,71.314,-0.864
"Jarvis, Casey",71.523,71.523,-1.073
"Jin, Zihao",72.315,72.315,-1.865
"Johnston, Ryggs",72.01,72.01,-1.56
"Jordan, Matthew",70.672,70.649,-0.199
"Katsuragawa, Yuto",71.151,71.12,-0.67
"Kaymer, Martin",71.257,71.126,-0.676
"Kieffer, Maximilian",70.872,70.75,-0.3
"Kim, Minkyu",71.535,71.535,-1.085
"Kimsey, Nathan",71.119,71.241,-0.791
"Ko, Jeong Weon",72.299,72.299,-1.849
"Kobori, Kazuma",71.205,71.236,-0.786
"Kruyswijk, Jacques",70.758,70.695,-0.245
"Lacroix, Frederic",70.661,70.625,-0.175
"Lagergren, Joakim",71.376,71.376,-0.926
"Langasque, Romain",70.825,70.841,-0.391
"Laporta, Francesco",70.145,70.102,0.348
"Larrazabal, Pablo",71.256,71.256,-0.806
"Lemke, Niklas",71.16,71.109,-0.659
"Levy, Alexander",71.82,71.82,-1.37
"Li, Haotong",70.206,70.312,0.138
"Lindberg, Mikael",71.763,71.763,-1.313
"Lindell, Oliver",70.661,70.676,-0.226
"Lombard, Zander",71.841,71.841,-1.391
"Long, Hurly",72.158,72.158,-1.708
"Luiten, Joost",70.346,70.321,0.129
"Mansell, Richard",70.612,70.544,-0.094
"Merritt, Troy",71.675,71.675,-1.225
"Micheluzzi, David",71.646,71.646,-1.196
"Migliozzi, Guido",71.277,71.324,-0.874
"Molinari, Edoardo",70.67,70.626,-0.176
"Moscatel, Joel",72.484,72.484,-2.034
"Naidoo, Dylan",72.129,72.129,-1.679
"Nakajima, Keita",70.319,70.348,0.102
"Neergaard-Petersen, Rasmus",69.57,69.509,0.941
"Nienaber, Wilco",71.0,71.0,-0.55
"Norris, Shaun",70.728,70.84,-0.39
"Olesen, Jacob Skov",70.862,70.847,-0.397
"Otaegui, Adrian",71.434,71.434,-0.984
"Parry, John",70.491,70.432,0.018
"Paul, Yannik",70.956,70.989,-0.539
"Pavan, Andrea",71.002,70.88,-0.43
"Penge, Marco",69.995,69.93,0.52
"Pineau, Pierre",72.665,72.665,-2.215
"Puig, David",69.672,69.695,0.755
"Pulkkanen, Tapio",71.65,71.65,-1.2
"Purcell, Conor",71.527,71.527,-1.077
"Ramsay, Richie",71.257,71.272,-0.822
"Ravetto, David",71.135,71.135,-0.685
"Reed, Patrick",69.408,69.423,1.027
"Reitan, Kristoffer",70.374,70.231,0.219
"Robinson-Thompson, Brandon",70.891,70.915,-0.465
"Saddier, Adrien",70.214,70.255,0.195
"Schaper, Jayden",70.045,69.929,0.521
"Schmid, Matti",70.048,70.188,0.262
"Schmidt, Ben",71.536,71.536,-1.086
"Schneider, Marcel",70.334,70.39,0.06
"Schott, Freddy",71.225,71.225,-0.775
"Schwab, Matthias",72.567,72.567,-2.117
"Scrivener, Jason",71.287,71.272,-0.822
"Semikawa, Taiga",71.437,71.437,-0.987
"Senior, Jack",71.478,71.478,-1.028
"Sharma, Shubhankar",72.26,72.26,-1.81
"Shaun, Corey",72.551,72.551,-2.101
"Siem, Marcel",71.113,71.248,-0.798
"Smith, Jordan",69.77,69.627,0.823
"Smylie, Elvis",71.569,71.569,-1.119
"Sordet, Clement",71.381,71.381,-0.931
"Southgate, Matthew",71.413,71.413,-0.963
"Sterne, Richard",72.001,72.001,-1.551
"Stone, Brandon",70.532,70.519,-0.069
"Strydom, Ockie",73.191,73.191,-2.741
"Sullivan, Andy",70.639,70.745,-0.295
"Syme, Connor",70.958,70.925,-0.475
"Tetak, Tadeáš",72.218,72.218,-1.768
"Trainer, Martin",74.867,74.867,-4.417
"Vaillant, Tom",71.209,71.326,-0.876
"Van Driel, Darius",71.072,71.072,-0.622
"Van Velzen, Ryan",72.179,72.179,-1.729
"Vecchi Fossa, Jacopo",71.967,71.967,-1.517
"Veerman, Johannes",70.806,70.82,-0.37
"Von Dellingshausen, Nicolai",70.405,70.425,0.025
"Whitnell, Dale",71.989,71.989,-1.539
"Wiedemeyer, Tim",72.648,72.648,-2.198
"Wiesberger, Bernd",70.966,70.956,-0.506
"Williams, Robin",71.442,71.442,-0.992
"Wilson, Andrew",71.436,71.436,-0.986
"Winther, Jeff",71.169,71.089,-0.639
"Wu, Ashun",71.677,71.677,-1.227
"Wu, Brandon",71.808,71.808,-1.358
"Zanotti, Fabrizio",70.582,70.705,-0.255
