PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Ancer, Abraham",71.759,71.68,0.53
"Ballester, Jose Luis",73.595,73.595,-1.385
"Bland, Richard",72.13,72.141,0.069
"Burmester, Dean",71.945,71.843,0.367
"Campbell, Ben",72.569,72.481,-0.271
"Casey, Paul",71.611,71.611,0.599
"DeChambeau, Bryson",70.213,70.298,1.912
"Garcia, Sergio",71.654,71.581,0.629
"Gooch, Talor",71.823,71.838,0.372
"Grace, Branden",72.553,72.447,-0.237
"Hatton, Tyrrell",70.79,70.785,1.425
"Herbert, Lucas",71.878,71.884,0.326
"Horsfield, Sam",72.678,72.276,-0.066
"Howell III, Charles",72.22,72.252,-0.042
"Jang, Yubin",73.685,73.245,-1.035
"Johnson, Dustin",72.199,72.202,0.008
"Jones, Matt",73.481,73.571,-1.361
"Kaymer, Martin",72.596,72.512,-0.302
"Kim, Anthony",74.702,74.702,-2.492
"Kjettrup, Frederik",74.548,74.988,-2.778
"Koepka, Brooks",71.873,71.889,0.321
"Kokrak, Jason",72.78,73.028,-0.818
"Kozuma, Jinichiro",72.235,72.149,0.061
"Lahiri, Anirban",71.841,71.888,0.322
"Lee, Chieh-Po",73.404,73.625,-1.415
"Lee, Danny",73.835,73.376,-1.166
"Leishman, Marc",72.026,72.189,0.021
"Masaveu, Luis",73.807,73.807,-1.597
"McDowell, Graeme",72.662,72.488,-0.278
"McKibbin, Tom",71.834,71.705,0.505
"Meronk, Adrian",72.888,73.05,-0.84
"Mickelson, Phil",72.915,73.042,-0.832
"Munoz, Sebastian",71.184,71.225,0.985
"Na, Kevin",72.71,72.758,-0.548
"Niemann, Joaquin",70.807,70.773,1.437
"Ogletree, Andy",73.563,73.473,-1.263
"Oosthuizen, Louis",71.58,71.469,0.741
"Ortiz, Carlos",71.319,71.429,0.781
"Pereira, Mito",74.069,74.528,-2.318
"Pieters, Thomas",72.073,72.068,0.142
"Poulter, Ian",73.407,73.809,-1.599
"Puig, David",71.428,71.381,0.829
"Rahm, Jon",70.138,70.092,2.118
"Reed, Patrick",71.055,70.955,1.255
"Schwartzel, Charl",71.973,71.935,0.275
"Smith, Cameron",71.757,71.937,0.273
"Steele, Brendan",72.538,72.284,-0.074
"Stenson, Henrik",72.718,72.609,-0.399
"Surratt, Caleb",73.049,73.234,-1.024
"Tringale, Cameron",71.81,71.823,0.387
"Uihlein, Peter",72.999,73.006,-0.796
"Varner III, Harold",72.11,72.132,0.078
"Watson, Bubba",72.38,72.323,-0.113
"Westwood, Lee",73.165,73.339,-1.129
