PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Ancer, Abraham",70.109,70.062,0.268
"Ballester, Jose Luis",71.279,71.279,-0.949
"Bland, Richard",70.607,70.499,-0.169
"Burmester, Dean",70.01,70.055,0.275
"Campbell, Ben",71.327,71.181,-0.851
"Casey, Paul",70.038,69.948,0.382
"DeChambeau, Bryson",67.961,68.008,2.322
"Garcia, Sergio",70.139,70.12,0.21
"Gooch, Talor",69.92,69.88,0.45
"Grace, Branden",70.676,70.822,-0.492
"Hatton, Tyrrell",68.711,68.681,1.649
"Herbert, Lucas",69.814,69.9,0.43
"Horsfield, Sam",70.61,70.664,-0.334
"Howell III, Charles",70.274,70.396,-0.066
"Jang, Yubin",71.803,71.803,-1.473
"Johnson, Dustin",69.941,69.949,0.381
"Jones, Matt",71.223,71.224,-0.894
"Kaymer, Martin",71.306,71.36,-1.03
"Kim, Anthony",72.921,72.921,-2.591
"Kjettrup, Frederik",72.735,72.735,-2.405
"Koepka, Brooks",70.121,70.106,0.224
"Kokrak, Jason",70.526,70.46,-0.13
"Kozuma, Jinichiro",70.326,70.324,0.006
"Lahiri, Anirban",70.289,70.194,0.136
"Lee, Chieh-Po",71.65,71.697,-1.367
"Lee, Danny",72.123,71.989,-1.659
"Leishman, Marc",70.303,70.297,0.033
"McDowell, Graeme",71.25,71.135,-0.805
"McKibbin, Tom",69.755,69.804,0.526
"Meronk, Adrian",70.701,70.714,-0.384
"Mickelson, Phil",70.969,70.956,-0.626
"Munoz, Sebastian",69.628,69.652,0.678
"Na, Kevin",71.31,71.444,-1.114
"Niemann, Joaquin",68.707,68.714,1.616
"Ogletree, Andy",71.607,71.553,-1.223
"Oosthuizen, Louis",70.286,70.221,0.109
"Ortiz, Carlos",69.698,69.73,0.6
"Pereira, Mito",72.104,72.104,-1.774
"Pieters, Thomas",70.123,70.125,0.205
"Poulter, Ian",71.857,71.81,-1.48
"Puig, David",69.546,69.555,0.775
"Rahm, Jon",68.038,68.013,2.317
"Reed, Patrick",69.519,69.598,0.732
"Schwartzel, Charl",70.358,70.309,0.021
"Smith, Cameron",69.877,69.903,0.427
"Steele, Brendan",70.648,70.687,-0.357
"Stenson, Henrik",71.014,71.013,-0.683
"Surratt, Caleb",70.838,70.953,-0.623
"Tringale, Cameron",70.011,69.98,0.35
"Uihlein, Peter",70.581,70.542,-0.212
"Varner III, Harold",70.013,70.171,0.159
"Watson, Bubba",70.381,70.43,-0.1
"Westwood, Lee",71.154,70.987,-0.657
"Wolff, Matthew",71.023,71.023,-0.693
