PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",68.059,68.175,1.075
"An, Byeong Hun",68.648,68.59,0.66
"Bairstow, Sam",69.335,69.335,-0.085
"Berger, Daniel",68.657,68.766,0.484
"Bezuidenhout, Christiaan",68.963,68.736,0.514
"Bradbury, Dan",69.711,69.711,-0.461
"Bridgeman, Jacob",68.836,68.935,0.315
"Brown, Daniel",69.064,69.202,0.048
"Burns, Sam",68.248,68.375,0.875
"Campbell, Brian",69.784,69.784,-0.534
"Campillo, Jorge",69.573,69.573,-0.323
"Canter, Laurie",68.881,68.945,0.305
"Cauley, Bud",68.731,68.776,0.474
"Chacarra, Eugenio",69.259,69.559,-0.309
"Cho, Wooyoung",70.589,70.589,-1.339
"Clanton, Luke",68.958,69.023,0.227
"Clark, Wyndham",68.87,68.99,0.26
"Clements, Todd",69.526,69.526,-0.276
"Cockerill, Aaron",69.811,69.811,-0.561
"Conners, Corey",68.331,68.337,0.913
"Coussaud, Ugo",69.738,69.738,-0.488
"Couvra, Martin",69.299,69.297,-0.047
"Crocker, Sean",69.71,69.71,-0.46
"Dahmen, Joel",69.759,69.759,-0.509
"Dean, Joe",69.912,69.912,-0.662
"Del Rey, Alejandro",69.693,69.652,-0.402
"Detry, Thomas",68.682,68.565,0.685
"Donald, Luke",70.722,70.722,-1.472
"Echavarria, Nico",69.332,69.429,-0.179
"Elvira Mijares, Ignacio",69.809,69.809,-0.559
"English, Harris",68.537,68.405,0.845
"Ferguson, Ewen",69.028,69.037,0.213
"Fitzpatrick, Alex",69.294,69.294,-0.044
"Fitzpatrick, Matt",68.237,68.103,1.147
"Fleetwood, Tommy",67.694,67.482,1.768
"Ford, David",70.029,70.029,-0.779
"Forrest, Grant",69.347,69.347,-0.097
"Forsstrom, Simon",70.269,70.269,-1.019
"Fox, Ryan",68.384,68.254,0.996
"Frittelli, Dylan",70.011,70.011,-0.761
"Gerard, Ryan",68.702,68.818,0.432
"Gotterup, Chris",68.402,68.348,0.902
"Greyserman, Max",68.46,68.524,0.726
"Guerrier, Julien",69.577,69.577,-0.327
"Gumberg, Jordan",70.631,70.631,-1.381
"Hall, Harry",68.329,68.387,0.863
"Harman, Brian",69.024,68.988,0.262
"Harrington, Padraig",69.885,69.823,-0.573
"Hidalgo, Angel",70.187,70.187,-0.937
"Highsmith, Joe",69.484,69.484,-0.234
"Hill, Calum",69.366,69.428,-0.178
"Hillier, Daniel",69.37,69.37,-0.12
"Hisatsune, Ryo",69.005,69.215,0.035
"Hodges, Lee",68.906,69.306,-0.056
"Hoge, Tom",69.165,69.19,0.06
"Hojgaard, Nicolai",68.64,68.654,0.596
"Hojgaard, Rasmus",68.435,68.325,0.925
"Hoshino, Rikuya",69.552,69.503,-0.253
"Hovland, Viktor",68.132,68.115,1.135
"Hughes, Mackenzie",69.069,69.196,0.054
"Im, Sungjae",68.894,68.863,0.387
"Johnston, Ryggs",70.4,70.4,-1.15
"Jordan, Matthew",68.956,68.797,0.453
"Katsuragawa, Yuto",69.734,69.734,-0.484
"Kim, Hongtaek",70.858,70.858,-1.608
"Kim, Michael",68.8,68.854,0.396
"Kim, Si Woo",68.558,68.407,0.843
"Kim, Tom",68.992,69.051,0.199
"Knapp, Jake",68.628,68.842,0.408
"Kruyswijk, Jacques",69.394,69.394,-0.144
"Lacroix, Frederic",69.487,69.487,-0.237
"Langasque, Romain",69.678,69.678,-0.428
"Laporta, Francesco",69.058,69.106,0.144
"Larrazabal, Pablo",70.487,70.487,-1.237
"Lawrence, Thriston",69.105,68.884,0.366
"Lee, Junghwan",70.503,70.503,-1.253
"Li, Haotong",68.822,68.766,0.484
"MacIntyre, Robert",67.944,67.723,1.527
"Manassero, Matteo",69.546,69.246,0.004
"Mansell, Richard",69.178,69.178,0.072
"McCarthy, Denny",68.737,68.7,0.55
"McCarty, Matt",69.203,69.203,0.047
"McGreevy, Max",69.35,69.35,-0.1
"McIlroy, Rory",67.425,67.645,1.605
"McNealy, Maverick",68.34,68.502,0.748
"Migliozzi, Guido",70.095,70.095,-0.845
"Mitchell, Keith",68.864,69.107,0.143
"Molinari, Francesco",69.993,69.993,-0.743
"Moore, Taylor",68.901,68.901,0.349
"Morikawa, Collin",67.985,68.008,1.242
"Naidoo, Dylan",70.328,70.328,-1.078
"Nakajima, Keita",69.488,69.488,-0.238
"Neergaard-Petersen, Rasmus",68.439,68.415,0.835
"Noren, Alex",68.644,68.757,0.493
"Norgaard, Niklas",68.791,68.919,0.331
"Norlander, Henrik",69.536,69.536,-0.286
"Norris, Shaun",69.619,69.619,-0.369
"Novak, Andrew",68.745,68.732,0.518
"Olesen, Thorbjorn",68.678,68.56,0.69
"Otaegui, Adrian",70.087,70.087,-0.837
"Parry, John",69.323,69.323,-0.073
"Paul, Yannik",69.917,69.917,-0.667
"Pavon, Matthieu",69.706,69.706,-0.456
"Pendrith, Taylor",68.556,68.587,0.663
"Penge, Marco",68.614,68.485,0.765
"Perez, Victor",68.781,68.645,0.605
"Potgieter, Aldrich",68.984,68.974,0.276
"Putnam, Andrew",69.31,69.31,-0.06
"Rai, Aaron",68.452,68.391,0.859
"Ramsay, Richie",69.631,69.631,-0.381
"Ravetto, David",69.731,69.731,-0.481
"Reitan, Kristoffer",69.032,68.94,0.31
"Riley, Davis",69.556,69.556,-0.306
"Rodgers, Patrick",69.214,69.214,0.036
"Rose, Justin",69.526,69.815,-0.565
"Rozner, Antoine",69.181,69.181,0.069
"Saddier, Adrien",69.303,69.349,-0.099
"Salinda, Isaiah",69.398,69.398,-0.148
"Schauffele, Xander",67.922,67.96,1.29
"Scheffler, Scottie",66.806,66.68,2.57
"Schmid, Matti",68.964,69.02,0.23
"Schneider, Marcel",69.4,69.4,-0.15
"Scott, Adam",68.272,68.194,1.056
"Siem, Marcel",69.996,69.996,-0.746
"Smalley, Alex",68.891,68.891,0.359
"Smith, Jordan",68.727,68.569,0.681
"Smylie, Elvis",69.997,69.997,-0.747
"Snedeker, Brandt",69.974,69.974,-0.724
"Soderberg, Sebastian",69.614,69.614,-0.364
"Spaun, J.J.",68.346,68.489,0.761
"Stevens, Sam",68.56,68.602,0.648
"Stone, Brandon",69.279,69.143,0.107
"Straka, Sepp",68.478,68.654,0.596
"Strydom, Ockie",71.378,71.378,-2.128
"Sullivan, Andy",69.506,69.506,-0.256
"Svensson, Jesper",68.696,68.516,0.734
"Syme, Connor",69.518,69.518,-0.268
"Taylor, Nick",68.716,68.704,0.546
"Thomas, Justin",68.063,68.136,1.114
"Tosti, Alejandro",69.364,69.364,-0.114
"Valimaki, Sami",69.089,69.089,0.161
"Van Driel, Darius",70.08,70.08,-0.83
"Van Rooyen, Erik",69.064,69.146,0.104
"Veerman, Johannes",69.515,69.556,-0.306
"Vegas, Jhonattan",69.064,69.064,0.186
"Vilips, Karl",69.646,69.646,-0.396
"Von Dellingshausen, Nicolai",69.629,69.629,-0.379
"Walker, Danny",69.646,69.695,-0.445
"Wallace, Matt",68.611,68.338,0.912
"Waring, Paul",70.056,70.056,-0.806
"Whitnell, Dale",70.556,70.556,-1.306
"Wiesberger, Bernd",70.157,70.157,-0.907
"Willett, Danny",69.809,69.809,-0.559
"Woodland, Gary",69.109,69.41,-0.16
"Wu, Ashun",69.943,69.943,-0.693
"Yu, Kevin",68.559,68.576,0.674
