PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",71.003,70.967,1.573
"Adam, Cameron",74.367,74.367,-1.827
"Akutsu, Mikiya",74.399,74.399,-1.859
"An, Byeong Hun",72.064,72.083,0.457
"Axelsen, John",74.318,74.318,-1.778
"Berger, Daniel",71.507,71.596,0.944
"Bezuidenhout, Christiaan",71.843,71.822,0.718
"Bhatia, Akshay",71.896,72.025,0.515
"Bloor, George",74.515,74.515,-1.975
"Bradley, Keegan",71.415,71.507,1.033
"Brown, Daniel",72.36,72.303,0.237
"Burmester, Dean",72.302,72.175,0.365
"Burns, Sam",71.314,71.322,1.218
"Campbell, Brian",72.979,72.979,-0.439
"Canter, Laurie",71.932,71.912,0.628
"Cantlay, Patrick",71.23,71.241,1.299
"Catlin, John",73.041,73.041,-0.501
"Cauley, Bud",72.032,72.069,0.471
"Cave, Seb",75.187,75.187,-2.647
"Choi, K.J.",74.875,74.875,-2.335
"Cink, Stewart",72.993,73.002,-0.462
"Clark, Wyndham",71.951,71.793,0.747
"Clarke, Darren",74.313,74.11,-1.57
"Conners, Corey",71.184,71.264,1.276
"Couvra, Martin",72.639,72.615,-0.075
"Day, Jason",71.629,71.623,0.917
"DeChambeau, Bryson",70.519,70.595,1.945
"Detry, Thomas",71.971,71.994,0.546
"Echavarria, Nico",72.217,72.284,0.256
"English, Harris",71.447,71.445,1.095
"Fang, Ethan",73.81,73.81,-1.27
"Farrell, OJ",75.924,75.924,-3.384
"Fichardt, Darren",73.997,73.997,-1.457
"Finau, Tony",72.224,72.225,0.315
"Fitzpatrick, Matt",71.121,71.06,1.48
"Fleetwood, Tommy",70.521,70.555,1.985
"Fowler, Rickie",71.957,72.036,0.504
"Fox, Ryan",71.729,71.605,0.935
"Garcia, Sergio",72.246,72.288,0.252
"Glover, Lucas",72.071,72.131,0.409
"Gotterup, Chris",71.477,71.511,1.029
"Graham, Connor",74.251,74.251,-1.711
"Greyserman, Max",71.741,71.862,0.678
"Griffin, Ben",71.36,71.333,1.207
"Guerrier, Julien",72.965,72.965,-0.425
"Hall, Harry",71.374,71.363,1.177
"Harman, Brian",71.921,71.97,0.57
"Harrington, Padraig",73.205,73.114,-0.574
"Hastings, Justin",74.127,74.127,-1.587
"Hatton, Tyrrell",70.905,70.923,1.617
"Henley, Russell",71.344,71.322,1.218
"Herbert, Lucas",72.073,72.106,0.434
"Hidalgo Portillo, Angel",73.64,73.64,-1.1
"Hillier, Daniel",72.875,72.875,-0.335
"Hoge, Tom",72.404,72.323,0.217
"Hojgaard, Nicolai",71.605,71.606,0.934
"Hojgaard, Rasmus",72.044,71.919,0.621
"Hoshino, Rikuya",72.948,72.922,-0.382
"Hovland, Viktor",70.947,70.963,1.577
"Hughes, Mackenzie",72.284,72.263,0.277
"Im, Sungjae",72.003,71.928,0.612
"Imahira, Shugo",73.86,73.86,-1.32
"Jaeger, Stephan",72.619,72.629,-0.089
"Jakubcik, Filip",73.8,73.8,-1.26
"Johnson, Dustin",72.315,72.295,0.245
"Johnson, Zach",72.926,72.917,-0.377
"Johnston, Ryggs",74.03,74.03,-1.49
"Jones, Frazer",76.184,76.184,-3.644
"Jordan, Matthew",72.497,72.417,0.123
"Kaewkanjana, Sadom",73.243,73.243,-0.703
"Kanaya, Takumi",72.741,72.767,-0.227
"Kawamoto, Riki",73.804,73.804,-1.264
"Kim, Michael",71.913,71.95,0.59
"Kim, Si Woo",71.451,71.478,1.062
"Kim, Tom",71.921,71.873,0.667
"Kimsey, Nathan",72.959,72.959,-0.419
"Kirk, Chris",72.454,72.484,0.056
"Knipes, Curtis",76.394,76.394,-3.854
"Koepka, Brooks",72.083,72.066,0.474
