PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",68.22,68.25
"An, Byeong Hun",69.23,69.31
"Berger, Daniel",68.12,68.153
"Bezuidenhout, Christiaan",68.9,68.6
"Bhatia, Akshay",68.59,68.47
"Bradley, Keegan",67.92,67.846
"Bridgeman, Jacob",69.13,69.037
"Burns, Sam",68.34,68.376
"Campbell, Brian",69.72,70.042
"Cantlay, Patrick",67.9,67.805
"Cauley, Bud",68.76,68.901
"Clanton, Luke",69.08,69.24
"Clark, Wyndham",69.18,69.368
"Cole, Eric",69.4,69.414
"Davis, Cam",69.68,69.606
"Day, Jason",68.52,68.209
"Detry, Thomas",68.96,68.832
"Dunlap, Nick",70.96,71.848
"Eckroat, Austin",69.27,69.414
"English, Harris",68.42,68.484
"Finau, Tony",68.57,68.662
"Fitzpatrick, Matt",68.74,68.719
"Fleetwood, Tommy",67.88,67.836
"Fowler, Rickie",68.94,68.755
"Fox, Ryan",68.94,69.38
"Gerard, Ryan",68.64,68.641
"Glover, Lucas",68.84,68.708
"Greyserman, Max",68.88,68.962
"Griffin, Ben",68.13,68.106
"Hadwin, Adam",69.75,68.862
"Hall, Harry",68.87,68.835
"Harman, Brian",68.61,68.521
"Henley, Russell",67.96,67.883
"Highsmith, Joe",69.67,69.348
"Hoge, Tom",68.84,68.69
"Homa, Max",69.65,69.664
"Hovland, Viktor",68.18,67.99
"Hughes, Mackenzie",68.81,68.993
"Im, Sungjae",68.48,68.493
"Jaeger, Stephan",69.2,69.255
"Kim, Michael",68.88,68.727
"Kim, Si Woo",68.15,68.185
"Kim, Tom",68.92,68.845
"Lee, Min Woo",68.98,69.062
"Lowry, Shane",68.19,68.271
"MacIntyre, Robert",68.12,68.209
"Matsuyama, Hideki",68.45,68.382
"McCarthy, Denny",68.8,68.785
"McIlroy, Rory",67.88,68.3
"McNealy, Maverick",68.28,68.428
"Morikawa, Collin",67.52,67.735
"Noren, Alex",68.98,69.106
"Novak, Andrew",68.65,68.711
"Pavon, Matthieu",69.89,69.964
"Pendrith, Taylor",68.53,68.573
"Poston, J.T.",68.48,68.461
"Rai, Aaron",68.02,67.889
"Schauffele, Xander",67.86,67.873
"Scheffler, Scottie",66.44,65.737
"Schmid, Matti",69.36,69.649
"Scott, Adam",68.57,68.403
"Spaun, J.J.",68.13,68.077
"Spieth, Jordan",68.33,68.415
"Stevens, Sam",68.77,68.776
"Straka, Sepp",67.9,67.813
"Taylor, Nick",68.58,68.394
"Thomas, Justin",68.17,68.312
"Thompson, Davis",68.69,68.599
"Vegas, Jhonattan",69.16,69.391
"Woodland, Gary",69.32,69.306
"Young, Cameron",68.78,68.792
"Yu, Kevin",68.86,68.906
