PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",68.22,68.25,1.17
"An, Byeong Hun",69.23,69.31,0.11
"Berger, Daniel",68.12,68.153,1.267
"Bezuidenhout, Christiaan",68.9,68.6,0.82
"Bhatia, Akshay",68.59,68.47,0.95
"Bradley, Keegan",67.92,67.846,1.574
"Bridgeman, Jacob",69.13,69.037,0.383
"Burns, Sam",68.34,68.376,1.044
"Campbell, Brian",69.72,70.042,-0.622
"Cantlay, Patrick",67.9,67.805,1.615
"Cauley, Bud",68.76,68.901,0.519
"Clanton, Luke",69.08,69.24,0.18
"Clark, Wyndham",69.18,69.368,0.052
"Cole, Eric",69.4,69.414,0.006
"Davis, Cam",69.68,69.606,-0.186
"Day, Jason",68.52,68.209,1.211
"Detry, Thomas",68.96,68.832,0.588
"Dunlap, Nick",70.96,71.848,-2.428
"Eckroat, Austin",69.27,69.414,0.006
"English, Harris",68.42,68.484,0.936
"Finau, Tony",68.57,68.662,0.758
"Fitzpatrick, Matt",68.74,68.719,0.701
"Fleetwood, Tommy",67.88,67.836,1.584
"Fowler, Rickie",68.94,68.755,0.665
"Fox, Ryan",68.94,69.38,0.04
"Gerard, Ryan",68.64,68.641,0.779
"Glover, Lucas",68.84,68.708,0.712
"Greyserman, Max",68.88,68.962,0.458
"Griffin, Ben",68.13,68.106,1.314
"Hadwin, Adam",69.75,68.862,0.558
"Hall, Harry",68.87,68.835,0.585
"Harman, Brian",68.61,68.521,0.899
"Henley, Russell",67.96,67.883,1.537
"Highsmith, Joe",69.67,69.348,0.072
"Hoge, Tom",68.84,68.69,0.73
"Homa, Max",69.65,69.664,-0.244
"Hovland, Viktor",68.18,67.99,1.43
"Hughes, Mackenzie",68.81,68.993,0.427
"Im, Sungjae",68.48,68.493,0.927
"Jaeger, Stephan",69.2,69.255,0.165
"Kim, Michael",68.88,68.727,0.693
"Kim, Si Woo",68.15,68.185,1.235
"Kim, Tom",68.92,68.845,0.575
"Lee, Min Woo",68.98,69.062,0.358
"Lowry, Shane",68.19,68.271,1.149
"MacIntyre, Robert",68.12,68.209,1.211
"Matsuyama, Hideki",68.45,68.382,1.038
"McCarthy, Denny",68.8,68.785,0.635
"McIlroy, Rory",67.88,68.3,1.12
"McNealy, Maverick",68.28,68.428,0.992
"Morikawa, Collin",67.52,67.735,1.685
"Noren, Alex",68.98,69.106,0.314
"Novak, Andrew",68.65,68.711,0.709
"Pavon, Matthieu",69.89,69.964,-0.544
"Pendrith, Taylor",68.53,68.573,0.847
"Poston, J.T.",68.48,68.461,0.959
"Rai, Aaron",68.02,67.889,1.531
"Schauffele, Xander",67.86,67.873,1.547
"Scheffler, Scottie",66.44,65.737,3.683
"Schmid, Matti",69.36,69.649,-0.229
"Scott, Adam",68.57,68.403,1.017
"Spaun, J.J.",68.13,68.077,1.343
"Spieth, Jordan",68.33,68.415,1.005
"Stevens, Sam",68.77,68.776,0.644
"Straka, Sepp",67.9,67.813,1.607
"Taylor, Nick",68.58,68.394,1.026
"Thomas, Justin",68.17,68.312,1.108
"Thompson, Davis",68.69,68.599,0.821
"Vegas, Jhonattan",69.16,69.391,0.029
"Woodland, Gary",69.32,69.306,0.114
"Young, Cameron",68.78,68.792,0.628
"Yu, Kevin",68.86,68.906,0.514
