PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",71.54,71.31
"An, Byeong Hun",72.52,72.287
"Bairstow, Sam",73.09,73.09
"Ballester, Jose Luis",74.03,74.03
"Barbaree, Philip",75.11,75.11
"Bauchou, Zach",73.91,73.91
"Beck, Evan",75.38,75.38
"Berger, Daniel",71.83,71.815
"Bezuidenhout, Christiaan",72.65,72.695
"Bhatia, Akshay",72.14,71.794
"Blair, Zac",73.64,73.64
"Blanchet, Chandler",73.9,73.9
"Bland, Richard",72.97,73.03
"Bradley, Keegan",71.7,71.607
"Bridgeman, Jacob",72.62,72.62
"Buchanan, Jackson",74.66,74.66
"Burns, Sam",71.74,71.77
"Calkins, Brady",75.5,75.5
"Campbell, Brian",73.28,73.28
"Canter, Laurie",72.96,72.782
"Cantlay, Patrick",71.5,71.553
"Cauley, Bud",72.34,71.69
"Chandler, Will",74.26,74.26
"Clark, Wyndham",72.58,72.361
"Cole, Eric",72.65,72.803
"Cone, Trevor",73.91,73.91
"Conners, Corey",71.49,71.422
"Davis, Cam",73.09,73.03
"Day, Jason",72.33,72.29
"DeChambeau, Bryson",70.26,70.449
"Detry, Thomas",72.5,72.37
"Diaz, Roberto",74.31,74.31
"Docherty, Alistair",73.53,73.53
"Duangmanee, George",75.8,75.8
"Dunlap, Nick",74.34,74.594
"Echavarria, Nico",72.99,73.168
"English, Harris",71.9,71.993
"Finau, Tony",72.02,71.937
"Fitzpatrick, Matt",72.18,72.124
"Fleetwood, Tommy",71.28,71.153
"Fox, Ryan",72.25,72.29
"Gerard, Ryan",72.28,72.28
"Ghim, Doug",72.67,72.685
"Glover, Lucas",72.81,72.851
"Gonzalez, Emilio",73.53,73.53
"Gotterup, Chris",72.48,72.48
"Greyserman, Max",72.44,72.44
"Griffin, Ben",71.74,71.77
"Griffin, Lanto",73.4,73.4
"Grillo, Emiliano",72.57,72.417
"Gutschewski, Trevor",78.3,78.3
"Haefner, Grant",77.2,77.2
"Hahn, James",74.5,74.5
"Harman, Brian",72.67,72.997
"Harris, Frankie",74.96,74.96
"Hastings, Justin",74.66,74.66
"Hatton, Tyrrell",71.79,71.963
"Henley, Russell",71.8,71.77
"Herrera, Joey",77.7,77.7
"Hicks, Justin",76.8,76.8
"Highsmith, Joe",73.1,73.1
"Hoge, Tom",72.64,72.972
"Hojgaard, Rasmus",72.38,72.126
"Hovland, Viktor",71.88,71.857
"Howell, Mason",75.8,75.8
"Hubbard, Mark",72.63,72.63
"Hughes, Mackenzie",72.42,72.584
"Im, Sungjae",72.15,72.166
"Jaeger, Stephan",72.66,72.914
"James, Ben",73.55,73.55
"Johnson, Chase",75.5,75.5
"Johnson, Dustin",72.73,72.227
"Jordan, Matthew",73.08,73.08
"Kanaya, Takumi",73.11,73.11
"Kawamoto, Riki",74.01,74.01
"Keefer, Johnny",72.7,72.685
"Kent, Noah",75.8,75.8
"Kim, Michael",72.44,72.673
