PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",71.54,71.31,1.74
"An, Byeong Hun",72.52,72.287,0.763
"Bairstow, Sam",73.09,73.09,-0.04
"Ballester, Jose Luis",74.03,74.03,-0.98
"Barbaree, Philip",75.11,75.11,-2.06
"Bauchou, Zach",73.91,73.91,-0.86
"Beck, Evan",75.38,75.38,-2.33
"Berger, Daniel",71.83,71.815,1.235
"Bezuidenhout, Christiaan",72.65,72.695,0.355
"Bhatia, Akshay",72.14,71.794,1.256
"Blair, Zac",73.64,73.64,-0.59
"Blanchet, Chandler",73.9,73.9,-0.85
"Bland, Richard",72.97,73.03,0.02
"Bradley, Keegan",71.7,71.607,1.443
"Bridgeman, Jacob",72.62,72.62,0.43
"Buchanan, Jackson",74.66,74.66,-1.61
"Burns, Sam",71.74,71.77,1.28
"Calkins, Brady",75.5,75.5,-2.45
"Campbell, Brian",73.28,73.28,-0.23
"Canter, Laurie",72.96,72.782,0.268
"Cantlay, Patrick",71.5,71.553,1.497
"Cauley, Bud",72.34,71.69,1.36
"Chandler, Will",74.26,74.26,-1.21
"Clark, Wyndham",72.58,72.361,0.689
"Cole, Eric",72.65,72.803,0.247
"Cone, Trevor",73.91,73.91,-0.86
"Conners, Corey",71.49,71.422,1.628
"Davis, Cam",73.09,73.03,0.02
"Day, Jason",72.33,72.29,0.76
"DeChambeau, Bryson",70.26,70.449,2.601
"Detry, Thomas",72.5,72.37,0.68
"Diaz, Roberto",74.31,74.31,-1.26
"Docherty, Alistair",73.53,73.53,-0.48
"Duangmanee, George",75.8,75.8,-2.75
"Dunlap, Nick",74.34,74.594,-1.544
"Echavarria, Nico",72.99,73.168,-0.118
"English, Harris",71.9,71.993,1.057
"Finau, Tony",72.02,71.937,1.113
"Fitzpatrick, Matt",72.18,72.124,0.926
"Fleetwood, Tommy",71.28,71.153,1.897
"Fox, Ryan",72.25,72.29,0.76
"Gerard, Ryan",72.28,72.28,0.77
"Ghim, Doug",72.67,72.685,0.365
"Glover, Lucas",72.81,72.851,0.199
"Gonzalez, Emilio",73.53,73.53,-0.48
"Gotterup, Chris",72.48,72.48,0.57
"Greyserman, Max",72.44,72.44,0.61
"Griffin, Ben",71.74,71.77,1.28
"Griffin, Lanto",73.4,73.4,-0.35
"Grillo, Emiliano",72.57,72.417,0.633
"Gutschewski, Trevor",78.3,78.3,-5.25
"Haefner, Grant",77.2,77.2,-4.15
"Hahn, James",74.5,74.5,-1.45
"Harman, Brian",72.67,72.997,0.053
"Harris, Frankie",74.96,74.96,-1.91
"Hastings, Justin",74.66,74.66,-1.61
"Hatton, Tyrrell",71.79,71.963,1.087
"Henley, Russell",71.8,71.77,1.28
"Herrera, Joey",77.7,77.7,-4.65
"Hicks, Justin",76.8,76.8,-3.75
"Highsmith, Joe",73.1,73.1,-0.05
"Hoge, Tom",72.64,72.972,0.078
"Hojgaard, Rasmus",72.38,72.126,0.924
"Hovland, Viktor",71.88,71.857,1.193
"Howell, Mason",75.8,75.8,-2.75
"Hubbard, Mark",72.63,72.63,0.42
"Hughes, Mackenzie",72.42,72.584,0.466
"Im, Sungjae",72.15,72.166,0.884
"Jaeger, Stephan",72.66,72.914,0.136
"James, Ben",73.55,73.55,-0.5
"Johnson, Chase",75.5,75.5,-2.45
"Johnson, Dustin",72.73,72.227,0.823
"Jordan, Matthew",73.08,73.08,-0.03
"Kanaya, Takumi",73.11,73.11,-0.06
"Kawamoto, Riki",74.01,74.01,-0.96
"Keefer, Johnny",72.7,72.685,0.365
"Kent, Noah",75.8,75.8,-2.75
"Kim, Michael",72.44,72.673,0.377
"Kim, Si Woo",71.99,71.974,1.076
"Kim, Tom",72.71,72.798,0.252
"Kirk, Chris",72.88,72.88,0.17
"Kneiser, George",76.5,76.5,-3.45
"Koepka, Brooks",72.26,72.316,0.734
"Koivun, Jackson",72.83,72.83,0.22
"Kozuma, Jinichiro",73.45,73.45,-0.4
"Kruyswijk, Jacques",73.42,73.42,-0.37
"La Sasso, Michael",73.5,73.5,-0.45
"Lacroix, Frederic",73.27,73.27,-0.22
"Lagergren, Joakim",73.93,73.93,-0.88
"Lawrence, Thriston",73.47,73.47,-0.42
"Lee, Bryan",75.31,75.31,-2.26
"Lee, Min Woo",72.14,72.366,0.684
"Leishman, Marc",72.7,72.659,0.391
"Lewis, Riley",74.93,74.93,-1.88
"Lower, Justin",73.15,73.15,-0.1
