PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aiken, Thomas",69.679,69.679
"Akesson, Bjorn",70.29,70.29
"Albertson, Anders",69.414,69.414
"Andersen, Mason",69.522,69.522
"Aphibarnrat, Kiradech",68.844,68.844
"Armitage, Marcus",68.583,68.583
"Ayora, Angel",68.185,68.043
"Baddeley, Aaron",69.952,69.952
"Balcar, Michael",73.472,73.472
"Baldwin, Matthew",70.15,70.15
"Barnes, Erik",72.799,72.799
"Blair, Zac",68.658,68.692
"Bramlett, Joseph",68.264,68.213
"Brehm, Ryan",70.347,70.347
"Brown, Hamish",69.426,69.426
"Brun, Julien",70.348,70.348
"Bryant, Davis",68.712,68.712
"Buckley, Hayden",68.964,68.964
"Burgoon, Bronson",69.274,69.274
"Byrd, Jonathan",69.659,69.659
"Byrd, Marcus",69.506,69.506
"Cabrera Bello, Rafa",69.151,69.151
"Campos, Rafael",69.266,69.266
"Cantero Gutierrez, Ivan",68.756,68.764
"Capan III, Frankie",69.608,69.608
"Castillo, Ricky",68.218,68.354
"Champ, Cameron",68.05,68.101
"Chandler, Will",69.496,69.496
"Chappell, Kevin",69.52,69.52
"Cone, Trevor",68.65,68.65
"Cook, Austin",70.072,70.072
"Cummins, Quade",68.127,68.202
"Daffue, MJ",69.532,69.532
"Dantorp, Jens",68.893,68.893
"De Bruyn, Jannik",69.637,69.637
"Del Solar, Cristobal",69.244,69.244
"Dickson, Taylor",69.08,69.08
"Ding, Wenyi",68.485,68.373
"Doyle, Brendon",69.76,69.76
"Doyle, Drew",70.619,70.619
"Dufner, Jason",70.425,70.425
"Duncan, Tyler",68.876,68.917
"Elvira, Manuel",69.098,69.098
"Fishburn, Patrick",67.953,68.018
"Fisk, Steven",68.098,68.026
"Gainey, Tommy",70.131,70.131
"Garcia-Heredia, Alfredo",69.976,69.976
"Garnett, Brice",68.516,68.4
"Girrbach, Joel",69.425,69.425
"Gomez, Fabian",69.199,69.199
"Goodwin, Noah",68.639,69.089
"Gordon, Will",68.456,68.412
"Gouveia, Ricardo",68.946,68.946
"Green, Gavin",69.2,69.2
"Gribble, Cody",70.538,70.538
"Griffin, Lanto",68.461,68.492
"Grillo, Emiliano",67.525,67.357
"Haas, Bill",70.389,70.389
"Hadwin, Adam",68.454,68.36
"Hahn, James",69.51,69.51
"Halvorsen, Andreas",68.871,68.871
"Hardy, Nick",68.574,68.523
"Herman, Jim",71.126,71.126
"Higgs, Harry",68.706,69.117
"Hoey, Rico",67.531,67.699
"Holmes, J.B.",70.77,70.77
"Hossler, Beau",67.871,67.806
"Hubbard, Mark",67.673,67.674
"Iceman, Daniel",71.127,71.127
"Jamieson, Scott",68.925,68.925
"Jarvis, Casey",69.057,69.057
"Jin, Zihao",69.976,69.976
"Johnson, Carson",72.2,72.2
"Kanaya, Takumi",68.084,68.13
"Kieffer, Maximilian",68.918,68.918
"Kim, Chan",68.191,68.037
"Kim, S.H.",68.277,68.38
"Kinhult, Marcus",69.13,69.13
"Kisner, Kevin",69.662,69.662
"Kizzire, Patton",68.845,68.804
"Knappe, Alexander",70.521,70.521
"Ko, Jeong Weon",69.829,69.829
"Kobori, Kazuma",68.418,67.968
"Kohles, Ben",68.41,68.37
"Koivun, Jackson",67.593,67.31
"Laird, Martin",68.667,68.667
"Levy, Alexander",69.575,69.575
"Lindberg, Mikael",69.618,69.618
"Lipsky, David",68.679,68.523
