PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Albertson, Anders",71.107,71.107
"An, Byeong Hun",69.442,69.239
"Andersen, Mason",71.355,71.355
"Baddeley, Aaron",71.733,71.733
"Bhatia, Akshay",69.292,69.345
"Black, Otto",74.809,74.809
"Bradley, Keegan",68.634,68.823
"Brehm, Ryan",72.027,72.027
"Bridgeman, Jacob",69.661,69.64
"Brown, Evan",72.746,72.746
"Buckley, Hayden",70.558,70.558
"Campos, Rafael",71.115,71.115
"Cantlay, Patrick",68.557,68.586
"Capan III, Frankie",71.344,71.344
"Castillo, Ricky",69.973,69.917
"Champ, Cameron",70.417,70.462
"Chandler, Will",71.412,71.412
"Clanton, Luke",69.485,69.602
"Clark, Wyndham",69.438,69.463
"Clemons, Dominic",72.81,72.81
"Cone, Trevor",70.588,70.588
"Cook, Ben",73.6,73.6
"Covello, Vince",72.873,72.873
"Cummins, Quade",69.963,69.963
"Dahmen, Joel",70.078,70.099
"Davis, Cam",70.102,70.331
"Del Solar, Cristobal",71.265,71.265
"Dickson, Taylor",71.003,71.003
"Dunlap, Nick",71.209,71.209
"Echavarria, Nico",69.987,70.162
"Eckroat, Austin",69.841,69.575
"Endycott, Harrison",71.389,71.389
"Finau, Tony",69.56,69.64
"Fishburn, Patrick",70.04,69.885
"Fisk, Steven",69.977,69.977
"Fitzpatrick, Matt",69.217,69.196
"Ford, David",70.524,70.524
"Fowler, Rickie",69.419,69.237
"Garnett, Brice",70.347,70.347
"Gerard, Ryan",69.24,69.308
"Ghim, Doug",69.855,69.643
"Goodwin, Noah",70.362,70.362
"Gordon, Will",70.616,70.616
"Gotterup, Chris",69.326,69.261
"Greyserman, Max",69.26,69.158
"Griffin, Ben",68.629,68.68
"Griffin, Lanto",70.384,70.384
"Grillo, Emiliano",69.539,69.557
"Hadwin, Adam",70.136,70.136
"Hall, Harry",69.159,69.043
"Hardy, Nick",70.464,70.464
"Higgo, Garrick",70.345,70.345
"Higgs, Harry",70.61,70.61
"Highsmith, Joe",70.092,69.823
"Hisatsune, Ryo",69.597,69.372
"Hodges, Lee",69.716,69.728
"Hoey, Rico",69.665,69.662
"Hojgaard, Nicolai",69.783,69.864
"Hojgaard, Rasmus",69.501,69.392
"Homa, Max",69.991,70.065
"Hooks, Joe",73.981,73.981
"Hoshino, Rikuya",70.509,70.509
"Hossler, Beau",70.109,70.208
"Hubbard, Mark",69.725,69.586
"Jaeger, Stephan",69.497,69.479
"Johnson, Zach",70.43,70.43
"Kanaya, Takumi",70.102,70.102
"Kim, Chan",70.337,70.337
"Kim, Michael",69.46,69.439
"Kim, Si Woo",68.995,68.999
"Kim, Tom",69.629,69.458
"Kirk, Chris",69.509,69.406
"Kisner, Kevin",71.502,71.502
"Kitayama, Kurt",69.679,69.47
"Kizzire, Patton",70.74,70.74
"Knapp, Jake",69.867,70.014
"Knowles, Philip",71.321,71.321
"Kohles, Ben",70.412,70.412
"Kuchar, Matt",70.175,70.192
"La Sasso, Michael",70.394,70.394
"Lashley, Nate",70.354,70.354
"Lawrence, Thriston",70.233,70.212
"Lee, Min Woo",69.53,69.578
"Lipsky, David",70.995,70.995
"List, Luke",70.428,70.428
"Lower, Justin",70.511,70.511
"Malnati, Peter",71.336,71.336
"Martin, Ben",70.55,70.55
"Matsuyama, Hideki",69.017,68.807
"McCarty, Matt",69.804,69.705
"McCulloch, Ashton",71.441,71.441
"McGreevy, Max",69.762,69.725
"Meissner, Mac",70.366,70.366
"Mitchell, Keith",69.341,69.586
"Molinari, Francesco",70.742,70.742
"Moore, Taylor",69.616,69.825
"Morikawa, Collin",68.446,68.178
"Mouw, William",70.559,70.559
"Mullinax, Trey",70.157,70.157
"Noren, Alex",69.366,69.298
"Norlander, Henrik",69.848,70.078
"Olesen, Thorbjorn",69.566,69.67
"Onishi, Kaito",71.133,71.133
"Pak, John",70.639,70.639
"Palmer, Ryan",72.114,72.114
"Paul, Jeremy",70.278,70.278
"Perez, Victor",69.666,69.585
"Peterson, Paul",71.02,71.02
"Phillips, Chandler",70.372,70.372
"Piot, James",72.127,72.127
"Potgieter, Aldrich",70.411,70.366
"Power, Seamus",70.017,70.304
"Putnam, Andrew",69.936,69.821
"Ramey, Chad",70.322,70.322
"Riedel, Matthew",71.478,71.478
"Riley, Davis",70.128,70.391
"Rodgers, Patrick",69.837,70.062
"Rosenmueller, Thomas",70.259,70.259
"Roy, Kevin",69.926,70.192
"Rozner, Antoine",70.012,70.04
"Ryder, Sam",69.95,70.065
"Salinda, Isaiah",70.072,70.155
"Sargent, Gordon",72.687,72.687
"Schenk, Adam",70.415,70.415
"Sigg, Greyson",70.269,70.269
"Silverman, Ben",70.461,70.461
"Simpson, Webb",70.31,70.293
"Skinns, David",70.611,70.611
"Smalley, Alex",69.411,69.592
"Snedeker, Brandt",70.704,70.704
"Springer, Hayden",70.429,70.429
"Suber, Jackson",70.779,70.779
"Svensson, Adam",70.189,70.189
"Svensson, Jesper",69.842,69.579
"Thompson, Davis",69.08,69.001
"Thorbjornsen, Michael",69.852,69.826
"Thornberry, Braden",71.267,71.267
"Tosti, Alejandro",70.254,70.39
"Valimaki, Sami",70.373,70.373
"Van Rooyen, Erik",69.839,69.664
"Velo, Kevin",70.772,70.772
"Ventura, Kris",70.356,70.356
"Vilips, Karl",70.319,70.319
"Villegas, Camilo",71.388,71.388
"Walker, Danny",70.326,70.326
"Wallace, Matt",69.434,69.558
"Waring, Paul",71.061,71.061
"Whaley, Vince",69.7,69.703
"White, Brett",71.475,71.475
"Willett, Danny",70.547,70.547
"Wise, Aaron",71.432,71.432
"Woodland, Gary",69.815,69.668
"Xiong, Norman",71.009,71.009
"Xu, Andi",72.217,72.217
"Young, Cameron",69.289,69.375
"Young, Carson",70.144,70.144
