PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Albertson, Anders",71.107,71.107,-0.967
"An, Byeong Hun",69.442,69.239,0.901
"Andersen, Mason",71.355,71.355,-1.215
"Baddeley, Aaron",71.733,71.733,-1.593
"Bhatia, Akshay",69.292,69.345,0.795
"Black, Otto",74.809,74.809,-4.669
"Bradley, Keegan",68.634,68.823,1.317
"Brehm, Ryan",72.027,72.027,-1.887
"Bridgeman, Jacob",69.661,69.64,0.5
"Brown, Evan",72.746,72.746,-2.606
"Buckley, Hayden",70.558,70.558,-0.418
"Campos, Rafael",71.115,71.115,-0.975
"Cantlay, Patrick",68.557,68.586,1.554
"Capan III, Frankie",71.344,71.344,-1.204
"Castillo, Ricky",69.973,69.917,0.223
"Champ, Cameron",70.417,70.462,-0.322
"Chandler, Will",71.412,71.412,-1.272
"Clanton, Luke",69.485,69.602,0.538
"Clark, Wyndham",69.438,69.463,0.677
"Clemons, Dominic",72.81,72.81,-2.67
"Cone, Trevor",70.588,70.588,-0.448
"Cook, Ben",73.6,73.6,-3.46
"Covello, Vince",72.873,72.873,-2.733
"Cummins, Quade",69.963,69.963,0.177
"Dahmen, Joel",70.078,70.099,0.041
"Davis, Cam",70.102,70.331,-0.191
"Del Solar, Cristobal",71.265,71.265,-1.125
"Dickson, Taylor",71.003,71.003,-0.863
"Dunlap, Nick",71.209,71.209,-1.069
"Echavarria, Nico",69.987,70.162,-0.022
"Eckroat, Austin",69.841,69.575,0.565
"Endycott, Harrison",71.389,71.389,-1.249
"Finau, Tony",69.56,69.64,0.5
"Fishburn, Patrick",70.04,69.885,0.255
"Fisk, Steven",69.977,69.977,0.163
"Fitzpatrick, Matt",69.217,69.196,0.944
"Ford, David",70.524,70.524,-0.384
"Fowler, Rickie",69.419,69.237,0.903
"Garnett, Brice",70.347,70.347,-0.207
"Gerard, Ryan",69.24,69.308,0.832
"Ghim, Doug",69.855,69.643,0.497
"Goodwin, Noah",70.362,70.362,-0.222
"Gordon, Will",70.616,70.616,-0.476
"Gotterup, Chris",69.326,69.261,0.879
"Greyserman, Max",69.26,69.158,0.982
"Griffin, Ben",68.629,68.68,1.46
"Griffin, Lanto",70.384,70.384,-0.244
"Grillo, Emiliano",69.539,69.557,0.583
"Hadwin, Adam",70.136,70.136,0.004
"Hall, Harry",69.159,69.043,1.097
"Hardy, Nick",70.464,70.464,-0.324
"Higgo, Garrick",70.345,70.345,-0.205
"Higgs, Harry",70.61,70.61,-0.47
"Highsmith, Joe",70.092,69.823,0.317
"Hisatsune, Ryo",69.597,69.372,0.768
"Hodges, Lee",69.716,69.728,0.412
"Hoey, Rico",69.665,69.662,0.478
"Hojgaard, Nicolai",69.783,69.864,0.276
"Hojgaard, Rasmus",69.501,69.392,0.748
"Homa, Max",69.991,70.065,0.075
"Hooks, Joe",73.981,73.981,-3.841
"Hoshino, Rikuya",70.509,70.509,-0.369
"Hossler, Beau",70.109,70.208,-0.068
"Hubbard, Mark",69.725,69.586,0.554
"Jaeger, Stephan",69.497,69.479,0.661
"Johnson, Zach",70.43,70.43,-0.29
"Kanaya, Takumi",70.102,70.102,0.038
"Kim, Chan",70.337,70.337,-0.197
"Kim, Michael",69.46,69.439,0.701
"Kim, Si Woo",68.995,68.999,1.141
"Kim, Tom",69.629,69.458,0.682
"Kirk, Chris",69.509,69.406,0.734
"Kisner, Kevin",71.502,71.502,-1.362
"Kitayama, Kurt",69.679,69.47,0.67
"Kizzire, Patton",70.74,70.74,-0.6
"Knapp, Jake",69.867,70.014,0.126
"Knowles, Philip",71.321,71.321,-1.181
"Kohles, Ben",70.412,70.412,-0.272
"Kuchar, Matt",70.175,70.192,-0.052
"La Sasso, Michael",70.394,70.394,-0.254
"Lashley, Nate",70.354,70.354,-0.214
"Lawrence, Thriston",70.233,70.212,-0.072
"Lee, Min Woo",69.53,69.578,0.562
"Lipsky, David",70.995,70.995,-0.855
"List, Luke",70.428,70.428,-0.288
"Lower, Justin",70.511,70.511,-0.371
"Malnati, Peter",71.336,71.336,-1.196
"Martin, Ben",70.55,70.55,-0.41
"Matsuyama, Hideki",69.017,68.807,1.333
"McCarty, Matt",69.804,69.705,0.435
"McCulloch, Ashton",71.441,71.441,-1.301
"McGreevy, Max",69.762,69.725,0.415
"Meissner, Mac",70.366,70.366,-0.226
"Mitchell, Keith",69.341,69.586,0.554
"Molinari, Francesco",70.742,70.742,-0.602
"Moore, Taylor",69.616,69.825,0.315
"Morikawa, Collin",68.446,68.178,1.962
"Mouw, William",70.559,70.559,-0.419
"Mullinax, Trey",70.157,70.157,-0.017
"Noren, Alex",69.366,69.298,0.842
"Norlander, Henrik",69.848,70.078,0.062
"Olesen, Thorbjorn",69.566,69.67,0.47
"Onishi, Kaito",71.133,71.133,-0.993
"Pak, John",70.639,70.639,-0.499
"Palmer, Ryan",72.114,72.114,-1.974
"Paul, Jeremy",70.278,70.278,-0.138
"Perez, Victor",69.666,69.585,0.555
"Peterson, Paul",71.02,71.02,-0.88
"Phillips, Chandler",70.372,70.372,-0.232
"Piot, James",72.127,72.127,-1.987
"Potgieter, Aldrich",70.411,70.366,-0.226
"Power, Seamus",70.017,70.304,-0.164
"Putnam, Andrew",69.936,69.821,0.319
"Ramey, Chad",70.322,70.322,-0.182
"Riedel, Matthew",71.478,71.478,-1.338
"Riley, Davis",70.128,70.391,-0.251
"Rodgers, Patrick",69.837,70.062,0.078
"Rosenmueller, Thomas",70.259,70.259,-0.119
"Roy, Kevin",69.926,70.192,-0.052
"Rozner, Antoine",70.012,70.04,0.1
"Ryder, Sam",69.95,70.065,0.075
"Salinda, Isaiah",70.072,70.155,-0.015
"Sargent, Gordon",72.687,72.687,-2.547
"Schenk, Adam",70.415,70.415,-0.275
"Sigg, Greyson",70.269,70.269,-0.129
"Silverman, Ben",70.461,70.461,-0.321
"Simpson, Webb",70.31,70.293,-0.153
"Skinns, David",70.611,70.611,-0.471
"Smalley, Alex",69.411,69.592,0.548
"Snedeker, Brandt",70.704,70.704,-0.564
"Springer, Hayden",70.429,70.429,-0.289
"Suber, Jackson",70.779,70.779,-0.639
"Svensson, Adam",70.189,70.189,-0.049
"Svensson, Jesper",69.842,69.579,0.561
"Thompson, Davis",69.08,69.001,1.139
"Thorbjornsen, Michael",69.852,69.826,0.314
"Thornberry, Braden",71.267,71.267,-1.127
"Tosti, Alejandro",70.254,70.39,-0.25
"Valimaki, Sami",70.373,70.373,-0.233
"Van Rooyen, Erik",69.839,69.664,0.476
"Velo, Kevin",70.772,70.772,-0.632
"Ventura, Kris",70.356,70.356,-0.216
"Vilips, Karl",70.319,70.319,-0.179
"Villegas, Camilo",71.388,71.388,-1.248
"Walker, Danny",70.326,70.326,-0.186
"Wallace, Matt",69.434,69.558,0.582
"Waring, Paul",71.061,71.061,-0.921
"Whaley, Vince",69.7,69.703,0.437
"White, Brett",71.475,71.475,-1.335
"Willett, Danny",70.547,70.547,-0.407
"Wise, Aaron",71.432,71.432,-1.292
"Woodland, Gary",69.815,69.668,0.472
"Xiong, Norman",71.009,71.009,-0.869
"Xu, Andi",72.217,72.217,-2.077
"Young, Cameron",69.289,69.375,0.765
"Young, Carson",70.144,70.144,-0.004
