player_name,dg_id,proj,my_proj
patrick reed,14838,81.3,96.3
rasmus neergaard-petersen,23841,79.6,92.7
david puig,28984,78.6,89.2
haotong li,15310,69.1,75.2
jordan smith,18586,75.9,87.9
sergio garcia,5689,68.7,76.7
matti schmid,20722,71,78.3
marco penge,22465,72.1,81.7
eugenio chacarra,26745,70.2,78.8
martin couvra,27811,67.7,73.0
jayden schaper,26991,71,80.5
laurie canter,14795,65.4,71.6
keita nakajima,21074,66.6,72.6
ewen ferguson,21646,70,79.1
francesco laporta,14987,68.5,77.5
joost luiten,10158,64.9,72.7
adrien saddier,14792,67.4,75.5
nicolai von dellingshausen,22231,64.5,70.3
marcel schneider,12522,66.1,72.3
angel ayora,30445,65.8,70.5
kristoffer reitan,21407,65.8,72.4
jorge campillo,14016,62,66.5
calum hill,25131,61.3,65.0
daniel hillier,21362,62.4,66.5
oliver lindell,20085,61,64.2
matthew jordan,25601,60.6,63.6
alex fitzpatrick,25362,63.7,68.2
andy sullivan,15326,61.3,64.3
dan bradbury,29971,59,59.9
john parry,13764,62.9,69.4
julien guerrier,10201,60.4,62.9
sam bairstow,28615,60,61.6
connor syme,22089,56.1,57.5
brandon stone,15229,63.1,67.4
richard mansell,24185,61.6,65.6
sean crocker,23610,61.4,64.1
johannes veerman,20522,58.2,60.8
fabrizio zanotti,9842,61.6,65.3
frederic lacroix,23733,61.3,64.7
shaun norris,7677,59.9,62.0
romain langasque,16652,58,59.9
brandon robinson-thompson,24497,57.6,58.6
edoardo molinari,7033,60.6,64.3
jacques kruyswijk,16896,59.1,62.4
jacob skov olesen,25611,58.5,59.7
wenyi ding,26193,57.6,59.3
kiradech aphibarnrat,12321,57.4,58.2
maximilian kieffer,12317,57.5,59.9
yannik paul,19898,56.2,57.3
marcel siem,6950,54.1,53.5
daniel brown,20766,53.9,53.0
martin kaymer,8117,52.2,51.8
gavin green,12530,52.1,50.9
todd clements,22608,58,59.9
marcus armitage,17813,55.2,55.9
alejandro del rey,22259,54.6,53.4
andrea pavan,12177,54.6,56.8
nathan kimsey,18027,54.3,53.0
kazuma kobori,24369,52.9,51.7
jens dantorp,14018,55.2,56.5
bernd wiesberger,9531,55.2,57.6
ivan cantero gutierrez,19635,54.8,54.3
darius van driel,13374,54.6,55.0
ricardo gouveia,18722,54.3,53.1
jeff winther,15680,53.7,53.2
wesley bryan,21236,52.3,49.6
wilco nienaber,25889,56.1,56.5
yuto katsuragawa,20448,54.2,53.1
ugo coussaud,20727,53.6,53.5
manuel elvira,26008,53.3,52.5
grant forrest,16475,52.2,51.3
guido migliozzi,17357,52,50.4
jason scrivener,12734,50.9,50.6
david ravetto,23416,54.4,53.2
niklas lemke,10418,53.7,53.2
andreas halvorsen,17747,52.8,50.5
pablo larrazabal,9133,52,50.5
richie ramsay,11396,51.4,50.8
joe dean,16497,51.2,49.0
rafa cabrera bello,7457,50.7,48.3
davis bryant,32550,49.1,46.2
tom vaillant,28157,53.3,51.6
aaron cockerill,15596,52.9,53.2
ignacio elvira mijares,12988,52.1,51.8
joakim lagergren,14780,50.8,48.4
taiga semikawa,19681,49.8,47.2
matthew southgate,15191,49.4,47.5
adrian otaegui,14975,48.7,47.0
david micheluzzi,19224,47.4,43.7
freddy schott,27588,52.7,51.5
scott jamieson,11397,51.3,49.6
angel hidalgo,24127,50.8,49.5
clement sordet,17718,50.1,48.5
robin williams,24093,49.7,47.2
