player_name,dg_id,proj,my_proj
collin morikawa,22085,88.3,91.4
keegan bradley,13872,83.4,79.2
patrick cantlay,15466,85.1,83.7
ben griffin,24968,83.6,82.1
hideki matsuyama,13562,76.9,79.4
harry hall,27194,73.4,75.3
cameron young,26651,71.7,69.4
si woo kim,14609,76.1,76.1
max greyserman,23465,72.2,73.0
luke clanton,32330,68.2,65.4
tony finau,11676,66.1,null
keith mitchell,17365,70.4,66.0
rickie fowler,12965,69.4,71.6
wyndham clark,23604,69.4,67.8
min woo lee,16841,66.4,65.9
matt fitzpatrick,17646,73,72.4
rasmus hojgaard,23838,67.6,68.8
akshay bhatia,26096,70.8,69.9
davis thompson,27364,74.3,76.1
chris gotterup,27774,70.9,71.4
alex smalley,18474,69.2,65.7
ryan gerard,29767,72.1,70.9
thorbjorn olesen,13412,65.9,64.5
alex noren,10419,69,70.9
stephan jaeger,16394,67.5,67.7
michael kim,17543,67.4,68.0
byeong hun an,14459,68.9,71.6
taylor moore,21944,65.4,61.7
nicolai hojgaard,23602,62.7,61.1
matt wallace,20706,68.4,66.2
chris kirk,12423,67.4,68.8
tom kim,24766,65.3,68.0
kurt kitayama,21891,64.5,67.6
emiliano grillo,12808,66.6,66.2
victor perez,20730,63.8,66.0
jesper svensson,26850,61.6,65.6
cam davis,17786,58,54.1
rico hoey,23504,65,64.5
jacob bridgeman,29433,63.7,64.5
vince whaley,25908,63.5,64.0
jake knapp,19396,61.6,59.1
max homa,17538,59.3,58.0
ryo hisatsune,22760,65,69.5
lee hodges,25157,63.5,63.5
michael thorbjornsen,26649,61.4,61.5
patrick rodgers,16283,60.6,58.3
nico echavarria,22833,59.1,56.7
davis riley,19872,57.4,53.2
mark hubbard,16333,63.3,65.4
gary woodland,12577,61.3,64.1
erik van rooyen,17550,61.3,64.3
sam ryder,16715,60.3,57.8
ricky castillo,27819,59.6,60.1
andrew putnam,14704,59.4,62.0
seamus power,10104,58.4,54.5
max mcgreevy,23505,62.1,63.2
matt mccarty,28635,62.1,63.7
austin eckroat,26653,61.5,65.9
kevin roy,18424,59.7,56.3
antoine rozner,18770,58.6,58.1
isaiah salinda,27183,58.1,56.9
cameron champ,23542,52.6,52.1
aldrich potgieter,27900,52.3,53.9
henrik norlander,11657,60.5,58.0
doug ghim,24550,60.4,64.4
steven fisk,26657,59.4,59.2
quade cummins,27996,59.1,59.2
patrick fishburn,25094,57.8,61.0
beau hossler,15470,57.3,55.6
matt kuchar,6169,56.1,55.9
thriston lawrence,18105,55.2,55.4
joel dahmen,14509,58.2,57.6
joe highsmith,28469,57.6,61.8
adam hadwin,13965,56.8,57.0
trey mullinax,18761,56.8,56.9
alejandro tosti,17032,55,53.2
webb simpson,11049,54,54.7
karl vilips,24304,53.8,54.3
garrick higgo,24342,53.8,53.8
hayden springer,21995,52.4,52.4
carson young,23656,56.2,56.8
adam svensson,13997,55.4,56.2
danny walker,25003,53.9,54.3
sami valimaki,23816,53.4,53.2
jeremy paul,22087,53.4,54.8
brice garnett,11451,53.3,53.8
chandler phillips,27164,52.9,53.5
adam schenk,19477,52,52.8
takumi kanaya,19729,57.2,57.3
greyson sigg,23482,54,55.0
chad ramey,19840,53.5,54.0
chan kim,15004,53.2,54.1
kris ventura,15651,53.2,53.6
mac meissner,28159,52.6,53.8
nick hardy,19865,50.9,52.0
thomas rosenmueller,22736,55,54.7
nate lashley,10943,52.8,53.9
lanto griffin,15330,52.4,53.3
ben kohles,16395,52.3,52.6
luke list,7960,52.2,52.6
ben silverman,17381,51.7,52.4
zach johnson,6986,51.5,52.5
rikuya hoshino,19190,50.7,51.2
danny willett,12920,50.3,51.3
noah goodwin,24837,53.2,53.5
justin lower,17723,51.2,51.7
david ford,31343,51.2,51.2
william mouw,29770,50.2,50.7
ben martin,14007,50,50.8
david skinns,10873,50,50.4
trevor cone,21880,49.9,50.3
will gordon,26660,49.7,50.2
jackson suber,29279,47.6,47.7
harry higgs,14140,50.1,50.1
john pak,27820,49.1,49.5
brandt snedeker,8820,48.7,48.8
francesco molinari,7655,48.2,48.4
patton kizzire,13470,47.6,48.4
kevin velo,27762,47.4,48.0
norman xiong,24354,44,45.0
nick dunlap,28270,41.5,42.7
gordon sargent,30814,29,30.1
hayden buckley,25363,50,51.0
david lipsky,15980,45,45.3
taylor dickson,27420,44.8,45.0
paul waring,12426,43.8,44.5
rafael campos,12909,42.7,43.8
cristobal del solar,17422,41.3,41.9
frankie capan iii,21412,40.4,40.9
harrison endycott,19208,40.2,40.8
brett white,22461,39.7,39.9
aaron wise,22051,39.1,40.4
michael la sasso,33755,53.1,52.9
paul peterson,16341,43.4,44.6
kaito onishi,25263,43.1,43.5
peter malnati,14926,40.6,41.5
braden thornberry,23502,40.5,41.8
mason andersen,23540,40.4,41.0
will chandler,31212,39.7,40.5
camilo villegas,9171,39.5,40.6
matthew riedel,30892,39,39.6
aaron baddeley,6252,36.4,37.4
james piot,29230,33,34.0
andi xu,33176,32.6,33.4
anders albertson,21235,42.4,43.6
philip knowles,24562,41,41.4
ashton mcculloch,32260,39.3,40.1
kevin kisner,11328,39.1,39.7
ryan brehm,10423,34.2,35.2
ryan palmer,7820,32.9,34.0
evan brown,30806,28.6,29.8
dominic clemons,32594,28.4,29.4
vince covello,11441,28,29.0
ben cook,24486,24,25.4
joe hooks,10059862,23.3,24.0
otto black,22353,19.2,20.8
