player_name,dg_id,proj,my_proj
scottie scheffler,18417,83.3,78.5
rory mcilroy,10091,69.9,69.7
jon rahm,19195,71.3,70.1
bryson dechambeau,19841,67.4,63.9
xander schauffele,19895,63,61.7
tommy fleetwood,12294,66.4,64.7
shane lowry,13900,55.9,55.2
ludvig aberg,23950,59.8,58.6
robert macintyre,23323,56.7,57.1
tyrrell hatton,14796,60.9,59.1
collin morikawa,22085,61.3,57.8
justin thomas,14139,57.3,55.5
viktor hovland,18841,60.4,58.7
joaquin niemann,18079,57.4,55.3
patrick cantlay,15466,55.6,54.7
brooks koepka,16243,45.6,44.1
russell henley,14578,54.5,53.7
matt fitzpatrick,17646,57.8,56.9
jordan spieth,14636,54.2,51.8
justin rose,6093,47.5,46.6
hideki matsuyama,13562,49.5,48.2
sepp straka,17511,56.2,54.0
sam burns,19483,56,53.5
adam scott,6430,55.9,53.2
ben griffin,24968,53.9,53.4
corey conners,17576,56.5,54.4
jason day,9771,50.8,49.6
cameron young,26651,46.1,45.3
patrick reed,14838,51.5,51.3
ryan fox,11889,49.1,49.7
thomas detry,14181,46.5,45.1
brian harman,8825,46.5,45.2
aaron rai,18554,55.9,53.8
j.j. spaun,17536,53.8,50.9
chris gotterup,27774,53.2,51.1
min woo lee,16841,47.2,46.8
sungjae im,17488,45.8,45.6
carlos ortiz,14735,46.6,44.1
cameron smith,15856,46.6,44.2
tony finau,11676,43.7,42.5
keegan bradley,13872,53.4,50.9
si woo kim,14609,52.7,51.2
akshay bhatia,26096,47.2,44.5
wyndham clark,23604,47.2,47.5
sergio garcia,5689,42.9,41.3
marc leishman,7649,39.2,37.5
daniel berger,17606,52.2,49.7
tom kim,24766,47.3,46.8
dean burmester,14424,42.3,42.7
sahith theegala,23014,38.6,37.5
taylor pendrith,17780,52.5,51.4
nicolai hojgaard,23602,51.6,50.4
rickie fowler,12965,47.5,44.2
lucas herbert,17064,45.9,43.7
rasmus hojgaard,23838,45.7,45.6
louis oosthuizen,7672,44.7,43.2
harry hall,27194,53.3,52.9
harris english,14577,53.1,52.2
davis thompson,27364,48.6,46.0
byeong hun an,14459,45.8,43.9
thriston lawrence,18105,42.1,42.0
tom mckibbin,22322,48.8,49.4
dustin johnson,12422,43,41.5
matthew jordan,25601,40,40.0
aldrich potgieter,27900,39.3,40.4
lee westwood,4052,28.8,30.5
andrew novak,23475,49.6,47.1
matt wallace,20706,47.9,47.5
christiaan bezuidenhout,18103,47.8,46.9
thorbjorn olesen,13412,46.9,45.9
laurie canter,14795,46.6,45.7
denny mccarthy,19870,46.2,45.4
matti schmid,20722,44.4,43.6
maverick mcnealy,18634,55.9,53.2
bud cauley,14502,45.3,43.8
lucas glover,7399,44.9,43.5
jesper svensson,26850,44.6,43.7
tom hoge,15575,41.5,41.1
chris kirk,12423,40.1,39.4
nick taylor,13126,51.1,49.8
marco penge,22465,51,49.6
j.t. poston,21554,47.5,45.1
michael kim,17543,47,45.2
niklas norgaard,15676,44.2,42.6
romain langasque,16652,34.5,34.2
max greyserman,23465,49.5,46.5
jordan smith,18586,48.5,48.6
kristoffer reitan,21407,43.7,43.0
martin couvra,27811,38.3,37.9
matteo manassero,11460,38.3,36.0
matthieu pavon,19960,36.4,34.9
kevin yu,17881,48.9,46.7
daniel brown,20766,41.4,41.1
stephan jaeger,16394,38.4,37.8
phil mickelson,1547,33.1,32.0
padraig harrington,5716,32.8,33.6
guido migliozzi,17357,29.2,28.5
nico echavarria,22833,43.6,41.6
mackenzie hughes,15556,42.9,41.9
haotong li,15310,41.8,39.1
sebastian soderberg,18517,36.9,35.8
jason kokrak,12337,35.7,34.9
john catlin,18524,34.2,34.1
matt mccarty,28635,44.6,43.1
antoine rozner,18770,41.6,41.1
davis riley,19872,37,33.6
daniel hillier,21362,35.5,35.0
francesco molinari,7655,34.4,33.8
jacob skov olesen,25611,34.3,33.3
justin suh,22050,28,28.0
jhonattan vegas,13508,42,41.8
john parry,13764,40.4,39.4
julien guerrier,10201,35.7,34.5
henrik stenson,5994,34.6,32.4
younghan song,16160,28.2,28.3
ryggs johnston,32449,26.1,25.6
takumi kanaya,19729,37.4,36.3
nathan kimsey,18027,35.6,35.0
oliver lindell,20085,34.4,33.6
brian campbell,18628,34.3,34.5
angel hidalgo portillo,24127,29.4,28.4
daniel young,19908,27.9,28.3
sampson zheng,26764,26,25.8
rikuya hoshino,19190,35.7,34.6
stewart cink,5665,35.3,34.0
shaun norris,7677,33.8,32.8
sadom kaewkanjana,19844,32.2,31.9
mikiya akutsu,15726,23.6,23.2
k.j. choi,1804,20.5,20.6
ryan peake,15169,20.4,20.4
adrien saddier,14792,36.7,37.4
zach johnson,6986,35.3,34.7
elvis smylie,24200,34.8,33.3
daniel van tonder,15193,31.1,30.2
shugo imahira,13485,27.4,26.8
justin hastings,31960,25.3,25.1
justin walters,8045,21.4,21.3
curtis luck,16842,27.9,27.0
riki kawamoto,22844,27.8,27.3
darren fichardt,5754,26.7,25.9
darren clarke,3523,24.6,25.2
connor graham,30034865,24.3,24.1
john axelsen,19637,24,23.8
cameron adam,30031172,23.7,23.7
george bloor,26594,22.9,22.8
justin leonard,5603,21.1,21.3
filip jakubcik,26482,27.7,27.4
ethan fang,30032657,27.6,27.2
dylan naidoo,19429,26.4,26.0
jesper sandborg,20454,19.8,19.8
seb cave,30032803,19.2,19.0
richard teder,32733,16.5,16.4
oj farrell,28292,15.8,16.0
frazer jones,30040444,15,15.1
curtis knipes,25976,14.2,14.3
bryan newman,33256,11.8,12.2
