player_name,dg_id,proj,my_proj
scottie scheffler,18417,106.3,125.7
rory mcilroy,10091,85.5,85.5
xander schauffele,19895,85.8,92.1
collin morikawa,22085,90.7,101.3
patrick cantlay,15466,85.1,98.4
ludvig aberg,23950,81.6,82.0
justin thomas,14139,82.5,81.2
sepp straka,17511,85.7,94.1
sam burns,19483,80,80.1
viktor hovland,18841,82.1,84.4
tommy fleetwood,12294,84.6,96.2
russell henley,14578,84.2,88.7
j.j. spaun,17536,82.1,82.2
keegan bradley,13872,84.7,89.9
robert macintyre,23323,82.2,83.4
shane lowry,13900,81.8,81.9
jordan spieth,14636,79.2,79.6
ben griffin,24968,81.6,84.0
hideki matsuyama,13562,78.8,79.9
sungjae im,17488,77.7,78.2
taylor pendrith,17780,76.7,76.5
si woo kim,14609,81.6,84.1
cameron young,26651,75,73.8
harris english,14577,78.2,78.3
tony finau,11676,76.6,76.0
maverick mcnealy,18634,80.3,79.6
adam scott,6430,76.4,78.3
aaron rai,18554,83,87.4
daniel berger,17606,82.1,83.7
akshay bhatia,26096,76.9,78.0
luke clanton,32330,71.7,68.9
j.t. poston,21554,77.6,78.0
min woo lee,16841,72,70.7
brian harman,8825,76.3,76.7
rickie fowler,12965,73.3,73.5
mackenzie hughes,15556,74.6,71.6
tom kim,24766,73.3,75.2
harry hall,27194,72.2,73.5
jason day,9771,77.5,81.3
denny mccarthy,19870,74,74.9
ryan fox,11889,72.4,70.0
nick taylor,13126,76.5,79.3
matt fitzpatrick,17646,75.1,73.9
max greyserman,23465,73.8,72.9
bud cauley,14502,74.3,73.2
tom hoge,15575,73.7,75.4
thomas detry,14181,73.1,73.2
wyndham clark,23604,70.8,68.5
ryan gerard,29767,76.4,76.3
andrew novak,23475,76.2,73.2
sam stevens,25569,73.1,73.9
michael kim,17543,72.7,73.7
christiaan bezuidenhout,18103,72.6,75.2
alex noren,10419,72,70.7
stephan jaeger,16394,69.5,69.2
max homa,17538,65.8,66.3
davis thompson,27364,75.1,75.6
kevin yu,17881,73.5,71.8
jacob bridgeman,29433,70.6,70.5
byeong hun an,14459,69.9,69.1
matti schmid,20722,68.5,67.2
gary woodland,12577,68.3,68.9
lucas glover,7399,73.3,75.0
eric cole,21756,68.4,68.1
cam davis,17786,66.5,66.5
austin eckroat,26653,68.6,68.2
adam hadwin,13965,64.6,70.1
matthieu pavon,19960,64.2,63.9
joe highsmith,28469,65.8,68.3
brian campbell,18628,64.3,63.5
nick dunlap,28270,54.4,52.5
