player_name,dg_id,dg_pred,my_pred
michael thorbjornsen,26649,0.804,1.03
kevin roy,18424,0.589,0.363
emiliano grillo,12808,0.585,0.753
rico hoey,23504,0.579,0.411
jackson koivun,32319,0.517,0.8
vince whaley,25908,0.497,0.498
mark hubbard,16333,0.437,0.436
beau hossler,15470,0.239,0.304
patrick fishburn,25094,0.157,0.092
cameron champ,23542,0.06,0.009
kris ventura,15651,0.043,0.053
takumi kanaya,19729,0.026,-0.02
seamus power,10104,0.022,-0.22
steven fisk,26657,0.012,0.084
sam ryder,16715,0,-0.034
quade cummins,27996,-0.017,-0.092
chandler phillips,27164,-0.067,-0.033
angel ayora,30445,-0.075,0.067
chan kim,15004,-0.081,0.073
adam svensson,13997,-0.088,0.056
hayden springer,21995,-0.103,-0.209
carson young,23656,-0.105,0.046
ricky castillo,27819,-0.108,-0.244
luke list,7960,-0.141,-0.326
joseph bramlett,14698,-0.154,-0.103
s.h. kim,21688,-0.167,-0.27
jeremy paul,22087,-0.185,-0.156
greyson sigg,23482,-0.187,-0.096
william mouw,29770,-0.217,-0.194
thomas rosenmueller,22736,-0.236,-0.452
mac meissner,28159,-0.276,0.169
ben kohles,16395,-0.3,-0.26
kazuma kobori,24369,-0.308,0.142
dylan wu,25002,-0.319,-0.151
adam hadwin,13965,-0.344,-0.25
will gordon,26660,-0.346,-0.302
lanto griffin,15330,-0.351,-0.382
chad ramey,19840,-0.352,-0.405
jackson suber,29279,-0.368,-0.19
wenyi ding,26193,-0.375,-0.263
justin lower,17723,-0.398,-0.63
brice garnett,11451,-0.406,-0.29
adam schenk,19477,-0.448,-0.546
nick hardy,19865,-0.464,-0.413
marcus armitage,17813,-0.473,-0.473
taylor montgomery,25442,-0.517,-0.788
noah goodwin,24837,-0.529,-0.979
trevor cone,21880,-0.54,-0.54
brandon robinson-thompson,24497,-0.548,-0.335
zac blair,17639,-0.548,-0.582
martin laird,9586,-0.557,-0.557
jacob skov olesen,25611,-0.563,-0.563
david lipsky,15980,-0.569,-0.413
fabrizio zanotti,9842,-0.572,-0.572
john pak,27820,-0.589,-0.589
harry higgs,14140,-0.596,-1.007
davis bryant,32550,-0.602,-0.602
ben martin,14007,-0.61,-0.689
ben silverman,17381,-0.612,-0.821
david skinns,10873,-0.618,-0.618
ivan cantero gutierrez,19635,-0.646,-0.654
andrea pavan,12177,-0.671,-0.671
miles russell,32064,-0.717,-0.717
kiradech aphibarnrat,12321,-0.734,-0.734
patton kizzire,13470,-0.735,-0.694
s.y. noh,11117,-0.739,-0.803
andreas halvorsen,17747,-0.761,-0.761
tyler duncan,18187,-0.766,-0.807
jens dantorp,14018,-0.783,-0.783
maximilian kieffer,12317,-0.808,-0.808
scott jamieson,11397,-0.815,-0.815
paul peterson,16341,-0.824,-0.824
tim widing,21875,-0.828,-0.828
ricardo gouveia,18722,-0.836,-0.836
hayden buckley,25363,-0.854,-0.854
scott piercy,7899,-0.869,-0.869
matt nesmith,16433,-0.874,-0.874
tom vaillant,28157,-0.906,-0.906
jason scrivener,12734,-0.913,-0.913
casey jarvis,26947,-0.947,-0.947
taylor dickson,27420,-0.97,-0.97
manuel elvira,26008,-0.988,-0.988
kevin velo,27762,-1.01,-1.01
josh teater,8085,-1.012,-1.012
matthew riedel,30892,-1.014,-1.014
callum shinkwin,18244,-1.018,-1.018
marcus kinhult,18514,-1.02,-1.02
rafa cabrera bello,7457,-1.041,-1.041
jack senior,15115,-1.045,-1.045
kaito onishi,25263,-1.079,-1.079
fabian gomez,8571,-1.089,-1.089
gavin green,12530,-1.09,-1.09
peter malnati,14926,-1.108,-1.108
conor purcell,25963,-1.113,-1.113
cristobal del solar,17422,-1.134,-1.134
brandon wu,25213,-1.139,-1.139
robin williams,24093,-1.142,-1.142
rafael campos,12909,-1.156,-1.156
bronson burgoon,11082,-1.164,-1.164
troy merritt,13367,-1.172,-1.172
andrew wilson,25588,-1.201,-1.201
callum tarren,20519,-1.288,-1.288
chez reavie,7961,-1.3,-1.3
anders albertson,21235,-1.304,-1.304
braden thornberry,23502,-1.308,-1.308
joel girrbach,15592,-1.315,-1.315
