PLAYER NAME,PROJECTED STROKES
"Thorbjornsen, Michael",67.306
"Roy, Kevin",67.521
"Grillo, Emiliano",67.525
"Hoey, Rico",67.531
"Koivun, Jackson",67.593
"Whaley, Vince",67.613
"Hubbard, Mark",67.673
"Hossler, Beau",67.871
"Fishburn, Patrick",67.953
"Champ, Cameron",68.05
"Ventura, Kris",68.067
"Kanaya, Takumi",68.084
"Power, Seamus",68.088
"Fisk, Steven",68.098
"Ryder, Sam",68.11
"Cummins, Quade",68.127
"Phillips, Chandler",68.177
"Ayora, Angel",68.185
"Kim, Chan",68.191
"Svensson, Adam",68.198
"Springer, Hayden",68.213
"Young, Carson",68.215
"Castillo, Ricky",68.218
"List, Luke",68.251
"Bramlett, Joseph",68.264
"Kim, S.H.",68.277
"Paul, Jeremy",68.295
"Sigg, Greyson",68.297
"Mouw, William",68.327
"Rosenmueller, Thomas",68.346
"Meissner, Mac",68.386
"Kohles, Ben",68.41
"Kobori, Kazuma",68.418
"Wu, Dylan",68.429
"Hadwin, Adam",68.454
"Gordon, Will",68.456
"Griffin, Lanto",68.461
"Ramey, Chad",68.462
"Suber, Jackson",68.478
"Ding, Wenyi",68.485
"Lower, Justin",68.508
"Garnett, Brice",68.516
"Schenk, Adam",68.558
"Hardy, Nick",68.574
"Armitage, Marcus",68.583
"Montgomery, Taylor",68.627
"Goodwin, Noah",68.639
"Cone, Trevor",68.65
"Robinson-Thompson, Brandon",68.658
"Blair, Zac",68.658
"Laird, Martin",68.667
"Olesen, Jacob Skov",68.673
"Lipsky, David",68.679
"Zanotti, Fabrizio",68.682
"Pak, John",68.699
"Higgs, Harry",68.706
"Bryant, Davis",68.712
"Martin, Ben",68.72
"Silverman, Ben",68.722
"Skinns, David",68.728
"Cantero Gutierrez, Ivan",68.756
"Pavan, Andrea",68.781
"Russell, Miles",68.827
"Aphibarnrat, Kiradech",68.844
"Kizzire, Patton",68.845
"Noh, S.Y.",68.849
"Halvorsen, Andreas",68.871
"Duncan, Tyler",68.876
"Dantorp, Jens",68.893
"Kieffer, Maximilian",68.918
"Jamieson, Scott",68.925
"Peterson, Paul",68.934
"Widing, Tim",68.938
"Gouveia, Ricardo",68.946
"Buckley, Hayden",68.964
"Piercy, Scott",68.979
"NeSmith, Matt",68.984
"Vaillant, Tom",69.016
"Scrivener, Jason",69.023
"Jarvis, Casey",69.057
"Dickson, Taylor",69.08
"Elvira, Manuel",69.098
"Velo, Kevin",69.12
"Teater, Josh",69.122
"Riedel, Matthew",69.124
"Shinkwin, Callum",69.128
"Kinhult, Marcus",69.13
"Cabrera Bello, Rafa",69.151
"Senior, Jack",69.155
"Onishi, Kaito",69.189
"Gomez, Fabian",69.199
"Green, Gavin",69.2
"Malnati, Peter",69.218
"Purcell, Conor",69.223
"Del Solar, Cristobal",69.244
"Wu, Brandon",69.249
"Williams, Robin",69.252
"Campos, Rafael",69.266
"Burgoon, Bronson",69.274
"Merritt, Troy",69.282
"Wilson, Andrew",69.311
"Tarren, Callum",69.398
"Reavie, Chez",69.41
"Albertson, Anders",69.414
"Thornberry, Braden",69.418
"Girrbach, Joel",69.425
"Brown, Hamish",69.426
"Yuan, Carl",69.458
"Chandler, Will",69.496
"Byrd, Marcus",69.506
"Hahn, James",69.51
"Chappell, Kevin",69.52
"Andersen, Mason",69.522
"Daffue, MJ",69.532
"Levy, Alexander",69.575
"Capan III, Frankie",69.608
"Lindberg, Mikael",69.618
"De Bruyn, Jannik",69.637
"Byrd, Jonathan",69.659
"Kisner, Kevin",69.662
"Aiken, Thomas",69.679
"Sterne, Richard",69.72
"Doyle, Brendon",69.76
"Sharma, Shubhankar",69.807
"Ko, Jeong Weon",69.829
"Watney, Nick",69.89
"Baddeley, Aaron",69.952
"Garcia-Heredia, Alfredo",69.976
"Jin, Zihao",69.976
"Cook, Austin",70.072
"Sargent, Gordon",70.094
"Moscatel, Joel",70.1
"Gainey, Tommy",70.131
"Baldwin, Matthew",70.15
"Schwab, Matthias",70.223
"O'Hair, Sean",70.273
"Akesson, Bjorn",70.29
"Brehm, Ryan",70.347
"Brun, Julien",70.348
"Haas, Bill",70.389
"Stuard, Brian",70.402
"Dufner, Jason",70.425
"Musselman, Cooper",70.472
"Knappe, Alexander",70.521
"McNeill, George",70.532
"Gribble, Cody",70.538
"Doyle, Drew",70.619
"Holmes, J.B.",70.77
"Stallings Jr., Stephen",71.11
"Herman, Jim",71.126
"Iceman, Daniel",71.127
"Overton, Jeff",71.506
"Johnson, Carson",72.2
"Trainer, Martin",72.554
"Barnes, Erik",72.799
"Balcar, Michael",73.472
