PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aiken, Thomas",69.679,69.679,-1.569
"Akesson, Bjorn",70.29,70.29,-2.18
"Albertson, Anders",69.414,69.414,-1.304
"Andersen, Mason",69.522,69.522,-1.412
"Aphibarnrat, Kiradech",68.844,68.844,-0.734
"Armitage, Marcus",68.583,68.583,-0.473
"Ayora, Angel",68.185,68.043,0.067
"Baddeley, Aaron",69.952,69.952,-1.842
"Balcar, Michael",73.472,73.472,-5.362
"Baldwin, Matthew",70.15,70.15,-2.04
"Barnes, Erik",72.799,72.799,-4.689
"Blair, Zac",68.658,68.692,-0.582
"Bramlett, Joseph",68.264,68.213,-0.103
"Brehm, Ryan",70.347,70.347,-2.237
"Brown, Hamish",69.426,69.426,-1.316
"Brun, Julien",70.348,70.348,-2.238
"Bryant, Davis",68.712,68.712,-0.602
"Buckley, Hayden",68.964,68.964,-0.854
"Burgoon, Bronson",69.274,69.274,-1.164
"Byrd, Jonathan",69.659,69.659,-1.549
"Byrd, Marcus",69.506,69.506,-1.396
"Cabrera Bello, Rafa",69.151,69.151,-1.041
"Campos, Rafael",69.266,69.266,-1.156
"Cantero Gutierrez, Ivan",68.756,68.764,-0.654
"Capan III, Frankie",69.608,69.608,-1.498
"Castillo, Ricky",68.218,68.354,-0.244
"Champ, Cameron",68.05,68.101,0.009
"Chandler, Will",69.496,69.496,-1.386
"Chappell, Kevin",69.52,69.52,-1.41
"Cone, Trevor",68.65,68.65,-0.54
"Cook, Austin",70.072,70.072,-1.962
"Cummins, Quade",68.127,68.202,-0.092
"Daffue, MJ",69.532,69.532,-1.422
"Dantorp, Jens",68.893,68.893,-0.783
"De Bruyn, Jannik",69.637,69.637,-1.527
"Del Solar, Cristobal",69.244,69.244,-1.134
"Dickson, Taylor",69.08,69.08,-0.97
"Ding, Wenyi",68.485,68.373,-0.263
"Doyle, Brendon",69.76,69.76,-1.65
"Doyle, Drew",70.619,70.619,-2.509
"Dufner, Jason",70.425,70.425,-2.315
"Duncan, Tyler",68.876,68.917,-0.807
"Elvira, Manuel",69.098,69.098,-0.988
"Fishburn, Patrick",67.953,68.018,0.092
"Fisk, Steven",68.098,68.026,0.084
"Gainey, Tommy",70.131,70.131,-2.021
"Garcia-Heredia, Alfredo",69.976,69.976,-1.866
"Garnett, Brice",68.516,68.4,-0.29
"Girrbach, Joel",69.425,69.425,-1.315
"Gomez, Fabian",69.199,69.199,-1.089
"Goodwin, Noah",68.639,69.089,-0.979
"Gordon, Will",68.456,68.412,-0.302
"Gouveia, Ricardo",68.946,68.946,-0.836
"Green, Gavin",69.2,69.2,-1.09
"Gribble, Cody",70.538,70.538,-2.428
"Griffin, Lanto",68.461,68.492,-0.382
"Grillo, Emiliano",67.525,67.357,0.753
"Haas, Bill",70.389,70.389,-2.279
"Hadwin, Adam",68.454,68.36,-0.25
"Hahn, James",69.51,69.51,-1.4
"Halvorsen, Andreas",68.871,68.871,-0.761
"Hardy, Nick",68.574,68.523,-0.413
"Herman, Jim",71.126,71.126,-3.016
"Higgs, Harry",68.706,69.117,-1.007
"Hoey, Rico",67.531,67.699,0.411
"Holmes, J.B.",70.77,70.77,-2.66
"Hossler, Beau",67.871,67.806,0.304
"Hubbard, Mark",67.673,67.674,0.436
"Iceman, Daniel",71.127,71.127,-3.017
"Jamieson, Scott",68.925,68.925,-0.815
"Jarvis, Casey",69.057,69.057,-0.947
"Jin, Zihao",69.976,69.976,-1.866
"Johnson, Carson",72.2,72.2,-4.09
"Kanaya, Takumi",68.084,68.13,-0.02
"Kieffer, Maximilian",68.918,68.918,-0.808
"Kim, Chan",68.191,68.037,0.073
"Kim, S.H.",68.277,68.38,-0.27
"Kinhult, Marcus",69.13,69.13,-1.02
"Kisner, Kevin",69.662,69.662,-1.552
"Kizzire, Patton",68.845,68.804,-0.694
"Knappe, Alexander",70.521,70.521,-2.411
"Ko, Jeong Weon",69.829,69.829,-1.719
"Kobori, Kazuma",68.418,67.968,0.142
"Kohles, Ben",68.41,68.37,-0.26
"Koivun, Jackson",67.593,67.31,0.8
"Laird, Martin",68.667,68.667,-0.557
"Levy, Alexander",69.575,69.575,-1.465
"Lindberg, Mikael",69.618,69.618,-1.508
"Lipsky, David",68.679,68.523,-0.413
"List, Luke",68.251,68.436,-0.326
"Lower, Justin",68.508,68.74,-0.63
"Malnati, Peter",69.218,69.218,-1.108
"Martin, Ben",68.72,68.799,-0.689
"McNeill, George",70.532,70.532,-2.422
"Meissner, Mac",68.386,67.941,0.169
"Merritt, Troy",69.282,69.282,-1.172
"Montgomery, Taylor",68.627,68.898,-0.788
"Moscatel, Joel",70.1,70.1,-1.99
"Mouw, William",68.327,68.304,-0.194
