player_name,dg_id,dg_pred,my_pred
jon rahm,19195,2.072,2.118
bryson dechambeau,19841,1.997,1.912
tyrrell hatton,14796,1.42,1.425
joaquin niemann,18079,1.403,1.437
patrick reed,14838,1.155,1.255
sebastian munoz,20770,1.026,0.985
carlos ortiz,14735,0.891,0.781
david puig,28984,0.782,0.829
louis oosthuizen,7672,0.63,0.741
paul casey,7108,0.599,0.599
sergio garcia,5689,0.556,0.629
cameron smith,15856,0.453,0.273
abraham ancer,18238,0.451,0.53
cameron tringale,14013,0.4,0.387
talor gooch,18580,0.387,0.372
tom mckibbin,22322,0.376,0.505
anirban lahiri,12669,0.369,0.322
brooks koepka,16243,0.337,0.321
lucas herbert,17064,0.332,0.326
dean burmester,14424,0.265,0.367
charl schwartzel,7398,0.237,0.275
marc leishman,7649,0.184,0.021
thomas pieters,13944,0.137,0.142
harold varner iii,16602,0.1,0.078
richard bland,6516,0.08,0.069
dustin johnson,12422,0.011,0.008
charles howell iii,6892,-0.01,-0.042
jinichiro kozuma,14209,-0.025,0.061
bubba watson,7334,-0.17,-0.113
brendan steele,11019,-0.328,-0.074
branden grace,11952,-0.343,-0.237
ben campbell,14373,-0.359,-0.271
martin kaymer,8117,-0.386,-0.302
graeme mcdowell,7548,-0.452,-0.278
sam horsfield,19866,-0.468,-0.066
kevin na,7452,-0.5,-0.548
henrik stenson,5994,-0.508,-0.399
jason kokrak,12337,-0.57,-0.818
adrian meronk,14196,-0.678,-0.84
phil mickelson,1547,-0.705,-0.832
peter uihlein,11357,-0.789,-0.796
caleb surratt,30463,-0.839,-1.024
lee westwood,4052,-0.955,-1.129
chieh-po lee,16563,-1.194,-1.415
ian poulter,1435,-1.197,-1.599
matt jones,8605,-1.271,-1.361
andy ogletree,27597,-1.353,-1.263
jose luis ballester,28473,-1.385,-1.385
yubin jang,28276,-1.475,-1.035
luis masaveu,30428,-1.597,-1.597
danny lee,11826,-1.625,-1.166
mito pereira,19455,-1.859,-2.318
frederik kjettrup,24660,-2.338,-2.778
anthony kim,11641,-2.492,-2.492
