player_name,dg_id,dg_pred,my_pred
bryson dechambeau,19841,2.317,2.239
jon rahm,19195,2.258,2.319
joaquin niemann,18079,1.693,1.683
tyrrell hatton,14796,1.411,1.433
carlos ortiz,14735,1.208,1.326
patrick reed,14838,0.889,0.757
sebastian munoz,20770,0.765,0.844
lucas herbert,17064,0.765,0.833
brooks koepka,16243,0.614,0.722
david puig,28984,0.517,0.53
cameron smith,15856,0.468,0.37
dean burmester,14424,0.381,0.329
talor gooch,18580,0.329,0.298
marc leishman,7649,0.295,0.342
thomas pieters,13944,0.291,0.329
tom mckibbin,22322,0.287,0.337
sergio garcia,5689,0.181,0.105
paul casey,7108,0.178,0.143
bubba watson,7334,0.147,0.117
cameron tringale,14013,0.135,0.232
abraham ancer,18238,0.121,0.053
charl schwartzel,7398,0.086,0.148
louis oosthuizen,7672,0.084,0.101
anirban lahiri,12669,0.011,-0.07
dustin johnson,12422,-0.012,-0.053
harold varner iii,16602,-0.018,0.055
charles howell iii,6892,-0.153,0.043
brendan steele,11019,-0.223,-0.114
jinichiro kozuma,14209,-0.325,-0.236
richard bland,6516,-0.336,-0.568
peter uihlein,11357,-0.363,-0.316
jason kokrak,12337,-0.424,-0.489
phil mickelson,1547,-0.497,-0.568
branden grace,11952,-0.502,-0.591
caleb surratt,30463,-0.507,-0.555
sam horsfield,19866,-0.579,-0.402
kevin na,7452,-0.589,-0.548
graeme mcdowell,7548,-0.612,-0.524
adrian meronk,14196,-0.665,-1.046
matthew wolff,25919,-0.725,-0.767
ben campbell,14373,-0.832,-0.923
henrik stenson,5994,-0.946,-0.686
jose luis ballester,28473,-0.975,-0.975
matt jones,8605,-1.143,-1.403
ian poulter,1435,-1.209,-1.341
martin kaymer,8117,-1.223,-1.402
yubin jang,28276,-1.284,-1.284
lee westwood,4052,-1.319,-1.187
chieh-po lee,16563,-1.347,-1.347
andy ogletree,27597,-1.466,-1.418
mito pereira,19455,-1.66,-1.709
danny lee,11826,-1.865,-1.865
frederik kjettrup,24660,-2.366,-2.366
anthony kim,11641,-2.773,-2.774
