player_name,dg_id,dg_pred,my_pred
bryson dechambeau,19841,2.369,2.322
jon rahm,19195,2.292,2.317
joaquin niemann,18079,1.624,1.616
tyrrell hatton,14796,1.619,1.649
patrick reed,14838,0.812,0.732
david puig,28984,0.784,0.775
sebastian munoz,20770,0.702,0.678
carlos ortiz,14735,0.633,0.6
tom mckibbin,22322,0.576,0.526
lucas herbert,17064,0.517,0.43
cameron smith,15856,0.453,0.427
talor gooch,18580,0.41,0.45
dustin johnson,12422,0.389,0.381
dean burmester,14424,0.32,0.275
cameron tringale,14013,0.319,0.35
harold varner iii,16602,0.317,0.159
paul casey,7108,0.292,0.382
abraham ancer,18238,0.221,0.268
brooks koepka,16243,0.209,0.224
thomas pieters,13944,0.207,0.205
sergio garcia,5689,0.191,0.21
charles howell iii,6892,0.057,-0.066
louis oosthuizen,7672,0.044,0.109
anirban lahiri,12669,0.041,0.136
marc leishman,7649,0.027,0.033
jinichiro kozuma,14209,0.004,0.006
charl schwartzel,7398,-0.028,0.021
bubba watson,7334,-0.051,-0.1
jason kokrak,12337,-0.196,-0.13
peter uihlein,11357,-0.25,-0.212
richard bland,6516,-0.276,-0.169
sam horsfield,19866,-0.279,-0.334
brendan steele,11019,-0.318,-0.357
branden grace,11952,-0.345,-0.492
adrian meronk,14196,-0.371,-0.384
caleb surratt,30463,-0.508,-0.623
phil mickelson,1547,-0.639,-0.626
henrik stenson,5994,-0.683,-0.683
matthew wolff,25919,-0.692,-0.693
lee westwood,4052,-0.824,-0.657
matt jones,8605,-0.893,-0.894
graeme mcdowell,7548,-0.92,-0.805
jose luis ballester,28473,-0.949,-0.949
martin kaymer,8117,-0.976,-1.03
kevin na,7452,-0.98,-1.114
ben campbell,14373,-0.996,-0.851
andy ogletree,27597,-1.277,-1.223
chieh-po lee,16563,-1.32,-1.367
yubin jang,28276,-1.473,-1.473
ian poulter,1435,-1.527,-1.48
mito pereira,19455,-1.774,-1.774
danny lee,11826,-1.793,-1.659
frederik kjettrup,24660,-2.405,-2.405
anthony kim,11641,-2.591,-2.591
