PLAYER NAME,PRE R1 STROKES,PRE R2 STROKES,DIFFERENCE
"Aberg, Ludvig",67.584,67.391,-0.193
"An, Byeong Hun",68.501,68.464,-0.037
"Andersen, Mason",70.07,70.07,0.0
"Anderson, Matthew",69.94,69.94,0.0
"Baddeley, Aaron",70.68,70.68,0.0
"Botha, Barend",70.31,70.31,0.0
"Buckley, Hayden",69.46,69.46,0.0
"Burns, Sam",67.672,67.638,-0.034
"Campos, Rafael",69.89,69.89,0.0
"Cao, Yi",70.81,70.81,0.0
"Capan III, Frankie",69.91,69.91,0.0
"Castillo, Ricky",68.448,68.448,0.0
"Chandler, Will",69.98,69.98,0.0
"Clanton, Luke",68.171,68.39,0.219
"Clark, Wyndham",68.343,68.343,0.0
"Cole, Eric",68.234,68.234,0.0
"Collins, Cougar",73.0,73.0,0.0
"Cone, Trevor",69.98,69.98,0.0
"Conners, Corey",67.563,67.563,0.0
"Covello, Vince",72.1,72.1,0.0
"Creighton, Myles",69.87,69.87,0.0
"Cummins, Quade",68.808,68.808,0.0
"Dahmen, Joel",68.916,68.916,0.0
"Del Solar, Cristobal",70.1,70.1,0.0
"Detry, Thomas",68.465,68.397,-0.068
"DiMarco, Cristian",73.3,73.3,0.0
"Dickson, Taylor",69.69,69.69,0.0
"Dunlap, Nick",69.9,69.9,0.0
"Endycott, Harrison",70.12,70.12,0.0
"Ewart, A.J.",70.25,70.25,0.0
"Fishburn, Patrick",68.823,68.823,0.0
"Fisk, Steven",68.667,68.667,0.0
"Ford, David",69.19,69.19,0.0
"Fox, Ryan",68.231,68.231,0.0
"Garnett, Brice",69.14,69.14,0.0
"Ghim, Doug",68.158,68.371,0.213
"Goldenberg, Josh",72.0,72.0,0.0
"Goodwin, Noah",69.42,69.42,0.0
"Gordon, Will",69.19,69.19,0.0
"Gotterup, Chris",68.35,68.35,0.0
"Griffin, Lanto",69.44,69.44,0.0
"Grillo, Emiliano",68.54,68.28,-0.26
"Hadwin, Adam",68.892,68.892,0.0
"Hall, Harry",68.079,67.974,-0.105
"Hardy, Nick",69.18,69.18,0.0
"Hearn, David",72.1,72.1,0.0
"Heffernan, Wes",71.9,71.9,0.0
"Higgs, Harry",69.21,69.21,0.0
"Hisatsune, Ryo",68.246,68.246,0.0
"Hodges, Lee",68.565,68.61,0.045
"Hoey, Rico",68.54,68.597,0.057
"Hoffman, Charley",69.13,69.13,0.0
"Hoffman, Mark",72.7,72.7,0.0
"Hojgaard, Nicolai",68.634,68.456,-0.178
"Hojgaard, Rasmus",68.274,68.274,0.0
"Homa, Max",68.623,68.682,0.059
"Hossler, Beau",68.756,68.805,0.049
"Hubbard, Mark",68.453,68.526,0.073
"Hughes, Mackenzie",68.192,68.151,-0.041
"Im, Sungjae",67.912,67.963,0.051
"Javier, Matthew",73.1,73.1,0.0
"Kanaya, Takumi",68.76,68.76,0.0
"Keefer, Johnny",68.329,68.325,-0.004
"Kim, Chan",68.87,69.015,0.145
"Kim, Tom",68.612,68.612,0.0
"Kisner, Kevin",70.36,70.36,0.0
"Kitayama, Kurt",68.224,68.355,0.131
"Knapp, Jake",68.666,68.666,0.0
"Knowles, Philip",70.27,70.27,0.0
"Kohles, Ben",69.25,69.25,0.0
"Kuchar, Matt",68.77,68.77,0.0
"Lashley, Nate",69.35,69.35,0.0
"Lee, Richard",69.52,69.52,0.0
"Lipsky, David",69.75,69.75,0.0
"List, Luke",69.14,69.14,0.0
"Lower, Justin",68.81,68.81,0.0
"Lowry, Shane",67.4,67.4,0.0
"MacIntyre, Robert",67.488,67.488,0.0
"Malnati, Peter",70.25,70.25,0.0
"Manassero, Matteo",69.19,69.19,0.0
"Matthews, Justin",71.9,71.9,0.0
"Mawhinney, Tyler",71.53,71.53,0.0
"McCarty, Matt",68.534,68.534,0.0
"McCulloch, Ashton",70.42,70.42,0.0
"McGreevy, Max",68.573,68.573,0.0
"McIlroy, Rory",66.43,66.796,0.366
"Meissner, Mac",69.03,69.03,0.0
"Mitchell, Keith",67.952,68.039,0.087
"Moore, Taylor",68.388,68.348,-0.04
"Mouw, William",69.3,69.3,0.0
"Mullinax, Trey",69.1,69.1,0.0
"Noren, Alex",68.028,68.028,0.0
"Norgaard, Niklas",68.588,68.613,0.025
"Norlander, Henrik",68.71,68.661,-0.049
"Olesen, Thorbjorn",68.123,68.123,0.0
"Onishi, Kaito",69.67,69.67,0.0
"Pak, John",69.58,69.58,0.0
"Palmer, Ryan",70.91,70.91,0.0
"Paul, Jeremy",69.17,69.17,0.0
"Pavon, Matthieu",69.05,69.05,0.0
"Pendrith, Taylor",67.739,67.617,-0.122
"Perez, Victor",68.673,68.634,-0.039
"Peterson, Paul",69.99,69.99,0.0
"Phillips, Chandler",68.981,68.981,0.0
"Power, Seamus",68.805,68.805,0.0
"Putnam, Andrew",68.684,68.746,0.062
"Ramey, Chad",69.02,69.02,0.0
"Riedel, Matthew",70.41,70.41,0.0
"Riley, Davis",68.716,68.671,-0.045
"Rodgers, Patrick",68.545,68.628,0.083
"Rose, Justin",68.727,68.727,0.0
"Rosenmueller, Thomas",69.13,69.13,0.0
"Roy, Kevin",68.8,68.8,0.0
"Rozner, Antoine",68.92,68.92,0.0
"Ryder, Sam",68.851,68.761,-0.09
"Salinda, Isaiah",68.794,68.794,0.0
"Sargent, Gordon",71.9,71.9,0.0
"Schenk, Adam",69.4,69.4,0.0
"Schmid, Matti",68.342,68.342,0.0
"Scobie, Matthew",74.5,74.5,0.0
"Sigg, Greyson",68.92,68.92,0.0
"Silverman, Ben",69.3,69.3,0.0
"Skinns, David",69.8,69.8,0.0
"Sloan, Roger",69.97,69.97,0.0
"Smalley, Alex",68.17,68.163,-0.007
