PLAYER NAME,PRE R1 STROKES,PRE R2 STROKES,DIFFERENCE
"Ahlawat, Veer",72.0,72.0,0.0
"Aiken, Thomas",71.694,71.694,0.0
"Akesson, Bjorn",72.51,72.51,0.0
"Amat, Bastien",72.754,72.754,0.0
"Armitage, Marcus",70.999,71.063,0.064
"Ayora, Angel",70.809,70.809,0.0
"Bairstow, Sam",70.523,70.577,0.054
"Baldwin, Matthew",71.998,71.998,0.0
"Bekirian, Jean",72.683,72.683,0.0
"Besseling, Wil",71.903,71.903,0.0
"Bjerregaard, Lucas",72.371,72.371,0.0
"Boneta, Albert",71.935,71.935,0.0
"Bradbury, Dan",71.473,71.473,0.0
"Brown, Daniel",71.214,71.214,0.0
"Brown, Hamish",72.149,72.149,0.0
"Brun, Julien",72.607,72.607,0.0
"Bryant, Davis",71.691,71.691,0.0
"Cabrera Bello, Rafa",71.984,71.984,0.0
"Campillo, Jorge",71.042,71.042,0.0
"Canter, Laurie",70.435,70.435,0.0
"Cantero Gutierrez, Ivan",71.545,71.545,0.0
"Catlin, John",70.996,71.002,0.006
"Chacarra, Eugenio",70.511,70.511,0.0
"Clements, Todd",71.063,71.063,0.0
"Cockerill, Aaron",71.18,71.18,0.0
"Colsaerts, Nicolas",71.899,71.899,0.0
"Coussaud, Ugo",71.036,71.036,0.0
"Crocker, Sean",70.965,71.034,0.069
"Dantorp, Jens",71.656,71.656,0.0
"De Bruyn, Jannik",72.085,72.085,0.0
"De Leo, Gregorio",71.72,71.72,0.0
"De Vries, Wouter",73.22,73.22,0.0
"Dean, Joe",71.238,71.238,0.0
"Del Rey, Alejandro",71.158,71.158,0.0
"Ding, Wenyi",70.578,70.516,-0.062
"Donaldson, Jamie",72.883,72.883,0.0
"Driessen, Bjorn",74.751,74.751,0.0
"Elvira Mijares, Ignacio",71.408,71.408,0.0
"Elvira, Manuel",71.548,71.548,0.0
"Erickson, Dan",72.135,72.135,0.0
"Fdez-Castano, Gonzalo",73.689,73.689,0.0
"Ferguson, Ewen",70.351,70.377,0.026
"Fisher, Ross",72.378,72.378,0.0
"Fitzpatrick, Alex",70.879,70.886,0.007
"Follet-Smith, Benjamin",72.753,72.753,0.0
"Forrest, Grant",71.387,71.387,0.0
