PLAYER NAME,PROJECTED STROKES
"McNealy, Maverick",68.161
"Burns, Sam",68.276
"Gotterup, Chris",68.417
"Kim, Si Woo",68.438
"Bhatia, Akshay",68.579
"Pendrith, Taylor",68.715
"Clark, Wyndham",68.803
"Im, Sungjae",68.846
"Fowler, Rickie",68.863
"Bezuidenhout, Christiaan",68.866
"Thompson, Davis",68.87
"Yu, Kevin",68.887
"Putnam, Andrew",68.909
"Kitayama, Kurt",68.943
"Ghim, Doug",68.953
"Greyserman, Max",68.964
"Stevens, Sam",68.972
"Wallace, Matt",68.984
"Scott, Adam",68.991
"Hoey, Rico",68.991
"Thorbjornsen, Michael",68.998
"Grillo, Emiliano",69.034
"Hossler, Beau",69.035
"McCarty, Matt",69.088
"Smalley, Alex",69.099
"McGreevy, Max",69.107
"Knapp, Jake",69.117
"Finau, Tony",69.135
"Noren, Alex",69.167
"Whaley, Vince",69.168
"Svensson, Jesper",69.171
"Mitchell, Keith",69.181
"Hodges, Lee",69.218
"Roy, Kevin",69.221
"Kim, Tom",69.268
"Bridgeman, Jacob",69.282
"Olesen, Thorbjorn",69.284
"Schmid, Matti",69.293
"Van Rooyen, Erik",69.302
"Vegas, Jhonattan",69.308
"Eckroat, Austin",69.32
"Kanaya, Takumi",69.322
"Coody, Pierceson",69.324
"Hoge, Tom",69.328
"Hughes, Mackenzie",69.354
"Hubbard, Mark",69.367
"Homa, Max",69.367
"An, Byeong Hun",69.372
"Kirk, Chris",69.379
"Hisatsune, Ryo",69.389
"Clanton, Luke",69.413
"Perez, Victor",69.42
"Ryder, Sam",69.426
"Fishburn, Patrick",69.45
"Moore, Taylor",69.473
"Lawrence, Thriston",69.489
"Li, Haotong",69.527
"Rozner, Antoine",69.552
"Castillo, Ricky",69.564
"Young, Carson",69.564
"Phillips, Chandler",69.568
"Woodland, Gary",69.588
"Theegala, Sahith",69.59
"Springer, Hayden",69.591
"Norlander, Henrik",69.602
"Rosenmueller, Thomas",69.622
"Cummins, Quade",69.628
"Ventura, Kris",69.637
"Dahmen, Joel",69.649
"Champ, Cameron",69.652
"Rodgers, Patrick",69.654
"Fisk, Steven",69.663
"Cole, Eric",69.67
"Norgaard, Niklas",69.674
"Peterson, Paul",69.697
"Kohles, Ben",69.702
"Valimaki, Sami",69.719
"Power, Seamus",69.739
"Mouw, William",69.75
"Ramey, Chad",69.754
"Johnson, Zach",69.759
"Kim, Chan",69.768
"Silverman, Ben",69.778
"Skinns, David",69.782
"Sigg, Greyson",69.787
"Garnett, Brice",69.793
"Lipsky, David",69.824
"Highsmith, Joe",69.83
"Salinda, Isaiah",69.832
"Lashley, Nate",69.838
"Griffin, Lanto",69.841
"Suber, Jackson",69.852
"Gordon, Will",69.896
"Svensson, Adam",69.903
"Hadwin, Adam",69.906
"Hardy, Nick",69.917
"Davis, Cam",69.924
"Simpson, Webb",69.924
"List, Luke",69.943
"Bramlett, Joseph",69.954
"Wu, Dylan",69.956
"Higgo, Garrick",69.968
"Meissner, Mac",69.977
"Snedeker, Brandt",69.996
"Stout, Preston",70.026
"Valdes, Brendan",70.032
"Riley, Davis",70.034
"Lower, Justin",70.067
"Schenk, Adam",70.131
"Cone, Trevor",70.136
"Paul, Jeremy",70.138
"Walker, Danny",70.141
"Martin, Ben",70.169
"Goodwin, Noah",70.178
"Hadley, Chesson",70.198
"Pavon, Matthieu",70.201
"Montgomery, Taylor",70.202
"Higgs, Harry",70.204
"Pak, John",70.27
"Vilips, Karl",70.353
"Mullinax, Trey",70.36
"Ford, David",70.396
"Reavie, Chez",70.432
"Buckley, Hayden",70.453
"Kizzire, Patton",70.493
"Willett, Danny",70.523
"Velo, Kevin",70.55
"Malnati, Peter",70.605
"Merritt, Troy",70.728
"Riedel, Matthew",70.762
"Kisner, Kevin",70.787
"Villegas, Camilo",70.797
"La Sasso, Michael",70.806
"Knowles, Philip",70.818
"Onishi, Kaito",70.866
"Del Solar, Cristobal",70.879
"Chandler, Will",70.894
"Dunlap, Nick",70.938
"Dickson, Taylor",70.945
"Campos, Rafael",70.964
"Herendeen, Max",71.101
"Thornberry, Braden",71.106
"Albertson, Anders",71.136
"Andersen, Mason",71.257
"Endycott, Harrison",71.262
"Capan III, Frankie",71.31
"Baddeley, Aaron",71.397
"Cao, Yi",71.448
"Sargent, Gordon",71.584
"Palmer, Ryan",71.902
"Campbell, Thomas",72.276
"Feuerstein, Michael",72.349
"Stallings Jr., Stephen",72.53
"Radcliff, Josh",72.533
"Matthews, Brandon",72.842
"Herron, Carson",72.952
