PLAYER NAME,PROJECTED STROKES
"Reed, Patrick",69.408
"Neergaard-Petersen, Rasmus",69.57
"Puig, David",69.672
"Smith, Jordan",69.77
"Penge, Marco",69.995
"Schaper, Jayden",70.045
"Schmid, Matti",70.048
"Ferguson, Ewen",70.076
"Chacarra, Eugenio",70.105
"Laporta, Francesco",70.145
"Garcia, Sergio",70.159
"Li, Haotong",70.206
"Saddier, Adrien",70.214
"Couvra, Martin",70.277
"Nakajima, Keita",70.319
"Schneider, Marcel",70.334
"Luiten, Joost",70.346
"Canter, Laurie",70.363
"Reitan, Kristoffer",70.374
"Ayora, Angel",70.39
"Von Dellingshausen, Nicolai",70.405
"Parry, John",70.491
"Fitzpatrick, Alex",70.524
"Stone, Brandon",70.532
"Campillo, Jorge",70.572
"Hillier, Daniel",70.576
"Zanotti, Fabrizio",70.582
"Mansell, Richard",70.612
"Sullivan, Andy",70.639
"Hill, Calum",70.64
"Crocker, Sean",70.653
"Lacroix, Frederic",70.661
"Lindell, Oliver",70.661
"Molinari, Edoardo",70.67
"Jordan, Matthew",70.672
"Guerrier, Julien",70.681
"Norris, Shaun",70.728
"Bairstow, Sam",70.747
"Kruyswijk, Jacques",70.758
"Bradbury, Dan",70.8
"Veerman, Johannes",70.806
"Langasque, Romain",70.825
"Clements, Todd",70.84
"Olesen, Jacob Skov",70.862
"Kieffer, Maximilian",70.872
"Ding, Wenyi",70.885
"Robinson-Thompson, Brandon",70.891
"Aphibarnrat, Kiradech",70.91
"Paul, Yannik",70.956
"Syme, Connor",70.958
"Wiesberger, Bernd",70.966
"Dantorp, Jens",70.993
"Nienaber, Wilco",71.0
"Pavan, Andrea",71.002
"Armitage, Marcus",71.054
"Van Driel, Darius",71.072
"Cantero Gutierrez, Ivan",71.093
"Siem, Marcel",71.113
"Kimsey, Nathan",71.119
"Del Rey, Alejandro",71.124
"Gouveia, Ricardo",71.131
"Ravetto, David",71.135
"Brown, Daniel",71.143
"Cockerill, Aaron",71.149
"Katsuragawa, Yuto",71.151
"Coussaud, Ugo",71.158
"Lemke, Niklas",71.16
"Winther, Jeff",71.169
"Elvira, Manuel",71.192
"Kobori, Kazuma",71.205
"Vaillant, Tom",71.209
"Elvira Mijares, Ignacio",71.216
"Schott, Freddy",71.225
"Green, Gavin",71.229
"Forrest, Grant",71.238
"Halvorsen, Andreas",71.25
"Larrazabal, Pablo",71.256
"Ramsay, Richie",71.257
"Kaymer, Martin",71.257
"Migliozzi, Guido",71.277
"Scrivener, Jason",71.287
"Jamieson, Scott",71.314
"Hidalgo, Angel",71.328
"Bryan, Wesley",71.33
"Dean, Joe",71.349
"Lagergren, Joakim",71.376
"Sordet, Clement",71.381
"Cabrera Bello, Rafa",71.383
"Southgate, Matthew",71.413
"Otaegui, Adrian",71.434
"Wilson, Andrew",71.436
"Semikawa, Taiga",71.437
"Williams, Robin",71.442
"Senior, Jack",71.478
"Ballester, Jose Luis",71.512
"Bryant, Davis",71.522
"Jarvis, Casey",71.523
"Purcell, Conor",71.527
"Kim, Minkyu",71.535
"Forsstrom, Simon",71.535
"Schmidt, Ben",71.536
"Fichardt, Darren",71.552
"Smylie, Elvis",71.569
"Hebert, Benjamin",71.579
"Brown, Hamish",71.629
"Micheluzzi, David",71.646
"Pulkkanen, Tapio",71.65
"Colsaerts, Nicolas",71.655
"Merritt, Troy",71.675
"Wu, Ashun",71.677
"Girrbach, Joel",71.703
"De Bruyn, Jannik",71.736
"Lindberg, Mikael",71.763
"De Leo, Gregorio",71.768
"Gumberg, Jordan",71.792
"Horsey, David",71.796
"Wu, Brandon",71.808
"Levy, Alexander",71.82
"Lombard, Zander",71.841
"Bjerregaard, Lucas",71.884
"Vecchi Fossa, Jacopo",71.967
"Whitnell, Dale",71.989
"Sterne, Richard",72.001
"Johnston, Ryggs",72.01
"Chappell, Kevin",72.047
"Aiken, Thomas",72.06
"Gale, Daniel",72.07
"Ahlawat, Veer",72.091
"Naidoo, Dylan",72.129
"Fisher, Ross",72.15
"Garcia-Heredia, Alfredo",72.153
"Long, Hurly",72.158
"Van Velzen, Ryan",72.179
"Baldwin, Matthew",72.18
"Germishuys, Deon",72.214
"Erickson, Dan",72.216
"Tetak, Tadeáš",72.218
"Sharma, Shubhankar",72.26
"Christensen, Tiger",72.291
"Ko, Jeong Weon",72.299
"Jin, Zihao",72.315
"Glawe, Wolfgang",72.339
"Frances, Alexander George",72.438
"Akesson, Bjorn",72.481
"Moscatel, Joel",72.484
"Donald, Luke",72.542
"Shaun, Corey",72.551
"Schwab, Matthias",72.567
"Wiedemeyer, Tim",72.648
"Pineau, Pierre",72.665
"Hirmer, Michael",73.05
"Strydom, Ockie",73.191
"Bryan, George",73.833
"Horder, Nicolas",74.454
"Trainer, Martin",74.867
"Barnes, Erik",75.61
