PLAYER NAME,PROJECTED STROKES
"Rahm, Jon",70.138
"DeChambeau, Bryson",70.213
"Hatton, Tyrrell",70.79
"Niemann, Joaquin",70.807
"Reed, Patrick",71.055
"Munoz, Sebastian",71.184
"Ortiz, Carlos",71.319
"Puig, David",71.428
"Oosthuizen, Louis",71.58
"Casey, Paul",71.611
"Garcia, Sergio",71.654
"Smith, Cameron",71.757
"Ancer, Abraham",71.759
"Tringale, Cameron",71.81
"Gooch, Talor",71.823
"McKibbin, Tom",71.834
"Lahiri, Anirban",71.841
"Koepka, Brooks",71.873
"Herbert, Lucas",71.878
"Burmester, Dean",71.945
"Schwartzel, Charl",71.973
"Leishman, Marc",72.026
"Pieters, Thomas",72.073
"Varner III, Harold",72.11
"Bland, Richard",72.13
"Johnson, Dustin",72.199
"Howell III, Charles",72.22
"Kozuma, Jinichiro",72.235
"Watson, Bubba",72.38
"Steele, Brendan",72.538
"Grace, Branden",72.553
"Campbell, Ben",72.569
"Kaymer, Martin",72.596
"McDowell, Graeme",72.662
"Horsfield, Sam",72.678
"Na, Kevin",72.71
"Stenson, Henrik",72.718
"Kokrak, Jason",72.78
"Meronk, Adrian",72.888
"Mickelson, Phil",72.915
"Uihlein, Peter",72.999
"Surratt, Caleb",73.049
"Westwood, Lee",73.165
"Lee, Chieh-Po",73.404
"Poulter, Ian",73.407
"Jones, Matt",73.481
"Ogletree, Andy",73.563
"Ballester, Jose Luis",73.595
"Jang, Yubin",73.685
"Masaveu, Luis",73.807
"Lee, Danny",73.835
"Pereira, Mito",74.069
"Kjettrup, Frederik",74.548
"Kim, Anthony",74.702
