PLAYER NAME,PROJECTED STROKES
"Rahm, Jon",69.021
"DeChambeau, Bryson",69.113
"Niemann, Joaquin",69.445
"Hatton, Tyrrell",69.608
"Munoz, Sebastian",70.174
"Reed, Patrick",70.189
"Gooch, Talor",70.338
"McKibbin, Tom",70.513
"Puig, David",70.527
"Ortiz, Carlos",70.544
"Ancer, Abraham",70.597
"Casey, Paul",70.666
"Tringale, Cameron",70.703
"Garcia, Sergio",70.712
"Smith, Cameron",70.727
"Herbert, Lucas",70.766
"Watson, Bubba",70.782
"Oosthuizen, Louis",70.786
"Lahiri, Anirban",70.846
"Pieters, Thomas",70.859
"Varner III, Harold",70.864
"Howell III, Charles",70.888
"Burmester, Dean",70.957
"Schwartzel, Charl",70.993
"Leishman, Marc",70.995
"Koepka, Brooks",71.043
"Grace, Branden",71.125
"Johnson, Dustin",71.182
"Bland, Richard",71.187
"Steele, Brendan",71.219
"Kokrak, Jason",71.278
"Kozuma, Jinichiro",71.323
"Stenson, Henrik",71.407
"Horsfield, Sam",71.434
"Surratt, Caleb",71.468
"Meronk, Adrian",71.514
"Kaymer, Martin",71.726
"Mickelson, Phil",71.727
"Uihlein, Peter",71.814
"Na, Kevin",71.82
"McDowell, Graeme",71.823
"Campbell, Ben",71.831
"Westwood, Lee",71.851
"Ballester, Jose Luis",71.954
"Jones, Matt",71.997
"Wolff, Matthew",72.044
"Ogletree, Andy",72.118
"Lee, Chieh-Po",72.294
"Poulter, Ian",72.325
"Jang, Yubin",72.479
"Lee, Danny",72.646
"Pereira, Mito",72.877
"Kjettrup, Frederik",73.438
"Kim, Anthony",73.648
