PLAYER NAME,PROJECTED STROKES
"DeChambeau, Bryson",68.714
"Rahm, Jon",68.773
"Niemann, Joaquin",69.338
"Hatton, Tyrrell",69.62
"Ortiz, Carlos",69.823
"Reed, Patrick",70.142
"Munoz, Sebastian",70.265
"Herbert, Lucas",70.266
"Koepka, Brooks",70.416
"Puig, David",70.513
"Smith, Cameron",70.563
"Burmester, Dean",70.65
"Gooch, Talor",70.701
"Leishman, Marc",70.735
"Pieters, Thomas",70.739
"McKibbin, Tom",70.743
"Garcia, Sergio",70.85
"Casey, Paul",70.852
"Watson, Bubba",70.883
"Tringale, Cameron",70.896
"Ancer, Abraham",70.909
"Schwartzel, Charl",70.945
"Oosthuizen, Louis",70.947
"Lahiri, Anirban",71.019
"Johnson, Dustin",71.042
"Varner III, Harold",71.048
"Howell III, Charles",71.184
"Steele, Brendan",71.253
"Kozuma, Jinichiro",71.356
"Bland, Richard",71.366
"Uihlein, Peter",71.393
"Kokrak, Jason",71.454
"Mickelson, Phil",71.528
"Grace, Branden",71.533
"Surratt, Caleb",71.538
"Horsfield, Sam",71.61
"Na, Kevin",71.619
"McDowell, Graeme",71.642
"Meronk, Adrian",71.695
"Wolff, Matthew",71.756
"Campbell, Ben",71.863
"Stenson, Henrik",71.976
"Ballester, Jose Luis",72.005
"Jones, Matt",72.173
"Poulter, Ian",72.239
"Kaymer, Martin",72.254
"Jang, Yubin",72.314
"Westwood, Lee",72.349
"Lee, Chieh-Po",72.377
"Ogletree, Andy",72.497
"Pereira, Mito",72.69
"Lee, Danny",72.895
"Kjettrup, Frederik",73.396
"Kim, Anthony",73.804
