PLAYER NAME,PROJECTED STROKES
"DeChambeau, Bryson",67.961
"Rahm, Jon",68.038
"Niemann, Joaquin",68.707
"Hatton, Tyrrell",68.711
"Reed, Patrick",69.519
"Puig, David",69.546
"Munoz, Sebastian",69.628
"Ortiz, Carlos",69.698
"McKibbin, Tom",69.755
"Herbert, Lucas",69.814
"Smith, Cameron",69.877
"Gooch, Talor",69.92
"Johnson, Dustin",69.941
"Burmester, Dean",70.01
"Tringale, Cameron",70.011
"Varner III, Harold",70.013
"Casey, Paul",70.038
"Ancer, Abraham",70.109
"Koepka, Brooks",70.121
"Pieters, Thomas",70.123
"Garcia, Sergio",70.139
"Howell III, Charles",70.274
"Oosthuizen, Louis",70.286
"Lahiri, Anirban",70.289
"Leishman, Marc",70.303
"Kozuma, Jinichiro",70.326
"Schwartzel, Charl",70.358
"Watson, Bubba",70.381
"Kokrak, Jason",70.526
"Uihlein, Peter",70.581
"Bland, Richard",70.607
"Horsfield, Sam",70.61
"Steele, Brendan",70.648
"Grace, Branden",70.676
"Meronk, Adrian",70.701
"Surratt, Caleb",70.838
"Mickelson, Phil",70.969
"Stenson, Henrik",71.014
"Wolff, Matthew",71.023
"Westwood, Lee",71.154
"Jones, Matt",71.223
"McDowell, Graeme",71.25
"Ballester, Jose Luis",71.279
"Kaymer, Martin",71.306
"Na, Kevin",71.31
"Campbell, Ben",71.327
"Ogletree, Andy",71.607
"Lee, Chieh-Po",71.65
"Jang, Yubin",71.803
"Poulter, Ian",71.857
"Pereira, Mito",72.104
"Lee, Danny",72.123
"Kjettrup, Frederik",72.735
"Kim, Anthony",72.921
