PLAYER NAME,PROJECTED STROKES
"Scheffler, Scottie",66.806
"McIlroy, Rory",67.425
"Fleetwood, Tommy",67.694
"Schauffele, Xander",67.922
"MacIntyre, Robert",67.944
"Morikawa, Collin",67.985
"Aberg, Ludvig",68.059
"Thomas, Justin",68.063
"Hovland, Viktor",68.132
"Fitzpatrick, Matt",68.237
"Burns, Sam",68.248
"Scott, Adam",68.272
"Hall, Harry",68.329
"Conners, Corey",68.331
"McNealy, Maverick",68.34
"Spaun, J.J.",68.346
"Fox, Ryan",68.384
"Gotterup, Chris",68.402
"Hojgaard, Rasmus",68.435
"Neergaard-Petersen, Rasmus",68.439
"Rai, Aaron",68.452
"Greyserman, Max",68.46
"Straka, Sepp",68.478
"English, Harris",68.537
"Pendrith, Taylor",68.556
"Kim, Si Woo",68.558
"Yu, Kevin",68.559
"Stevens, Sam",68.56
"Wallace, Matt",68.611
"Penge, Marco",68.614
"Knapp, Jake",68.628
"Hojgaard, Nicolai",68.64
"Noren, Alex",68.644
"An, Byeong Hun",68.648
"Berger, Daniel",68.657
"Olesen, Thorbjorn",68.678
"Detry, Thomas",68.682
"Svensson, Jesper",68.696
"Gerard, Ryan",68.702
"Taylor, Nick",68.716
"Smith, Jordan",68.727
"Cauley, Bud",68.731
"McCarthy, Denny",68.737
"Novak, Andrew",68.745
"Perez, Victor",68.781
"Norgaard, Niklas",68.791
"Kim, Michael",68.8
"Li, Haotong",68.822
"Bridgeman, Jacob",68.836
"Mitchell, Keith",68.864
"Clark, Wyndham",68.87
"Canter, Laurie",68.881
"Smalley, Alex",68.891
"Im, Sungjae",68.894
"Moore, Taylor",68.901
"Hodges, Lee",68.906
"Jordan, Matthew",68.956
"Clanton, Luke",68.958
"Bezuidenhout, Christiaan",68.963
"Schmid, Matti",68.964
"Potgieter, Aldrich",68.984
"Kim, Tom",68.992
"Hisatsune, Ryo",69.005
"Harman, Brian",69.024
"Ferguson, Ewen",69.028
"Reitan, Kristoffer",69.032
"Laporta, Francesco",69.058
"Vegas, Jhonattan",69.064
"Van Rooyen, Erik",69.064
"Brown, Daniel",69.064
"Hughes, Mackenzie",69.069
"Valimaki, Sami",69.089
"Lawrence, Thriston",69.105
"Woodland, Gary",69.109
"Hoge, Tom",69.165
"Mansell, Richard",69.178
"Rozner, Antoine",69.181
"McCarty, Matt",69.203
"Rodgers, Patrick",69.214
"Chacarra, Eugenio",69.259
"Stone, Brandon",69.279
"Fitzpatrick, Alex",69.294
"Couvra, Martin",69.299
"Saddier, Adrien",69.303
"Putnam, Andrew",69.31
"Parry, John",69.323
"Echavarria, Nico",69.332
"Bairstow, Sam",69.335
"Forrest, Grant",69.347
"McGreevy, Max",69.35
"Tosti, Alejandro",69.364
"Hill, Calum",69.366
"Hillier, Daniel",69.37
"Kruyswijk, Jacques",69.394
"Salinda, Isaiah",69.398
"Schneider, Marcel",69.4
"Highsmith, Joe",69.484
"Lacroix, Frederic",69.487
"Nakajima, Keita",69.488
"Sullivan, Andy",69.506
"Veerman, Johannes",69.515
"Syme, Connor",69.518
"Clements, Todd",69.526
"Rose, Justin",69.526
"Norlander, Henrik",69.536
"Manassero, Matteo",69.546
"Hoshino, Rikuya",69.552
"Riley, Davis",69.556
"Campillo, Jorge",69.573
"Guerrier, Julien",69.577
"Soderberg, Sebastian",69.614
"Norris, Shaun",69.619
"Von Dellingshausen, Nicolai",69.629
"Ramsay, Richie",69.631
"Vilips, Karl",69.646
"Walker, Danny",69.646
"Langasque, Romain",69.678
"Del Rey, Alejandro",69.693
"Pavon, Matthieu",69.706
"Crocker, Sean",69.71
"Bradbury, Dan",69.711
"Ravetto, David",69.731
"Katsuragawa, Yuto",69.734
"Coussaud, Ugo",69.738
"Dahmen, Joel",69.759
"Campbell, Brian",69.784
"Willett, Danny",69.809
"Elvira Mijares, Ignacio",69.809
"Cockerill, Aaron",69.811
"Harrington, Padraig",69.885
"Dean, Joe",69.912
"Paul, Yannik",69.917
"Wu, Ashun",69.943
"Snedeker, Brandt",69.974
"Molinari, Francesco",69.993
"Siem, Marcel",69.996
"Smylie, Elvis",69.997
"Frittelli, Dylan",70.011
"Ford, David",70.029
"Waring, Paul",70.056
"Van Driel, Darius",70.08
"Otaegui, Adrian",70.087
"Migliozzi, Guido",70.095
"Wiesberger, Bernd",70.157
"Hidalgo, Angel",70.187
"Forsstrom, Simon",70.269
"Naidoo, Dylan",70.328
"Johnston, Ryggs",70.4
"Larrazabal, Pablo",70.487
"Lee, Junghwan",70.503
"Whitnell, Dale",70.556
"Cho, Wooyoung",70.589
"Gumberg, Jordan",70.631
"Donald, Luke",70.722
"Kim, Hongtaek",70.858
"Strydom, Ockie",71.378
