PLAYER NAME,PROJECTED STROKES
"Scheffler, Scottie",69.501
"Rahm, Jon",70.191
"McIlroy, Rory",70.326
"DeChambeau, Bryson",70.519
"Fleetwood, Tommy",70.521
"Schauffele, Xander",70.808
"Hatton, Tyrrell",70.905
"Morikawa, Collin",70.919
"Hovland, Viktor",70.947
"Aberg, Ludvig",71.003
"Fitzpatrick, Matt",71.121
"Niemann, Joaquin",71.149
"Conners, Corey",71.184
"MacIntyre, Robert",71.188
"Thomas, Justin",71.19
"Scott, Adam",71.224
"Straka, Sepp",71.228
"Cantlay, Patrick",71.23
"Rai, Aaron",71.25
"Lowry, Shane",71.273
"Burns, Sam",71.314
"McNealy, Maverick",71.319
"Henley, Russell",71.344
"Griffin, Ben",71.36
"Hall, Harry",71.374
"Spieth, Jordan",71.391
"Spaun, J.J.",71.402
"Bradley, Keegan",71.415
"English, Harris",71.447
"Kim, Si Woo",71.451
"Pendrith, Taylor",71.466
"Gotterup, Chris",71.477
"Berger, Daniel",71.507
"Reed, Patrick",71.543
"Taylor, Nick",71.583
"Hojgaard, Nicolai",71.605
"Day, Jason",71.629
"Penge, Marco",71.651
"Novak, Andrew",71.709
"Matsuyama, Hideki",71.725
"Fox, Ryan",71.729
"Greyserman, Max",71.741
"McKibbin, Tom",71.75
"Thompson, Davis",71.754
"Yu, Kevin",71.757
"Smith, Jordan",71.814
"Wallace, Matt",71.834
"Bezuidenhout, Christiaan",71.843
"Poston, J.T.",71.879
"Bhatia, Akshay",71.896
"Kim, Michael",71.913
"Olesen, Thorbjorn",71.917
"Harman, Brian",71.921
"Kim, Tom",71.921
"Lee, Min Woo",71.93
"Canter, Laurie",71.932
"Clark, Wyndham",71.951
"McCarthy, Denny",71.953
"Fowler, Rickie",71.957
"Smith, Cameron",71.969
"Detry, Thomas",71.971
"Rose, Justin",71.98
"Ortiz, Carlos",71.995
"Im, Sungjae",72.003
"Young, Cameron",72.025
"Cauley, Bud",72.032
"Hojgaard, Rasmus",72.044
"An, Byeong Hun",72.064
"Glover, Lucas",72.071
"Herbert, Lucas",72.073
"Koepka, Brooks",72.083
"McCarty, Matt",72.108
"Oosthuizen, Louis",72.13
"Svensson, Jesper",72.13
"Schmid, Matti",72.15
"Norgaard, Niklas",72.211
"Reitan, Kristoffer",72.213
"Echavarria, Nico",72.217
"Finau, Tony",72.224
"Garcia, Sergio",72.246
"Hughes, Mackenzie",72.284
"Burmester, Dean",72.302
"Johnson, Dustin",72.315
"Vegas, Jhonattan",72.32
"Brown, Daniel",72.36
"Rozner, Antoine",72.361
"Lawrence, Thriston",72.365
"Hoge, Tom",72.404
"Li, Haotong",72.425
"Parry, John",72.453
"Kirk, Chris",72.454
"Jordan, Matthew",72.497
"Potgieter, Aldrich",72.573
"Leishman, Marc",72.591
"Jaeger, Stephan",72.619
"Couvra, Martin",72.639
"Theegala, Sahith",72.663
"Manassero, Matteo",72.702
"Kanaya, Takumi",72.741
"Saddier, Adrien",72.759
"Soderberg, Sebastian",72.844
"Hillier, Daniel",72.875
"Riley, Davis",72.885
"Pavon, Matthieu",72.919
"Johnson, Zach",72.926
"Hoshino, Rikuya",72.948
"Kimsey, Nathan",72.959
"Guerrier, Julien",72.965
"Kokrak, Jason",72.969
"Langasque, Romain",72.975
"Stenson, Henrik",72.978
"Campbell, Brian",72.979
"Cink, Stewart",72.993
"Molinari, Francesco",72.999
"Catlin, John",73.041
"Lindell, Oliver",73.056
"Smylie, Elvis",73.07
"Olesen, Jacob Skov",73.093
"Norris, Shaun",73.123
"Harrington, Padraig",73.205
"Mickelson, Phil",73.225
"Kaewkanjana, Sadom",73.243
"Van Tonder, Daniel",73.45
"Westwood, Lee",73.612
"Hidalgo Portillo, Angel",73.64
"Migliozzi, Guido",73.655
"Suh, Justin",73.716
"Young, Daniel",73.723
"Song, Younghan",73.726
"Jakubcik, Filip",73.8
"Kawamoto, Riki",73.804
"Fang, Ethan",73.81
"Imahira, Shugo",73.86
"Luck, Curtis",73.906
"Naidoo, Dylan",73.97
"Fichardt, Darren",73.997
"Zheng, Sampson",74.024
"Johnston, Ryggs",74.03
"Hastings, Justin",74.127
"Graham, Connor",74.251
"Clarke, Darren",74.313
"Axelsen, John",74.318
"Adam, Cameron",74.367
"Akutsu, Mikiya",74.399
"Bloor, George",74.515
"Walters, Justin",74.719
"Leonard, Justin",74.733
"Choi, K.J.",74.875
"Peake, Ryan",74.906
"Sandborg, Jesper",75.031
"Cave, Seb",75.187
"Teder, Richard",75.81
"Farrell, OJ",75.924
"Jones, Frazer",76.184
"Knipes, Curtis",76.394
"Newman, Bryan",77.063
