PLAYER NAME,PROJECTED STROKES
"Albertson, Anders",71.107
"An, Byeong Hun",69.239
"Andersen, Mason",71.355
"Baddeley, Aaron",71.733
"Bhatia, Akshay",69.345
"Black, Otto",74.809
"Bradley, Keegan",68.823
"Brehm, Ryan",72.027
"Bridgeman, Jacob",69.64
"Brown, Evan",72.746
"Buckley, Hayden",70.558
"Campos, Rafael",71.115
"Cantlay, Patrick",68.586
"Capan III, Frankie",71.344
"Castillo, Ricky",69.917
"Champ, Cameron",70.462
"Chandler, Will",71.412
"Clanton, Luke",69.602
"Clark, Wyndham",69.463
"Clemons, Dominic",72.81
"Cone, Trevor",70.588
"Cook, Ben",73.6
"Covello, Vince",72.873
"Cummins, Quade",69.963
"Dahmen, Joel",70.099
"Davis, Cam",70.331
"Del Solar, Cristobal",71.265
"Dickson, Taylor",71.003
"Dunlap, Nick",71.209
"Echavarria, Nico",70.162
"Eckroat, Austin",69.575
"Endycott, Harrison",71.389
"Finau, Tony",69.64
"Fishburn, Patrick",69.885
"Fisk, Steven",69.977
"Fitzpatrick, Matt",69.196
"Ford, David",70.524
"Fowler, Rickie",69.237
"Garnett, Brice",70.347
"Gerard, Ryan",69.308
"Ghim, Doug",69.643
"Goodwin, Noah",70.362
"Gordon, Will",70.616
"Gotterup, Chris",69.261
"Greyserman, Max",69.158
"Griffin, Ben",68.68
"Griffin, Lanto",70.384
"Grillo, Emiliano",69.557
"Hadwin, Adam",70.136
"Hall, Harry",69.043
"Hardy, Nick",70.464
"Higgo, Garrick",70.345
"Higgs, Harry",70.61
"Highsmith, Joe",69.823
"Hisatsune, Ryo",69.372
"Hodges, Lee",69.728
"Hoey, Rico",69.662
"Hojgaard, Nicolai",69.864
"Hojgaard, Rasmus",69.392
"Homa, Max",70.065
"Hooks, Joe",73.981
"Hoshino, Rikuya",70.509
"Hossler, Beau",70.208
"Hubbard, Mark",69.586
"Jaeger, Stephan",69.479
"Johnson, Zach",70.43
"Kanaya, Takumi",70.102
"Kim, Chan",70.337
"Kim, Michael",69.439
"Kim, Si Woo",68.999
"Kim, Tom",69.458
"Kirk, Chris",69.406
"Kisner, Kevin",71.502
"Kitayama, Kurt",69.47
"Kizzire, Patton",70.74
"Knapp, Jake",70.014
"Knowles, Philip",71.321
"Kohles, Ben",70.412
"Kuchar, Matt",70.192
"La Sasso, Michael",70.394
"Lashley, Nate",70.354
"Lawrence, Thriston",70.212
"Lee, Min Woo",69.578
"Lipsky, David",70.995
"List, Luke",70.428
"Lower, Justin",70.511
"Malnati, Peter",71.336
"Martin, Ben",70.55
"Matsuyama, Hideki",68.807
"McCarty, Matt",69.705
"McCulloch, Ashton",71.441
"McGreevy, Max",69.725
"Meissner, Mac",70.366
"Mitchell, Keith",69.586
"Molinari, Francesco",70.742
"Moore, Taylor",69.825
"Morikawa, Collin",68.178
"Mouw, William",70.559
"Mullinax, Trey",70.157
"Noren, Alex",69.298
"Norlander, Henrik",70.078
"Olesen, Thorbjorn",69.67
"Onishi, Kaito",71.133
"Pak, John",70.639
"Palmer, Ryan",72.114
"Paul, Jeremy",70.278
"Perez, Victor",69.585
"Peterson, Paul",71.02
"Phillips, Chandler",70.372
"Piot, James",72.127
"Potgieter, Aldrich",70.366
"Power, Seamus",70.304
"Putnam, Andrew",69.821
"Ramey, Chad",70.322
"Riedel, Matthew",71.478
"Riley, Davis",70.391
"Rodgers, Patrick",70.062
"Rosenmueller, Thomas",70.259
"Roy, Kevin",70.192
"Rozner, Antoine",70.04
"Ryder, Sam",70.065
"Salinda, Isaiah",70.155
"Sargent, Gordon",72.687
"Schenk, Adam",70.415
"Sigg, Greyson",70.269
"Silverman, Ben",70.461
"Simpson, Webb",70.293
"Skinns, David",70.611
"Smalley, Alex",69.592
"Snedeker, Brandt",70.704
"Springer, Hayden",70.429
"Suber, Jackson",70.779
"Svensson, Adam",70.189
"Svensson, Jesper",69.579
"Thompson, Davis",69.001
"Thorbjornsen, Michael",69.826
"Thornberry, Braden",71.267
"Tosti, Alejandro",70.39
"Valimaki, Sami",70.373
"Van Rooyen, Erik",69.664
"Velo, Kevin",70.772
"Ventura, Kris",70.356
"Vilips, Karl",70.319
"Villegas, Camilo",71.388
"Walker, Danny",70.326
"Wallace, Matt",69.558
"Waring, Paul",71.061
"Whaley, Vince",69.703
"White, Brett",71.475
"Willett, Danny",70.547
"Wise, Aaron",71.432
"Woodland, Gary",69.668
"Xiong, Norman",71.009
"Xu, Andi",72.217
"Young, Cameron",69.375
"Young, Carson",70.144
