player_name,dg_id,my_pred
collin morikawa,22085,1.962
patrick cantlay,15466,1.554
ben griffin,24968,1.46
keegan bradley,13872,1.317
si woo kim,14609,1.141
hideki matsuyama,13562,1.333
davis thompson,27364,1.139
harry hall,27194,1.097
matt fitzpatrick,17646,0.944
ryan gerard,29767,0.832
max greyserman,23465,0.982
cameron young,26651,0.765
akshay bhatia,26096,0.795
chris gotterup,27774,0.879
keith mitchell,17365,0.554
alex noren,10419,0.842
alex smalley,18474,0.548
rickie fowler,12965,0.903
matt wallace,20706,0.582
wyndham clark,23604,0.677
byeong hun an,14459,0.901
michael kim,17543,0.701
luke clanton,32330,0.538
stephan jaeger,16394,0.661
rasmus hojgaard,23838,0.748
chris kirk,12423,0.734
min woo lee,16841,0.562
emiliano grillo,12808,0.583
thorbjorn olesen,13412,0.47
ryo hisatsune,22760,0.768
taylor moore,21944,0.315
tom kim,24766,0.682
jacob bridgeman,29433,0.5
rico hoey,23504,0.478
victor perez,20730,0.555
kurt kitayama,21891,0.67
vince whaley,25908,0.437
lee hodges,25157,0.412
mark hubbard,16333,0.554
max mcgreevy,23505,0.415
nicolai hojgaard,23602,0.276
matt mccarty,28635,0.435
gary woodland,12577,0.472
patrick rodgers,16283,0.078
erik van rooyen,17550,0.476
austin eckroat,26653,0.565
jesper svensson,26850,0.561
henrik norlander,11657,0.062
michael thorbjornsen,26649,0.314
doug ghim,24550,0.497
jake knapp,19396,0.126
kevin roy,18424,-0.052
andrew putnam,14704,0.319
sam ryder,16715,0.075
quade cummins,27996,0.177
ricky castillo,27819,0.223
steven fisk,26657,0.163
nico echavarria,22833,-0.022
max homa,17538,0.075
antoine rozner,18770,0.1
seamus power,10104,-0.164
patrick fishburn,25094,0.255
isaiah salinda,27183,-0.015
joel dahmen,14509,0.041
joe highsmith,28469,0.317
takumi kanaya,19729,0.038
cam davis,17786,-0.191
beau hossler,15470,-0.068
davis riley,19872,-0.251
adam hadwin,13965,0.004
carson young,23656,-0.004
trey mullinax,18761,-0.017
matt kuchar,6169,-0.052
joseph bramlett,14698,null
adam svensson,13997,-0.049
thriston lawrence,18105,-0.072
alejandro tosti,17032,-0.25
thomas rosenmueller,22736,-0.119
greyson sigg,23482,-0.129
jeremy paul,22087,-0.138
webb simpson,11049,-0.153
karl vilips,24304,-0.179
chad ramey,19840,-0.182
danny walker,25003,-0.186
chan kim,15004,-0.197
garrick higgo,24342,-0.205
brice garnett,11451,-0.207
nate lashley,10943,-0.214
kris ventura,15651,-0.216
noah goodwin,24837,-0.222
mac meissner,28159,-0.226
chandler phillips,27164,-0.232
sami valimaki,23816,-0.233
lanto griffin,15330,-0.244
michael la sasso,33755,-0.254
aldrich potgieter,27900,-0.226
ben kohles,16395,-0.272
adam schenk,19477,-0.275
cameron champ,23542,-0.322
luke list,7960,-0.288
hayden springer,21995,-0.289
zach johnson,6986,-0.29
ben silverman,17381,-0.321
nick hardy,19865,-0.324
rikuya hoshino,19190,-0.369
justin lower,17723,-0.371
david ford,31343,-0.384
danny willett,12920,-0.407
ben martin,14007,-0.41
hayden buckley,25363,-0.418
william mouw,29770,-0.419
trevor cone,21880,-0.448
harry higgs,14140,-0.47
david skinns,10873,-0.471
will gordon,26660,-0.476
john pak,27820,-0.499
brandt snedeker,8820,-0.564
patton kizzire,13470,-0.6
francesco molinari,7655,-0.602
kevin velo,27762,-0.632
jackson suber,29279,-0.639
david lipsky,15980,-0.855
taylor dickson,27420,-0.863
norman xiong,24354,-0.869
paul peterson,16341,-0.88
paul waring,12426,-0.921
anders albertson,21235,-0.967
rafael campos,12909,-0.975
kaito onishi,25263,-0.993
nick dunlap,28270,-1.069
cristobal del solar,17422,-1.125
braden thornberry,23502,-1.127
philip knowles,24562,-1.181
peter malnati,14926,-1.196
frankie capan iii,21412,-1.204
mason andersen,23540,-1.215
camilo villegas,9171,-1.248
harrison endycott,19208,-1.249
will chandler,31212,-1.272
aaron wise,22051,-1.292
ashton mcculloch,32260,-1.301
brett white,22461,-1.335
matthew riedel,30892,-1.338
kevin kisner,11328,-1.362
aaron baddeley,6252,-1.593
ryan brehm,10423,-1.887
ryan palmer,7820,-1.974
james piot,29230,-1.987
andi xu,33176,-2.077
gordon sargent,30814,-2.547
evan brown,30806,-2.606
dominic clemons,32594,-2.67
vince covello,11441,-2.733
ben cook,24486,-3.46
joe hooks,10059862,-3.841
otto black,22353,-4.669
