PLAYER NAME,PROJECTED STROKES
"Morikawa, Collin",68.446
"Cantlay, Patrick",68.557
"Griffin, Ben",68.629
"Bradley, Keegan",68.634
"Kim, Si Woo",68.995
"Matsuyama, Hideki",69.017
"Thompson, Davis",69.08
"Hall, Harry",69.159
"Fitzpatrick, Matt",69.217
"Gerard, Ryan",69.24
"Greyserman, Max",69.26
"Young, Cameron",69.289
"Bhatia, Akshay",69.292
"Gotterup, Chris",69.326
"Mitchell, Keith",69.341
"Noren, Alex",69.366
"Smalley, Alex",69.411
"Fowler, Rickie",69.419
"Wallace, Matt",69.434
"Clark, Wyndham",69.438
"An, Byeong Hun",69.442
"Kim, Michael",69.46
"Clanton, Luke",69.485
"Jaeger, Stephan",69.497
"Hojgaard, Rasmus",69.501
"Kirk, Chris",69.509
"Lee, Min Woo",69.53
"Grillo, Emiliano",69.539
"Finau, Tony",69.56
"Olesen, Thorbjorn",69.566
"Hisatsune, Ryo",69.597
"Moore, Taylor",69.616
"Kim, Tom",69.629
"Bridgeman, Jacob",69.661
"Hoey, Rico",69.665
"Perez, Victor",69.666
"Kitayama, Kurt",69.679
"Whaley, Vince",69.7
"Hodges, Lee",69.716
"Hubbard, Mark",69.725
"McGreevy, Max",69.762
"Hojgaard, Nicolai",69.783
"McCarty, Matt",69.804
"Woodland, Gary",69.815
"Rodgers, Patrick",69.837
"Van Rooyen, Erik",69.839
"Eckroat, Austin",69.841
"Svensson, Jesper",69.842
"Norlander, Henrik",69.848
"Thorbjornsen, Michael",69.852
"Ghim, Doug",69.855
"Knapp, Jake",69.867
"Roy, Kevin",69.926
"Putnam, Andrew",69.936
"Ryder, Sam",69.95
"Cummins, Quade",69.963
"Castillo, Ricky",69.973
"Fisk, Steven",69.977
"Echavarria, Nico",69.987
"Homa, Max",69.991
"Rozner, Antoine",70.012
"Power, Seamus",70.017
"Fishburn, Patrick",70.04
"Salinda, Isaiah",70.072
"Dahmen, Joel",70.078
"Highsmith, Joe",70.092
"Kanaya, Takumi",70.102
"Davis, Cam",70.102
"Hossler, Beau",70.109
"Riley, Davis",70.128
"Hadwin, Adam",70.136
"Young, Carson",70.144
"Mullinax, Trey",70.157
"Kuchar, Matt",70.175
"Svensson, Adam",70.189
"Lawrence, Thriston",70.233
"Tosti, Alejandro",70.254
"Rosenmueller, Thomas",70.259
"Sigg, Greyson",70.269
"Paul, Jeremy",70.278
"Simpson, Webb",70.31
"Vilips, Karl",70.319
"Ramey, Chad",70.322
"Walker, Danny",70.326
"Kim, Chan",70.337
"Higgo, Garrick",70.345
"Garnett, Brice",70.347
"Lashley, Nate",70.354
"Ventura, Kris",70.356
"Goodwin, Noah",70.362
"Meissner, Mac",70.366
"Phillips, Chandler",70.372
"Valimaki, Sami",70.373
"Griffin, Lanto",70.384
"La Sasso, Michael",70.394
"Potgieter, Aldrich",70.411
"Kohles, Ben",70.412
"Schenk, Adam",70.415
"Champ, Cameron",70.417
"List, Luke",70.428
"Springer, Hayden",70.429
"Johnson, Zach",70.43
"Silverman, Ben",70.461
"Hardy, Nick",70.464
"Hoshino, Rikuya",70.509
"Lower, Justin",70.511
"Ford, David",70.524
"Willett, Danny",70.547
"Martin, Ben",70.55
"Buckley, Hayden",70.558
"Mouw, William",70.559
"Cone, Trevor",70.588
"Higgs, Harry",70.61
"Skinns, David",70.611
"Gordon, Will",70.616
"Pak, John",70.639
"Snedeker, Brandt",70.704
"Kizzire, Patton",70.74
"Molinari, Francesco",70.742
"Velo, Kevin",70.772
"Suber, Jackson",70.779
"Lipsky, David",70.995
"Dickson, Taylor",71.003
"Xiong, Norman",71.009
"Peterson, Paul",71.02
"Waring, Paul",71.061
"Albertson, Anders",71.107
"Campos, Rafael",71.115
"Onishi, Kaito",71.133
"Dunlap, Nick",71.209
"Del Solar, Cristobal",71.265
"Thornberry, Braden",71.267
"Knowles, Philip",71.321
"Malnati, Peter",71.336
"Capan III, Frankie",71.344
"Andersen, Mason",71.355
"Villegas, Camilo",71.388
"Endycott, Harrison",71.389
"Chandler, Will",71.412
"Wise, Aaron",71.432
"McCulloch, Ashton",71.441
"White, Brett",71.475
"Riedel, Matthew",71.478
"Kisner, Kevin",71.502
"Baddeley, Aaron",71.733
"Brehm, Ryan",72.027
"Palmer, Ryan",72.114
"Piot, James",72.127
"Xu, Andi",72.217
"Sargent, Gordon",72.687
"Brown, Evan",72.746
"Clemons, Dominic",72.81
"Covello, Vince",72.873
"Cook, Ben",73.6
"Hooks, Joe",73.981
"Black, Otto",74.809
