player_name,dg_id,my_pred
scottie scheffler,18417,2.57
rory mcilroy,10091,1.605
tommy fleetwood,12294,1.768
xander schauffele,19895,1.29
robert macintyre,23323,1.527
collin morikawa,22085,1.242
ludvig aberg,23950,1.075
justin thomas,14139,1.114
viktor hovland,18841,1.135
matt fitzpatrick,17646,1.147
sam burns,19483,0.875
adam scott,6430,1.056
harry hall,27194,0.863
corey conners,17576,0.913
maverick mcnealy,18634,0.748
j.j. spaun,17536,0.761
ryan fox,11889,0.996
chris gotterup,27774,0.902
rasmus hojgaard,23838,0.925
rasmus neergaard-petersen,23841,0.835
aaron rai,18554,0.859
max greyserman,23465,0.726
sepp straka,17511,0.596
harris english,14577,0.845
taylor pendrith,17780,0.663
si woo kim,14609,0.843
kevin yu,17881,0.674
sam stevens,25569,0.648
matt wallace,20706,0.912
marco penge,22465,0.765
jake knapp,19396,0.408
nicolai hojgaard,23602,0.596
alex noren,10419,0.493
byeong hun an,14459,0.66
daniel berger,17606,0.484
thorbjorn olesen,13412,0.69
thomas detry,14181,0.685
jesper svensson,26850,0.734
ryan gerard,29767,0.432
nick taylor,13126,0.546
jordan smith,18586,0.681
bud cauley,14502,0.474
denny mccarthy,19870,0.55
andrew novak,23475,0.518
victor perez,20730,0.605
niklas norgaard,15676,0.331
michael kim,17543,0.396
haotong li,15310,0.484
jacob bridgeman,29433,0.315
keith mitchell,17365,0.143
wyndham clark,23604,0.26
laurie canter,14795,0.305
alex smalley,18474,0.359
sungjae im,17488,0.387
taylor moore,21944,0.349
lee hodges,25157,-0.056
matthew jordan,25601,0.453
luke clanton,32330,0.227
christiaan bezuidenhout,18103,0.514
matti schmid,20722,0.23
aldrich potgieter,27900,0.276
tom kim,24766,0.199
ryo hisatsune,22760,0.035
brian harman,8825,0.262
ewen ferguson,21646,0.213
kristoffer reitan,21407,0.31
francesco laporta,14987,0.144
jhonattan vegas,13508,0.186
erik van rooyen,17550,0.104
daniel brown,20766,0.048
mackenzie hughes,15556,0.054
sami valimaki,23816,0.161
thriston lawrence,18105,0.366
gary woodland,12577,-0.16
tom hoge,15575,0.06
richard mansell,24185,0.072
antoine rozner,18770,0.069
matt mccarty,28635,0.047
patrick rodgers,16283,0.036
eugenio chacarra,26745,-0.309
brandon stone,15229,0.107
alex fitzpatrick,25362,-0.044
martin couvra,27811,-0.047
adrien saddier,14792,-0.099
andrew putnam,14704,-0.06
john parry,13764,-0.073
nico echavarria,22833,-0.179
sam bairstow,28615,-0.085
grant forrest,16475,-0.097
max mcgreevy,23505,-0.1
alejandro tosti,17032,-0.114
calum hill,25131,-0.178
daniel hillier,21362,-0.12
jacques kruyswijk,16896,-0.144
isaiah salinda,27183,-0.148
marcel schneider,12522,-0.15
joe highsmith,28469,-0.234
frederic lacroix,23733,-0.237
keita nakajima,21074,-0.238
andy sullivan,15326,-0.256
johannes veerman,20522,-0.306
connor syme,22089,-0.268
todd clements,22608,-0.276
justin rose,6093,-0.565
henrik norlander,11657,-0.286
matteo manassero,11460,0.004
rikuya hoshino,19190,-0.253
davis riley,19872,-0.306
jorge campillo,14016,-0.323
julien guerrier,10201,-0.327
sebastian soderberg,18517,-0.364
shaun norris,7677,-0.369
nicolai von dellingshausen,22231,-0.379
richie ramsay,11396,-0.381
karl vilips,24304,-0.396
danny walker,25003,-0.445
romain langasque,16652,-0.428
alejandro del rey,22259,-0.402
matthieu pavon,19960,-0.456
sean crocker,23610,-0.46
dan bradbury,29971,-0.461
david ravetto,23416,-0.481
yuto katsuragawa,20448,-0.484
ugo coussaud,20727,-0.488
joel dahmen,14509,-0.509
brian campbell,18628,-0.534
danny willett,12920,-0.559
ignacio elvira mijares,12988,-0.559
aaron cockerill,15596,-0.561
padraig harrington,5716,-0.573
joe dean,16497,-0.662
yannik paul,19898,-0.667
ashun wu,11763,-0.693
brandt snedeker,8820,-0.724
francesco molinari,7655,-0.743
marcel siem,6950,-0.746
elvis smylie,24200,-0.747
dylan frittelli,11955,-0.761
david ford,31343,-0.779
paul waring,12426,-0.806
darius van driel,13374,-0.83
adrian otaegui,14975,-0.837
guido migliozzi,17357,-0.845
bernd wiesberger,9531,-0.907
angel hidalgo,24127,-0.937
simon forsstrom,19806,-1.019
dylan naidoo,19429,-1.078
ryggs johnston,32449,-1.15
pablo larrazabal,9133,-1.237
junghwan lee,13498,-1.253
dale whitnell,13821,-1.306
wooyoung cho,25806,-1.339
jordan gumberg,23892,-1.381
luke donald,4163,-1.472
hongtaek kim,17973,-1.608
ockie strydom,13731,-2.128
